"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"11","Thymelaea hirusta","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Malvales","Thymelaeaceae","Thymelaea","Thymelaea hirsuta","NA","separated & bisexual","subdioecious","NA","low","qualitative","NA","NA","NA","self_compatible","cornara 2005","journal: plant systematics and evolution","10.1007/s00606-004-0236-x","NA","flower","yes","apomixis but low","yes","yellow","campanulate","actinomorphic","3.75","3.5","4","2.5","NA","NA","NA","0.25","NA","NA","9.8000000000000004E-2","NA","1","NA","NA","NA","NA","shrub","perennial","1","2","1.5","NA; zahran & willis 1992; cornara et al., 2005","online: http://powo.science.kew.org/ *life form*; book: the vegetation of egypt *height*; journal: Plant systematics and evolution *compatibility, breeding system, apomixis, flower size*","NA","ISBN :412315106","10.1007/s00606-004-0236-x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","Urospermum picrioides","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Urospermum","Urospermum picroides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","20","NA","NA","17.5","15","20","NA","10.5","10","11","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.1","0.5","0.3","NA","online: https://www.gbif.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13","Allium ampeloprasum","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",0,"1_2_bartomeus_spain_2008_fraop_1_2.csv","Spain",42.315336,3.296797,"Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum",NA,"bisexual","hermaphrodite","protandrous","low","quantitative","20","NA","NA","self_compatible","guenaoui et al., 2013","journal: genetic resources and crop evolution","10.1007/s10722-012-9819-5","NA","flower","NA","NA","NA","pink","bowl","actinomorphic","6","NA","NA","5","4","6","NA","3.5","3","4","NA","NA","6","NA","NA","NA","NA","herb","perennial","NA","NA","1.25","NA; khorasani, mhervarz & zarre 2018; NA; NA","online: http://w3.biosci.utexas.edu/; journal: nova biologica reperta; online: https://uses.plantnet-project.org/; online: https://foodb.ca/","NA;  https://doi.org/10.29252/nbr.5.3.299; NA; NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Daucus carota carota","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",2,"bartomeus_2008_fra1op.csv","Spain",42.315336,3.296797,"Apiales","Apiaceae","Daucus","Daucus carota","NA","separated & bisexual","andromonoecious","NA","none","quantitative","0","0","1954","self_compatible","perez-banon, petanidou & marcos-garcia 2006","journal: plant ecology","10.1007/s11258-006-9233-1","NA","flower","NA","NA","no","white","dish","zygomorphic","5.5","4","7","1.5","NA","NA","NA","1.1499999999999999","0.8","1.5","NA","NA","2","NA","NA","NA","NA","herb","annual_biennial","0.3","0.7","0.5","koul, koul & hamal 1988; NA; NA","journal: new phytologist; online: http://www.luontoportti.com/; online: http://www.floranordica.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","Equium sabulicola","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",0,"bartomeus_2008_fra1op.csv","Spain",42.315336,3.296797,"Boraginales","Boraginaceae","Echium","Echium sabulicola","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","6","NA","NA","17","12","22","17","20","18","22","NA","NA","NA","NA","NA","NA","NA","herb","annual_short_lived_perennial","0.5","1","0.75","NA; NA; delage 2018","online: http://www.maltawildplants.com/; online: http://www.floraiberica.es/; journal: candollea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","Eryngium campestre","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",0,"bartomeus_2008_fra1op.csv","Spain",42.315336,3.296797,"Apiales","Apiaceae","Eryngium","Eryngium campestre","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green","tube","actinomorphic","1.5","NA","NA","2.5","NA","NA","2.5","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","herb","perennial","NA","0.6","0.3","reed 1977; NA","book: economically important foreign weeds; online: http://www.floraiberica.es/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","Opuntia stricta","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sedum sediforme","1_2_bartomeus_spain_2008_fraop_1_2.csv","Andrena sp.",1,"bartomeus_2008_fra1op.csv","Spain",42.315336,3.296797,"Saxifragales","Crassulaceae","Sedum","Sedum sediforme","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","12.6","NA","NA","3","NA","NA","NA","2","1","3","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.25","0.6","0.42499999999999999","NA","online: http://www.maltawildplants.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","Cistus albidus","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1.5","0.75","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","Cistus albidus","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus albidus","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","217","self_incompatible","blasco & mateu","journal: acta botanica gallica","10.1080/12538078.1995.10515713","NA","flower","no","NA","no","pink","dish","actinomorphic","50","40","60","7","NA","NA","NA","NA","NA","NA","NA","NA","94.78","NA","NA","14.3","9","shrub","perennial","NA","1","0.5","blasco & mateu 2013; onate & munne-bosch 2010; NA; NA; bosch 1992","journal: acta botanica gallica; journal: plant biology; online: https://www.florealpes.com/ *flower size*; online: http://www.floraiberica.es/ *height*; journal: botanical journal of the linnean society","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","Cistus monspeliensis","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","Cistus monspeliensis","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus monspeliensis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15","10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA","20.67","NA","NA","1.83","9","shrub","perennial","NA","1","0.5","NA; bosch 1992; NA","online: http://www.efloras.org/; journal: botanical journal of the linnean society; ONLINE: https://ucjeps.berkeley.edu/","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","Cistus salvifolius","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"24","Cistus salvifolius","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Malvales","Cistaceae","Cistus","Cistus salviifolius","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20","15","25","5","NA","NA","NA","NA","NA","NA","NA","NA","76.89","NA","NA","9.42","9","shrub","perennial","0.4","1.5","0.95","NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","Dorichnium pentaphylum","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower",NA,"NA","NA","pink","tube","zygomorphic","3.5","NA","NA","4.5","3","6","4.5","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.6","0.3","NA","online: https://www.turkiyebitkileri.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","Galactites tomentosa","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"batomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Galactites","Galactites tomentosus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","purple","capitulum","actinomorphic","60","NA","NA","16.5","13","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.15","1","0.27500000000000002","NA","online: https://floradegalicia.wordpress.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","Helianthemum guttatum","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_sel1op.csv","Spain",42.315336,3.296797,"Malvales","Cistaceae","Tuberaria","Tuberaria guttata","NA","bisexual","hermaphrodite","NA","high","quantitative","90","NA","NA","self_compatible","herrera 1992","journal: plant systematics and evolution","https://doi.org/10.1007/BF00937600","NA","flower","no","no","no","yellow","dish","actinomorphic","11.5","8","15","3","NA","NA","NA","NA","NA","NA","NA","NA","60","50","70","NA","NA","herb","annual","NA","0.3","0.15","NA; NA; proctor 1960; herrera 2004","online: http://ucjeps.berkeley.edu/; online: https://bsbi.org/; journal: journal of ecology","NA","NA","10.2307/2257323","10.1023/B:VEGE.0000026340.53858.44","online: https://www.first-nature.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","Helichrisum stoechas","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_sel1op.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Helichrysum","Helichrysum stoechas","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","10","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.7","0.35","NA; galbany casals, saez & benedi 2006","online: https://www.floravascular.com/; journal: canadian journal of botany * height*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29","Linum sp.","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Malpighiales","Linaceae","Linum","Linum sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","0.2","0.9","0.55000000000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","Rosmarinus officinalis","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","self_compatible","hidalgo & hubera 2001","journal: the international journal of developmental biology","10.1111/plb.12686","NA","flower","yes","NA","no","purple","tube","zygomorphic","15","NA","NA","15","5","25","7","15","NA","NA","NA","NA","8","NA","NA","NA","NA","shrub","perennial","NA","2","1","hidalgo & ubera 2001; NA","journal: the international journal of developmental biology *breeding system, compatibility*; online: https://www.cabi.org/ *life form, height*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"31","Rosmarinus officinalis","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Lamiales","Lamiaceae","Rosmarinus","Rosmarinus officinalis","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","self_compatible","hidalgo & hubera 2001","journal: the international journal of developmental biology","10.1111/plb.12686","NA","flower","yes","NA","no","purple","tube","zygomorphic","15","NA","NA","15","5","25","7","15","NA","NA","NA","NA","8","NA","NA","NA","NA","shrub","perennial","NA","0.9","0.45","hidalgo & ubera 2001; NA","journal: the international journal of developmental biology *breeding system, compatibility*; online: https://www.cabi.org/ *life form, height*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32","Vicea lutea","1_3_bartomeus_spain_2008_medca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_med1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Vicia","Vicia lutea","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","bennett 1999","book: genetic resources of mediterranean pasture and forage legumes","NA","NA","flower","NA","NA","NA","white_yellow","tube","zygomorphic","11.25","NA","NA","22.5","20","25","11.25","NA","NA","NA","NA","NA","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","bok & gazzah 2008; NA; gunn 1927","journal: international journal of integrative biology *breeding system, compatibility*; online: http://www.florabeilles.org/ ; book: seeds of nature and naturalized vetches of north america","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
