"","species"
"75","Pedicularis densispica"
"76","Pedicularis dichotoma"
"77","Pedicularis rex"
"78","Pedicularis siphonantha"
"79","Pedicularis tricolor"
"80","Phlomis atropurpurea"
"81","Phlomis tatsienensis"
"82","Picris  hieracioides"
"83","Pleurospermum davidii"
"84","Polygonum macrophyllum"
"85","Polygonum runcinatum"
"86","Polygonum sinomontanum"
"87","Potentilla fallens"
"88","Potentilla griffithii"
"89","Potentilla lancinata"
"90","Primula poisonii"
"91","Primula secundiflora"
"92","Prunella vulgaris"
"93","Pterocephalus hookeri"
"94","Salvia przewalskii"
"95","Saussurea wardii"
"96","Silene gracilicaulis"
"97","Silene yunnanensis"
"98","Spenceria ramalana"
"99","Stellaria yunnanensis"
"100","Swertia forrestii"
"101","Thalictrum delavayi"
"102","Thalictrum rostellatum"
"103","Tibetia himalaica"
"104","Trifolium pratense"
"105","Trifolium repens Linn. "
"106","Trollius vaginatus"
"107","Aconitum piepunense"
"108","Androsace spinulifera"
"109","Anemone demissa"
"110","Anemone rupestris"
"111","Calystegia hederacea"
"112","Cerastium glomeratum"
"113","Clinopodium megalanthum"
"114","Draba yunnanensis"
"115","Elsholtzia densa"
"116","Geranium sibiricum"
"117","Heracleum candicans"
"118","Incarvillea zhongdianensis"
"119","Iris ruthenica"
"120","Lamium amplexicaule"
"121","Leontopodium andersonii"
"122","Morina nepalensis"
"123","Nepeta laevigata"
"124","Pedicularis longiflora"
"125","Pedicularis monbeigiana"
"126","Potentilla fruticosa"
"127","Ranunculus zhungdianensis"
"128","Salvia flava"
"129","Scutellaria hypericifolia"
"130","Silene chungtienensis"
"131","Stachys kouyangensis"
"132","Stellera chamaejasme"
"133","Taraxacum mongolicum"
"134","Torilis japonica"
"135","Trollius yunnanensis"
"136","Vicia cracca"
"137","Vicia nummularia"
"138","Viola delavayi"
"139","Allium macranthum"
"140","Delphinium delavayi"
"141","Dracocephalum forrestii"
"142","Gentiana atuntsiensis"
"143","Hemistepta lyrata"
"144","Ligularia tsangchanensis"
"145","Pimpinella diveraifolia"
"146","Rosa soulieana"
"147","Spiraea myrtilloides"
"148","Thlaspi arvense"
"149","Deutzia crenata"
"150","Angelica pubescens"
"151","Persicaria thunbergii"
"152","Rubus crataegifolius"
"153","Stenactis annuus"
"154","Viburnum plicatum"
"155","Reynoutria japonica"
"156","Kerria japonica"
"157","Rubus palmatus"
"158","Hydrangea macrophylla"
"159","Kalimeris yomena"
"160","Aralia cordata"
"161","Leucosceptrum stellipilum"
"162","Corydalis incisa"
"163","Angelica polymorpha"
"164","Weigela hortensis"
"165","Hydrangea paniculata"
"166","Impatiens textori"
"167","Cirsium microspicatum"
"168","Deutzia maximowicziana"
"169","Omphalodes japonica"
"170","Staphylea bumalda"
"171","Lindera obtusiloba"
"172","Macleaya cordata"
"173","Viola verecunda"
"174","Ligularia fischerii"
"175","Symplocos chinensis"
"176","Astilbe thunbergii"
"177","Orixa japonica"
"178","Hydrangea hirta"
"179","Ranunculus silerifolius"
"180","Carex curvicollis"
"181","Rorippa indica"
"182","Cardiandra alternifolia"
"183","Meliosma tenuis"
"184","Aralta elata"
"185","Aster ageratoides amplexifolius"
"186","Aster glehni"
"187","Stephanandra incisa"
"188","Duchesnea chrysantha"
"189","Desmodium podocarpum"
"190","Corydalis pallida"
"191","Impatiens noli-tangere"
"192","Rhus javanica"
"193","Geranium nepalense"
"194","Lonicera gracilipes"
"195","Rabdosia trichocarpa"
"196","Viburnum phlebotricum"
"197","Osterium sieboldii"
"198","Lindera umbellata"
"199","Stellaria uchiyamana"
"200","Cardamine tanakae"
"201","Clethra barbinervis"
"202","Callicarpa japonica"
"203","Geum japonicum"
"204","Wisteria floribunda"
"205","Glechoma hederacea"
"206","Stachyurus praecox"
"207","Aster ageratoides"
"208","Euonymus alatus"
"209","Acer carpinifolium"
"210","Ampelopsis brevipedunculata"
"211","Paederia scandens"
"212","Trifolium repens"
"213","Rabdosia longituba"
"214","Swertia bimaculata"
"215","Vicia venosa"
"216","Cardamine regeliana"
"217","Prunus jamasakura"
"218","Rubus buergeri"
"219","Rhododendron kaempferi"
"220","Sambucus racemosa"
"221","Stellaria alsine"
"222","Achyranthes bidentata"
"223","Euptelea polyandra"
"224","Ixeris dentata"
"225","Paeonia japonica"
"226","Pollia japonica"
"227","Actinidia arguta"
"228","Albizzia julibrissin"
"229","Chelidonium majus"
"230","Cryptotaenia japonica"
"231","Digitaria ciliaris"
"232","Meehania urticifolia"
"233","Persicaria conspicua"
"234","Persicaria yokusaiana"
"235","Swida macrophylla"
"236","Trigonotis brevipes"
"237","Akebia quinata"
"238","Alangium platanifolium"
"239","Codonopsis lanceolata"
"240","Dipsacus japonicus"
"241","Patrinia villosa"
"242","Persicaria aestiva"
"243","Potentilla sundaica"
"244","Youngia denticulata"
"245","Amphicarpaea bracteata"
"246","Aster ageratoides ovatus"
"247","Aster subulatus"
"248","Bistorta tenuicaulis"
"249","Calamagrostis arundinacea"
"250","Clematis apiifolia"
"251","Eriobotrya japonica"
"252","Eupatorium chinense"
"253","Houttuynia cordata"
"254","Hypericum pseudopetiolatum"
"255","Kalimeris pinnatifida"
"256","Ligustrum obtusifolium"
"257","Persicaria pubescens"
"258","Plantago asiatica"
"259","Senecio nikoensis"
"260","Valeriana flaccidissima"
"261","Kunzea muelleri"
"262","Aciphylla glacialis"
"263","Hypochoeris radicata"
"264","Orites lancifolia"
"265","Prostanthera cuneata"
"266","Craspedia sp1 M_PL_019"
"267","Gentianella diemensis"
"268","Wahlenbergia ceracea"
"269","Microseris lanceolata"
"270","Helichrysum scorpioides"
"271","Baeckia gunniana"
"272","Celmisia longifolia"
"273","Epacris petrophila"
"274","Oxylobium ellipticum"
"275","Senecio lautus"
"276","Euphrasia collina"
"277","Helipterum albicans"
"278","Senecio gunnii"
"279","Achillea millefolium"
"280","Richea continentis"
"281","Leucopogon montanus"
"282","Phebalium ovatifolium"
"283","Helichrysum alpinum"
"284","Brachycome scapigera"
"285","Pentachondra pumila"
"286","Pimelea ligustrina"
"287","Prasophyllum alpinum"
"288","Asperula gunnii"
"289","Leptorhynchos squamatus"
"290","Neopaxia australasica"
"291","Olearia phlogopappa"
"292","Epilobium gunnianum"
"293","Brachycome stolonifera"
"294","Epacris microphylla"
"295","Senecio pectinatus"
"296","Stylidium graminifolium"
"297","Aciphylla simplicifolia"
"298","Brachycome scapiformis"
"299","Brachycome sp1 M_PL_019"
"300","Stackhousia pulvinaris"
"301","Antidesma madagascariense"
"302","Antirhea borbonica"
"303","Aphloia theiformis"
"304","Ardisia crenate"
"305","Badula insularis"
"306","Badula platiphylla"
"307","Bertiera zaluzania"
"308","Calophyllum eputamen"
"309","Casearia coriacea"
"310","Chassalia coriacea"
"311","Claoxylon linostachys"
"312","Clidemia hirta"
"313","Coffea macrocarpa"
"314","Coffea mauritiana"
"315","Cordemoya integrifolia"
"316","Croton fothergillifolius"
"317","Croton grangeroides"
"318","Diospyros revaughanii"
"319","Dodonaea viscosa"
"320","Doratoxylon apetalum"
"321","Dracaena reflexa"
"322","Embelia angustifolia"
"323","Erythrospermum monticolum"
"324","Erythroxylum macrocarpum"
"325","Eugenia orbiculata"
"326","Euodia chapelieri"
"327","Euodia obtusifolia"
"328","Faujasiopsis flexuosa"
"329","Flagellaria indica"
"330","Gaertnera psychotrioides"
"331","Gaertnera rotundifolia"
"332","Grangeria borbonica"
"333","Harungana madagascariensis"
"334","Helichrysum proteoides"
"335","Homalanthus populifolius"
"336","Labourdonnaisia callophylloides"
"337","Molinaea alternifolia"
"338","Molinaea macrantha"
"339","Myonima violacea"
"340","Ochna mauritiana"
"341","Olea lancea"
"342","Ossaea marginata"
"343","Phyllanthus phillyreifolius"
"344","Pittosporum senacia"
"345","Psathura terniflora"
"346","Psiadia terebinthina"
"347","Psidium cattleianum"
"348","Rubus alcefolius"
"349","Sideroxylon cinereum"
"350","Sideroxylon puberulum"
"351","Smilax anceps"
"352","Stillingia lineata"
"353","Syzygium commersonii"
"354","Syzygium coriaceum"
"355","Syzygium glomeratum"
"356","Syzygium petrinese"
"357","Tabernaemontana persicarifolia"
"358","Toddalia asiatica"
"359","Tristhema mauritiana"
"360","Trochetia blackburniana"
"361","Turraea rigida"
"362","Warneckea trinervis"
"363","Wikstroemia indica"
"364","Xylopia lamarckii"
"365","Agauria salicifolia"
"366","Bakerella hoyifolia"
"367","Chassalia petrinensis"
"368","Colea colei"
"369","Euodia obtusifolia 1"
"370","Gaertnera petrinensis"
"371","Geniostoma borbonicum"
"372","Memecylon ovatifolium"
"373","Mimusops erythroxylon"
"374","Monimiastrum globosum"
"375","Ocotea laevigata"
"376","Pandanus barklyi"
"377","Pandanus rigidifolius"
"378","Pandanus wiehii"
"379","Pleurostylia leucocarpa"
"380","Polyscias mauritiana"
"381","Pyrostria fasciculata"
"382","Roussea simplex"
"383","Syzygium mauritianum"
"384","Syzygium venosum"
"385","Tambourissa peltata"
"386","Xyris sp"
"387","Memecylon eleagni"
"388","Mimusops sechellarum"
"389","Nephrosperma vanhoutteanum"
"390","Paragenipa wrightii"
"391","Soulamea terminaloides"
"392","Dillenia ferruginea"
"393","Erythroxylum sechellarum"
"394","Canthium bibracteatum"
"395","Cinnamomum verum"
"396","Colea seychellarum"
"397","Phoenicophorium borsigianum"
"398","Roscheria melanochaetes"
"399","Psychotria pervillei"
"400","Northea hornei"
"401","Alstonia macrophylla"
"402","Excoecaria benthiamiana"
"403","Campnosperma seychellarum"
"404","Craterispermum microdon"
"405","Glionnetia sericea"
"406","Syzygium wrightii"
"407","Gastonia crassa"
"408","Medusagyne oppositifolia"
"409","Chrysobalanus icaco"
"410","Diospyros seychellarum"
"411","Ochna kirkii"
"412","Premna serratifolia"
"413","Paraserianthes falcataria"
"414","Deckenia nobilis"
"415","Euphorbia pyrifolia"
"416","Nepenthes pervillei"
"417","Timonius sechellensis"
"418","Ixora pudica"
"419","Dillenia suffruticosa"
"420","Castanopsis sieboldii"
"421","Mallotus japonicus"
"422","Meliosma rigida"
"423","Glochidion acuminatum"
"424","Schima wallichii"
"425","Elaeocarpus japonicus"
"426","Lagerstroemia subcostata"
"427","Peucedanum joponicum"
"428","Ardisia sieboldii"
"429","Symplocos microcalyx"
"430","Heritiera littoralis"
"431","Wendtandia formosana"
"432","PittosPorum tobira"
"433","Ampetopsis brevipedunculata"
"434","Crepidiastrum lanceolatum"
"435","Deutzia naseana"
"436","Clerodendrum trichotomum"
"437","Machitus thunbergii"
"438","Schefflera octophylla"
"439","Youngia japonica"
"440","Ardisia quinquegona"
"441","Elaeocarpus sylvestris"
"442","Ilex integra"
"443","Glochidion obovatum"
"444","Glochidion zeylanicum"
"445","Musaenda parviflora"
"446","Maesa tenera"
"447","Euodia meliifolia"
"448","Alocasia odora"
"449","Cinnamomum doederleinii"
"450","Styrax japonica"
"451","Rhamnella franguloides"
"452","Euscaphis japonica"
"453","Kandetia candel"
"454","Antidesma joponicum"
"455","Dendropanax trifidus"
"456","Clematis terniflora"
"457","Ligustrum joponicum"
"458","Trema orientalis"
"459","Vitex rotundifolia"
"460","Litsea japonica"
"461","Acer insulae"
"462","Melastoma candidum"
"463","Mosla dianthera"
"464","Brassica campestris"
"465","Hibiscus maleinoi"
"466","Pandanus odoratissimus"
"467","Lysimachia mauiriana"
"468","Premna microphylla"
"469","Psychotria sepens"
"470","Scaevola frutescens"
"471","Diospyrus japonica"
"472","Farfugium joponicum"
"473","Premna corymbosa"
"474","Bredia hirsuta"
"475","Maackia tashiroi"
"476","Stauntonia hexaPhylla"
"477","Alpinia sp1 M_PL_044"
"478","Persicaria chinensis"
"479","Securinega suffruticosa"
"480","Vigna marina"
"481","Aeginetia indica"
"482","Aster asa-grayi"
"483","Croomia japonica"
"484","Meliosma oldhamii"
"485","Ajuga dictyocarpa"
"486","Cerbera manghas"
"487","Hibiscus tiliaceus"
"488","Rhaphiolepis indica"
"489","Ageratum houstonianum"
"490","Alpinia intermedia"
"491","Canavalia lineata"
"492","Cirsium brevicaule"
"493","Hibiscus hamabo"
"494","Piper kadzura"
"495","Psychotria homalosperma"
"496","Ranunculus sieboldii"
"497","Rubus croceacanthus"
"498","Rubus sieboldii"
"499","Sedum formosanum"
"500","Alpinia formosana"
"501","Ormocaipum cochinchinense"
"502","Pinus luchuensis"
"503","Rhynchotechum discolor"
"504","Scleria terrestris"
"505","Vaccinium wrightii"
"506","VVedelia biflora"
"507","Actinidia rufa"
"508","Ardisia pusilla"
"509","Barringtonia racemosa"
"510","Bauhinia japonica"
"511","Belamcanda chinensis"
"512","Bidens pilosa"
"513","Blastus cochinchinensis"
"514","Clematis grata"
"515","Eurya japonica"
"516","Ipomoea indica"
"517","Lasianthus japonicus"
"518","Litsea citriodora"
"519","Metothria tiukiuensis"
"520","Morinda umbellata"
"521","Musa balbisiana"
"522","Myrsine segttinii"
"523","Rhododendron tashiroi"
"524","Rubus grayanus"
"525","Salsola komarovii"
"526","Viola pseudo-japonica"
"527","Dryas integrifolia"
"528","Salix arctica"
"529","Saxifraga oppositifolia"
"530","Potentilla nivea"
"531","Papaver radicatum"
"532","Pedicularis arctica"
"533","Lesquerella arctica"
"534","Polygonum viviparum"
"535","Arnica alpina"
"536","Taraxacum arctogenum"
"537","Stellaria longipes"
"538","Erysimum pallasii"
"539","Saxifraga hirculus"
"540","Cassiope tetragona"
"541","Cerastium alpinum"
"542","Draba sp1 M_PL_020"
"543","Erigeron compositus"
"544","Erigeron eriocephalus"
"545","Pedicularis capitata"
"546","Ranumculus sulphureus"
"547","Saxifraga tricuspidata"
"548","Campanula gieseckiana"
"549","Ledum palustre"
"550","Silene acaulis"
"551","Rhododendron lapponicum"
"552","Salix sp1 M_PL_045"
"553","Epilobium latifolium"
"554","Vaccinium uliginosum"
"555","Viscaria alpina"
"556","Pedicularis flammea"
"557","Potentilla rubricaulis"
"558","Pyrola grandiflora"
"559","Saxifraga caespitosa"
"560","Argusia argentea"
"561","Dracaena concinna"
"562","Gastonia mauritiana"
"563","Ipomoea macrantha"
"564","Leucaena leucocephala"
"565","Morinda citrifolia"
"566","Passiflora suberosa"
"567","Pemphis acidula"
"568","Scaevola sericea"
"569","Stachytapheta jamaicencis"
"570","Suriana maritima"
"571","Thespesia populnea"
"572","Turnera angustifolia"
"573","Cordia lutea"
"574","Darwiniothamnus tenuifolius"
"575","Plumbago scandens"
"576","Justicia galapagana"
"577","Tournefortia rufo-sericea"
"578","Cassia sp1 M_PL_026"
"579","Gossypium sp1 M_PL_026"
"580","Opuntia helleri"
"581","Scalesia beurii"
"582","Sida rhombifolia"
"583","Clerodendrum molle var."
"584","Cordia leucophlyctis"
"585","Diodia radula"
"586","Lycopersicon cheesmanii"
"587","Mormordica charantia"
"588","Vigna luteola"
"589","Acacia insulae-iacobi"
"590","Avicennia germinans"
"591","Cassia picta"
"592","Clerodendrum molle"
"593","Commicarpus tuberosus"
"594","Croton scouleri"
"595","Cryptocarpus pyriformis"
"596","Gossypium barbadense"
"597","Opuntia echios"
"598","Prosopis juliflora"
"599","Solanum americanum"
"600","Tournefortia psilostachya"
"601","Tribulus cistoides"
"602","Waltheria ovata"
"603","Abelmoschus manihot"
"604","Abutilon depauperatum"
"605","Acacia macracantha"
"606","Ageratum conyzoides"
"607","Bacopa monniera"
"608","Bastardia viscosa"
"609","Bougainvillea sp1 M_PL_026"
"610","Bursera graveolens"
"611","Cacabus miersii"
"612","Caesalpinia pulcherrima"
"613","Canna sp1 M_PL_026"
"614","Capsicum frutescens"
"615","Cardiospermum galapageium"
"616","Carica papaya"
"617","Cassia occidentalis"
"618","Castela galapageia"
"619","Catharanthus roseus"
"620","Chicocca alba"
"621","Clerodendrum molle glabr."
"622","Coffea arabica "
"623","Cordia sp1 M_PL_026"
"624","Crotalaria incana"
"625","Cucurbita pepo"
"626","Cuphea racemosa"
"627","Encelia hispida"
"628","Euphorbia cyathophora"
"629","Galactea striata"
"630","Galvezia leucantha"
"631","Galvezia leucantha pubescen"
"632","Geoffroea spinosa"
"633","Hibiscus teliaceus"
"634","Inga edulis"
"635","Ipomoea linearifolia"
"636","Ipomoea pes-caprae"
"637","Ipomoea sp1 M_PL_026"
"638","Jaegeria gracilis"
"639","Lantana peducularis"
"640","Lycopersicon cheesmanii minor"
"641","Macraea laricifolia"
"642","Malvastrum coromandelianum"
"643","Mentzelia aspera"
"644","Miconia robinsoniana"
"645","Mirabilis jalapa"
"646","Nolana galapagensis"
"647","Opuntia echios gigantea"
"648","Opuntia megasperma"
"649","Opuntia sp1 M_PL_026"
"650","Opuntia sp2 M_PL_026"
"651","Parkinsonia aculeata"
"652","Passiflora foetida"
"653","Persea maericana"
"654","Phyla sp1 M_PL_026"
"655","Physalis pubescens"
"656","Piscidia carthagenesis"
"657","Polygonum opelousanum"
"658","Portulaca oleracea"
"659","Psidium guajava"
"660","Psychotria rufipes"
"661","Rhynchosia minima"
"662","Scalesia affinis"
"663","Scalesia helleri"
"664","Scalesia pedunculata"
"665","Scalesia sp1 M_PL_026"
"666","Scaveola plumieri"
"667","Sesuvium portulacastrum"
"668","Setaria geniculta"
"669","Sida acuta"
"670","Sida paniculata"
"671","Sida spinosa"
"672","Sonchus oleraceus"
"673","Stachtarpheta cayanensis"
"674","Tetramerium nervosum"
"675","Vallesia glabra"
"676","Daucus carota carota"
"677","Eryngium campestre"
"678","Helianthemum guttatum"
"679","Helichrisum stoechas"
"680","Ruta chalepensis"
"681","Scabiosa stellata"
"682","Sedum sediforme"
"683","Equium sabulicola"
"684","Brassica fruticulosa"
"685","Cassinia vauvilliersi"
"686","Pratia angulata"
"687","Gentiana corymbifera"
"688","Wahlenbergia albomarginata"
"689","Celmisia coriacea"
"690","Galium propinquum"
"691","Helichrysum bellidioides"
"692","Celmisia armstrongii"
"693","Chrysanthemum leucanthemum"
"694","Craspedia uniflora"
"695","Hoheria glabrata"
"696","Senecio bellidioides"
"697","Hebe odora"
"698","Senecio bidwilli"
"699","Parahebe lyalii"
"700","Ranunculus lyalii"
"701","Senecio scorzoneroides"
"702","Ourisia macrocarpa"
"703","Leptospermum scoparium"
"704","Hebe salicifolia"
"705","Discaria toumatou"
"706","Olearia virgata"
"707","Aciphylla subflavellata"
"708","Cassinia fulvida"
"709","Cirsium arvense"
"710","Corokia cotoneaster"
"711","Celmisia spectabilis"
"712","Dracuphyllum acerosum"
"713","Helichrysum selago"
"714","Raoulia subsericea"
"715","Pimelea traversii"
"716","Celmisia gracilenta"
"717","Rosa rubiginosa"
"718","Hebe brachysiphon"
"719","Muehlenbeckia axillaris"
"720","Isotoma fluviatilis"
"721","Parahebe decora"
"722","Pimelea sericeo-villosa"
"723","Potentilla anserina"
"724","Brachyome sinclairii"
"725","Epilobium sp1 M_PL_028"
"726","Carmichaelia angusta"
"727","Raoulia lutescens"
"728","Echium vulgare"
"729","Verbascum thapsis"
"730","Cytisus scoparius"
"731","Digitalis purpurea"
"732","Linum catharticum"
"733","Lupinus polyphyllus"
"734","Marrubium vulgare"
"735","Muehlenbeckia complexa"
"736","Raoulia mammilaris"
"737","Hebe subalpina"
"738","Cassinia vauvilliersii"
"739","Celmisia discolor"
"740","Celmisia petiolata"
"741","Hebe pinguifolia"
"742","Dracophyllum pronum"
"743","Euphrasia revoluta"
"744","Phyllachne colensoi"
"745","Hebe epacridea"
"746","Hieracium praealtum"
"747","Leucogenes grandiceps"
"748","Brachycome sinlcairii"
"749","Drapetes dieffenbachii"
"750","Epilobium sp1 M_PL_029"
"751","Geum uniflorum"
"752","Aciphylla scott-thompsoni"
"753","Anisotome aromatica"
"754","Celmisia laricifolia"
"755","Cotula pyrethrifolia"
"756","Donatia novae-zelandiae"
"757","Hypochaeris radicata"
"758","Raoulia grandiflora"
"759","Viola cunninghamii"
"760","Galium perpusillum"
"761","Hieracium pilosella"
"762","Ranunculus enysii"
"763","Celmisia lyalii"
"764","Celmisia sessiliflora"
"765","Euphrasia zelandica"
"766","Ourisia caespitosa"
"767","Anisotome flexuosus"
"768","Gentiana montana"
"769","Pratia macrodon"
"770","Humiria balsamifera"
"771","Poecilandra retusa"
"772","Bonnetia sessilis"
"773","Brocchinia acuminata"
"774","Clusia pusilla"
"775","Ilex retusa"
"776","Phthirusa adunca"
"777","Stegolepsis angustata"
"778","Calea lucidivenia"
"779","Tibouchina fraterna"
"780","Clusia grandiflora"
"781","Cybianthus quelchii"
"782","Digomphia laurifolia"
"783","Vaccinium puberulum"
"784","Vismia lauriformis"
"785","Borreria capitata"
"786","Heliamphora heterodoxa"
"787","Macairea pachyphylla"
"788","Marcetia taxifolia"
"789","Siphanthera cordifolia"
"790","Vaccinium euryanthum"
"791","Vernonia bolivariensis"
"792","Befaria glauca"
"793","Chromolanea sp1 M_PL_031"
"794","Cyrilla racemiflora"
"795","Declieuxia fruticosa"
"796","Epidendrum ibaguense"
"797","Eriopsis biloba"
"798","Galactophora schomburgkiana"
"799","Mandevilla benthamii"
"800","Meriana sclerophylla"
"801","Miconia ciliata"
"802","Mikania psilotachya"
"803","Pagameopsis garryoides"
"804","Philodendron ptarianum"
"805","Remijia densiflora"
"806","Sipanea galioides"
"807","Ternstroemia crassifolia"
"808","Xyris setigera"
"809","Catasetum discolor"
"810","Epistephium duckei"
"811","Irlbachia nemorosa"
"812","Macairea parvifolia"
"813","Notopora schomburgkii"
"814","Pogonia stricta"
"815","Sauvagesia angustifolia"
"816","Sobralia liliastrum"
"817","Tococa nitens"
"818","Ludwigia nervosa"
"819","Hyptis dilatata"
"820","Besmoscelis villosa"
"821","Cuphea o'donellii"
"822","Hyptis conferta"
"823","Pterolepis glomerata"
"824","Aeschynomene pratensis"
"825","Sauvagesia rubiginosa"
"826","Synqonanthus caulescens"
"827","Tyttnera scabra"
"828","Xyris savanensis"
"829","Caperonia pallustris"
"830","Croton hirtus"
"831","Desmodium barbatum"
"832","Ludwigia decurrens"
"833","Melochia villosa"
"834","Mimosa camporum"
"835","Rhynchanthera serrulata"
"836","Saggitaria quyanensis"
"837","Shultesia brachyptera"
"838","Clidemia capitellata"
"839","Diodia multiflora"
"840","Heliconia psittacorum"
"841","Miconia stephananthera"
"842","Sinningia sp1 M_PL_030"
"843","Xyris laxifolia"
"844","Montricharida arborescens"
"845","Thalia geniculata"
"846","Helianthus laetiflorus"
"847","Cirsium altissimum"
"848","Cornus amomum"
"849","Lepachys pinnata"
"850","Podophyllum peltatum"
"851","Houstonia purpurea calycosa"
"852","Brauneria pallida"
"853","Castilleja coccinea"
"854","Eulophus americanus"
"855","Galium trifidum"
"856","Rosa setigera"
"857","Scutellaria versicolor"
"858","Apocynum cannabinum"
"859","Malva rotundifolia"
"860","Philadelphus grandiflorus"
"861","Viola sagittata"
"862","Eupatorium perfoliatum"
"863","Helenium autumnale"
"864","Hypoxis hirsuta"
"865","Ipomoea hederacea"
"866","Polygonum lapathifolium"
"867","Amelanchier canadensis"
"868","Aster sagittifolius"
"869","Comandra umbellata"
"870","Ambrosia trifida"
"871","Asclepias purpurascens"
"872","Fragaria virginiana illinoensis"
"873","Frasera carolinensis"
"874","Lobelia cardinalis"
"875","Rubus canadensis"
"876","Arabis virginica"
"877","Asclepias verticillata"
"878","Boltonia asteroides"
"879","Erechthites hieracifolia"
"880","Gentiana puberula"
"881","Hibiscus lasiocarpos"
"882","Solanum carolinense"
"883","Cardamine bulbosa"
"884","Convolvulus sepium"
"885","Impatiens biflora"
"886","Iris hexagona"
"887","Mimulus ringens"
"888","Myosotis virginica"
"889","Rubus villosus"
"890","Amorpha fruticosa"
"891","Astragalus canadensis"
"892","Blephilia ciliata"
"893","Cuscuta glomerata"
"894","Geranium carolinianum"
"895","Gerardia tenuifolia"
"896","Psedera quinquefolia"
"897","Dodecatheon meadia"
"898","Erythronium albidum"
"899","Helianthus annuus"
"900","Heuchera hispida"
"901","Ilysanthes dubia"
"902","Lactuca floridana"
"903","Penstemon laevigatus"
"904","Sisymbrium canescens"
"905","Bidens laevis"
"906","Cassia chamaecrista"
"907","Geum canadense"
"908","Ludvigia polycarpa"
"909","Mollugo verticillata"
"910","Salix nigra"
"911","Staphylea trifolia"
"912","Taenidia integerrima"
"913","Tephrosia virginiana"
"914","Actinomeris alternifolia"
"915","Ammannia coccinea"
"916","Cirsium pumilum"
"917","Desmodium canadense"
"918","Desmodium canescens"
"919","Desmodium illinoense"
"920","Gentiana andrewsii"
"921","Ipomoea purpurea"
"922","Linaria vulgaris"
"923","Scrophularia marilandica"
"924","Silphium perfoliatum"
"925","Solanum rostratum"
"926","Stachys palustris"
"927","Steironema lanceolatum"
"928","Verbena urticaefolia"
"929","Asclepias sullivantii"
"930","Aster anomalus"
"931","Cephalanthus occidentalis"
"932","Cicuta maculata"
"933","Dicentra cucullaria"
"934","Helianthus scaberrimus"
"935","Lappula virginiana"
"936","Verbena hastata"
"937","Vitis vulpina"
"938","Asparagus officinalis"
"939","Aster paniculatus"
"940","Cirsium lanceolatum"
"941","Eupatorium altissimum"
"942","Fraxinus americanus"
"943","Heracleum lanatum"
"944","Orobanche uniflora"
"945","Prunus americana"
"946","Silphium integrifolium"
"947","Ascerates floridana"
"948","Aster salicifolius"
"949","Blephilia hirsuta"
"950","Circaea lutetiana"
"951","Iris versicolor"
"952","Liparis liliifolia"
"953","Lippia lanceolata"
"954","Ludvigia alternifolia"
"955","Physalis lanceolata"
"956","Polygonatum commutatum"
"957","Polygonum amphibium"
"958","Ranunculus abortivus"
"959","Samolus floribundus"
"960","Scutellaria canescans"
"961","Spiranthes gracilis"
"962","Strophostyles helvola"
"963","Abutilon theophrasti"
"964","Arctium minus"
"965","Coreopsis tripteris"
"966","Euphorbia corollata"
