"","species_geonet","column_label","unique.id","Order_all","Family_all","Genus_all","Species_all","subspecies","sex_or_flower_type","breeding_system","autonomous_selfing_level (none/low/medium/high)","compatibility","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","parasitic (yes/no)","flower_colour","flower_morphology","flower_pollinator_morphology","flower_symmetry","corolla_diameter_mean_mm","corolla_diameter_min_mm","corolla_diameter_max_mm","corolla_length_mean_mm","corolla_length_min_mm","corolla_length_max_mm","tube_length_mm","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_journal","doi","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","intramorph_percentage","intramorph_n","stamen_length_mm","stamen_length_min_mm","stamen_length_max_mm","style_length_mm","style_length_min_mm","style_length_max_mm","ovary_length_mm","ovary_min_mm","ovary_max_mm","stigma_length_mm","stigma_min_mm","stigma_max_mm","pistil_length_mm","pistil_min_mm","pistil_max_mm","inflorescence_form","inflorescence_arrangement","inflorescence_length_mm","inflorescence_width_mean_mm","inflorescence_width_min_mm","inflorescence_width_max_mm","inflorescence_comment","pollen_anther_mean","pollen_anther_sd","pollen_anther_n","pollen_flower_mean","pollen_flower_min","pollen_flower_max","pollen_flower_sd","pollen_flower_n","pollen_ovule_ratio","pollen_ovule_ratio_sd","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","stamen_mean","stamen_min","stamen_max","anthers_exerted_yes_or_no","anthers_exerted_mm","pistil_mean","stigma_mean","stigma_exerted_yes_or_no","stigma_exerted_mm","flowers_inflorescences_min","flowers_inflorescences_max","flowers_inflorescences_mean","inflorescences_plant_min","inflorescences_plant_max","inflorescences_plant_mean","flower_plant_min","flower_plant_max","flower_plant_mean","flower_lifespan_days","flowering_time_days","nectar_yes_or_no","nectar_ul_day_mean","nectar_ul_day_sd","nectar_ul_day_n","total_nectar_ul_mean","total_nectar_ul_sd","total_nectar_ul_n","sugar_nectar_mg_mean","sugar_nectar_mg_sd","sugar_nectar_mg_n","sugar_concentration_mean","sugar_concentration_sd","sugar_concentration_n","fruit_type","fruit_colour","fruit_length_mm","fruit_width_mm","pollen_polar_length_um_mean","pollen_polar_length_um_min","pollen_polar_length_um_max","pollen_equatorial_length_mean_um","pollen_equatorial_length_min_um","pollen_equatorial_length_max_um","pollen_polar_equatorial","mean_pollen_tube_growth_um_min","chromosome number","ploidy","location","country","references__1","reference_journal__1","doi__5","doi__6","doi__7","doi__8","doi__9"
"208","Aniseia_cernua","160","souza_2018_pantanal.csv","Solanales","Convolvulaceae","Aniseia cernua","Aniseia cernua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"209","Anisotome aromatica","139","primack_1983_craigieburn.csv","Apiales","Apiaceae","Anisotome","Anisotome aromatica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"210","Anisotome flexuosus","139","primack_1983_craigieburn.csv","Apiales","Apiaceae","Anisotome","Anisotome flexuosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"211","Annona_nutans","160","souza_2018_pantanal.csv","Magnoliales","Annonaceae","Annona","Annona nutans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"212","Annona_tomentosa","158","souza_2018_cerrado.csv","Magnoliales","Annonaceae","Annona","Annona tomentosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213","Antennaria alpina","27","elberling_1999.csv","Asterales","Asteraceae","Antennaria","Antennaria alpina","NA","separated","gynoecious","NA","NA","NA","floret","yes","apomixis & stolons","yes",,"white","tube","bowl","actinomorphic","1","NA","NA","4.8499999999999996","4.5","5.2","4.8499999999999996","herb","perennial","0.04","0.15","0.1","NA; NA","online: efloras.org; online: https://nature.ca","NA","NA",,,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4.25","4","4.5","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","terminal","9","9",,,"NA","NA","NA","NA","NA",,,"NA","NA","NA",,"1",,,"NA","NA","0",,,"NA","NA","1","2","NA","NA","NA","NA","30","NA","NA","15","NA","NA","450","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cypsela","NA","1.45","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA; NA","online: efloras.org; online: https://nature.ca","NA","NA",,,
"214","Antennaria plantaginifolia","148","robertson_1929.csv","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","NA","separated","dioecious","none","dioecious","NA","female_flower","NA","rhizomes, apomixis","yes",,"white","tube","tube","actinomorphic","1","NA","NA","5.75","4.5","7",,"herb","perennial","7.0000000000000007E-2","0.25","0.16","NA; mohlenbrock 2017; michaels & bazzaz 1986","online: http://www.efloras.org; book: flowering plants: asteraceae, part 3; journal: ecology","NA","ISBN: 0809336057","https://doi.org/10.2307/1938500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"215","Antennaria plantaginifolia","148","robertson_1929.csv","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","NA","separated","dioecious","none","dioecious","NA","male_flower","yes","rhizomes, apomixis","yes",,"white","tube","tube","actinomorphic","1","NA","NA","4.25","4","5.5",,"herb","perennial","7.0000000000000007E-2","0.25","0.16","NA; mohlenbrock 2017; michaels & bazzaz 1986","online: http://www.efloras.org; book: flowering plants: asteraceae, part 3; journal: ecology","NA","ISBN: 0809336057","https://doi.org/10.2307/1938500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"216","Antenoron filiforme","112","kato_1990.csv","Caryophyllales","Polygonaceae","Persicaria","Persicaria filiformis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"217","Anthemis cotula","148","robertson_1929.csv","Asterales","Asteraceae","Anthemis","Anthemis cotula","NA","bisexual","hermaphrodite","low","partially_self_incompatible","NA","ray_floret","no","NA","no",,"white","exposed","exposed","zygomorphic","3","NA","NA","9.5","5","14","NA","herb","annual","7.0000000000000007E-2","0.7","385","NA; NA; kay 1971; crawford & burke 013; NA","online: https://www.cabi.org; online: http://www.cretanflora.com; journal: journal of ecology; conference: mayweed chamomile anthemis coluta; online: https://vicflora.rbg.vic.gov.au","NA","NA","NA","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
