"","ID","Species","Success1","Success2","Success3","Success4","Success5","Success6","Success7","Success.test","n.of.success","Brain.weight","IT..mm.","brain.IT","Genus","Success.test.as.numeric","residuals","PER.sugar.test","PER.sugar.test.censored","success.test.logi","log.brain.it","phylo","total_successes","newResidLBrain","Family","newResidBrain"
"42","D153","Rhodanthidium_sticticum","1","0","1","1","0","0","1","0",4,2.401,3.7,0.648918918918919,"Rhodanthidium",0,-0.0315589590305537,63,63,FALSE,0.669466747362731,"Rhodanthidium_sticticum",4,-0.0309189460411633,"Megachilidae",-0.0332097667619905
"43","D154","Rhodanthidium_sticticum","1","1","0","0","0","1","0","1",4,3.035,3.9,0.778205128205128,"Rhodanthidium",1,0.0924172509411901,7,7,TRUE,0.815746180162772,"Rhodanthidium_sticticum",3,0.0519146629695224,"Megachilidae",0.0477710795205743
"44","D155","Bombus_terrestris","0","1","1","0","1","1","1","1",6,4.8,4.493,1.06832851101714,"Bombus",1,0.25412215027824,29,29,TRUE,1.04398960420394,"Bombus_terrestris",5,0.168331470462317,"Apidae",0.165488760622639
"45","D157","Andrena_hispania","1","0","1","1","1","1","1","1",7,2.902,2.909,0.997593674802338,"Andrena",1,0.662132446992638,5,5,TRUE,0.997743768600191,"Andrena_hispania",6,0.0560123042467426,"Andrenidae",0.0454524427949159
"46","D167","Rhodanthidium_sticticum","0","1","1","0","0","0","0","1",3,1.509,3.607,0.418353202107014,"Rhodanthidium",1,-0.442636270873258,24,24,TRUE,0.320722385390732,"Rhodanthidium_sticticum",2,-0.223466655437655,"Megachilidae",-0.224861553722198
"47","D169","Bombus_terrestris","1","1","1","1","1","0","1","1",7,2.923,4.147,0.70484687726067,"Bombus",1,-0.0739062410807753,3,3,TRUE,0.754092843666827,"Bombus_terrestris",6,-0.0182608347130732,"Apidae",-0.0182832283830582
"48","D170","Bombus_terrestris","0","1","0","1","1","1","1","1",6,3.543,4.282,0.827417094815507,"Bombus",1,0.051306467279192,8,8,TRUE,0.869744407039386,"Bombus_terrestris",5,0.0537603500984024,"Apidae",0.0526105046585426
"49","D171","Bombus_terrestris","0","0","0","1","1","1","1","1",5,2.789,4.563,0.611220688143765,"Bombus",1,-0.321216666102575,5,5,TRUE,0.675689340191672,"Bombus_terrestris",4,-0.0730212083948474,"Apidae",-0.0764080115559841
"50","D172","Bombus_terrestris","1","1","0","0","1","1","1","1",6,2.58,3.732,0.691318327974277,"Bombus",1,0.0222940835049541,2,2,TRUE,0.719688305100643,"Bombus_terrestris",5,-0.0345489109937929,"Apidae",-0.0308603792901949
"51","D173","Bombus_terrestris","0","1","0","1","1","1","1","1",6,3.434,4.118,0.833899951432734,"Bombus",1,0.101919018218938,4,4,TRUE,0.871664544938071,"Bombus_terrestris",5,0.0542344584523398,"Apidae",0.0544590437901682
"52","D174","Bombus_terrestris","1","1","1","1","1","1","1","1",8,3.774,4.281,0.881569726699369,"Bombus",1,0.11495767469701,7,7,TRUE,0.91331842979303,"Bombus_terrestris",7,0.0812750927878016,"Apidae",0.0801334674493878
"53","D175","Bombus_terrestris","0","1","0","0","1","1","0","0",3,1.993,4.332,0.460064635272392,"Bombus",0,-0.548360976190587,NA,121,FALSE,0.470414218544867,"Bombus_terrestris",3,-0.2002786438312,"Apidae",-0.201837065535839
"54","D178","Lasioglossum_immunitum","0","0","1","0","0","0","0","0",1,0.229,1.359,0.16850625459897,"Lasioglossum",0,-0.2819939208289,33,33,FALSE,-4.80533799913002,"Lasioglossum_immunitum",1,-0.207176876803492,"Halictidae",-0.19929604091635
"55","D179","Rhodanthidium_sticticum","0","0","0","1","1","1","0","0",3,2.246,3.309,0.678754910849199,"Rhodanthidium",0,0.135820406494186,7,7,FALSE,0.676182293466815,"Rhodanthidium_sticticum",3,-0.0197340324029099,"Megachilidae",-0.018094107537284
"56","D180","Rhodanthidium_sticticum","0","0","0","0","1","0","0","0",1,2.53,3.606,0.701608430393788,"Rhodanthidium",0,0.0747170704312012,NA,121,FALSE,0.7237018058139,"Rhodanthidium_sticticum",1,0.0010643466192596,"Megachilidae",-0.000320793072629439
"57","D182","Rhodanthidium_sticticum","0","0","1","1","0","1","1","0",4,2.752,3.314,0.830416415208208,"Rhodanthidium",0,0.335832493098568,NA,121,FALSE,0.844904994428696,"Rhodanthidium_sticticum",4,0.0679616245279503,"Megachilidae",0.0695484097727594
"58","D183","Rhodanthidium_sticticum","0","0","0","0","0","0","1","0",1,2.837,3.596,0.788932146829811,"Rhodanthidium",0,0.195065987988403,NA,121,FALSE,0.814759443749307,"Rhodanthidium_sticticum",1,0.051801891528547,"Megachilidae",0.0505144868735875
"59","D184","Rhodanthidium_sticticum","0","0","0","0","0","1","0","0",1,2.647,3.415,0.77510980966325,"Rhodanthidium",0,0.234001354536794,12,12,FALSE,0.792578376313667,"Rhodanthidium_sticticum",1,0.040270100949831,"Megachilidae",0.0408002959853574
"60","D186","Andrena_pilipes","0","0","0","0","0","1","1","1",3,1.245,3.198,0.389305816135084,"Andrena",1,-0.382672936381378,6,6,TRUE,0.188499528268505,"Andrena_pilipes",2,-0.121806306335369,"Andrenidae",-0.126650214609494
"61","D189","Apis_mellifera","0","1","0","1","0","1","1","1",5,2.125,2.932,0.724761255115962,"Apis",1,0.333995955732817,2,2,TRUE,0.700736696819613,"Apis_mellifera",4,-0.058018795121295,"Apidae",-0.0606506928584683
"62","D191","Apis_mellifera","1","1","1","1","0","1","1","1",7,2.131,2.909,0.732554142316947,"Apis",1,0.353323645647122,2,2,TRUE,0.708545333682587,"Apis_mellifera",6,-0.0539619492638977,"Apidae",-0.056316677146628
"63","D192","Apis_mellifera","1","0","0","0","1","1","0","1",4,3,2.934,1.02249488752556,"Apis",1,0.677407076835494,2,2,TRUE,1.02066731474175,"Apis_mellifera",3,0.0914982865076578,"Apidae",0.0888423898850127
"64","D193","Apis_mellifera","0","0","1","1","1","1","1","1",6,2.553,2.798,0.912437455325232,"Apis",1,0.615551648757327,1,1,TRUE,0.910938571582515,"Apis_mellifera",5,0.0384971304343774,"Apidae",0.0375116218079952
"65","D195","Flavipanurgus_venustus","0","0","0","0","0","0","0","0",0,0.46,1.779,0.258572231590781,"Panurgus",0,-0.148991157282478,90,90,FALSE,-1.34801994716652,"Flavipanurgus_venustus",0,-0.00428867854419479,"Andrenidae",-0.00742380746351146
"66","D197","Flavipanurgus_venustus","0","0","0","1","1","1","1","0",4,0.414,1.696,0.244103773584906,"Panurgus",0,-0.154199324435289,NA,121,FALSE,-1.66938321183187,"Flavipanurgus_venustus",4,-0.0328628541787581,"Andrenidae",-0.0343164361009046
"67","D198","Bombus_pascuorum","0","0","0","1","1","0","1","1",4,1.76,3.492,0.504009163802978,"Bombus",1,-0.220850231512853,8,8,TRUE,0.452079388002988,"Bombus_pascuorum",3,-0.0780433371953699,"Apidae",-0.079778709055547
"68","D199","Bombus_pascuorum","1","0","1","0","0","0","0","0",2,2.493,3.658,0.681519956260252,"Bombus",0,0.0299729014330489,17,17,FALSE,0.704352800928853,"Bombus_pascuorum",2,0.0564637860228936,"Apidae",0.0530939205988432
"69","D200","Bombus_pascuorum","1","1","0","1","1","1","1","1",7,1.944,3.197,0.608070065686581,"Bombus",1,0.0635948031446103,6,6,TRUE,0.571967255872672,"Bombus_pascuorum",6,-0.0031170574941518,"Apidae",-0.00174611255163064
"70","D201","Bombus_pascuorum","1","0","0","1","0","1","1","1",5,1.932,2.981,0.64810466286481,"Bombus",1,0.204038003239929,2,2,TRUE,0.602930117779509,"Bombus_pascuorum",4,0.0193522585781441,"Apidae",0.0231851920216925
"71","D203","Bombus_vestalis","1","1","1","1","1","1","1","1",8,2.341,3.57,0.655742296918768,"Bombus",1,0.0181078781456176,10,10,TRUE,0.668396341470874,"Bombus_vestalis",7,0.00172025153716513,"Apidae",0.00124113961253709
"72","D204","Bombus_pascuorum","1","1","0","0","0","1","1","1",5,2.056,3.378,0.608644168146832,"Bombus",1,0.00417170714393095,11,11,TRUE,0.592107063863554,"Bombus_pascuorum",4,0.00140393617673222,"Apidae",0.000836694108725065
"73","D206","Bombus_pratorum","1","1","1","1","1","0","1","0",6,1.911,3.562,0.536496350364964,"Bombus",0,-0.180141087959381,33,33,FALSE,0.509812922243581,"Bombus_pratorum",6,0.00503557385772811,"Apidae",0.000371491412884953
"74","D207","Bombus_pratorum","1","1","1","0","0","0","0","1",4,1.3,2.861,0.454386578119539,"Bombus",1,-0.106027120093563,5,5,TRUE,0.249592322312705,"Bombus_pratorum",3,-0.0834657477857492,"Apidae",-0.0804169511537073
"75","D208","Bombus_pratorum","0","1","1","1","1","1","1","1",7,1.945,3.475,0.559712230215827,"Bombus",1,-0.110672450118635,75,75,TRUE,0.534091944270299,"Bombus_pratorum",6,0.0215876275542341,"Apidae",0.0177938209944557
"76","D209","Bombus_pratorum","0","1","1","1","0","0","1","0",4,1.833,3.165,0.57914691943128,"Bombus",0,0.0258880866102004,17,17,FALSE,0.525931833374377,"Bombus_pratorum",4,0.0294359982789879,"Apidae",0.0289308032046435
"78","D30","Lasioglossum_immunitum","0","0","0","0","0","1","0","0",1,0.349,2.159,0.161648911533117,"Lasioglossum",0,-0.830949952854468,NA,121,FALSE,-1.36775156016172,"Lasioglossum_immunitum",1,-0.190664034059375,"Halictidae",-0.19907452914996
"79","D31","Lasioglossum_immunitum","0","0","1","1","1","0","1","1",5,0.456,1.889,0.241397564849127,"Lasioglossum",1,-0.283486667671723,10,10,TRUE,-1.23459703902931,"Lasioglossum_immunitum",4,-0.0264772506477474,"Halictidae",-0.0301858644519805
"80","D32","Lasioglossum_immunitum","0","1","1","0","1","1","1","1",6,0.425,1.748,0.243135011441648,"Lasioglossum",1,-0.191279735897062,17,17,TRUE,-1.53215503246941,"Lasioglossum_immunitum",5,-0.0291537808013905,"Halictidae",-0.0301321808487871
"81","D33","Lasioglossum_immunitum","0","0","0","1","0","1","0","1",3,0.705,2,0.3525,"Lasioglossum",1,0.0325282181734206,6,6,TRUE,-0.504304837375931,"Lasioglossum_immunitum",2,0.1422115810201,"Halictidae",0.136493383379018
"82","D34","Lasioglossum_immunitum","0","0","1","1","1","0","1","0",4,0.376,2.099,0.179132920438304,"Lasioglossum",0,-0.697354214345045,26,26,FALSE,-1.31924144589723,"Lasioglossum_immunitum",4,-0.148165410763067,"Halictidae",-0.15558398399777
"83","D35","Bombus_terrestris","0","1","0","1","0","1","0","1",4,2.889,4.223,0.684110821690741,"Bombus",1,-0.123673889956781,4,4,TRUE,0.736464220155119,"Bombus_terrestris",3,-0.0298734307372843,"Apidae",-0.0305349749904425
"84","D36","Bombus_terrestris","1","1","1","0","1","1","1","1",7,2.618,4.22,0.620379146919431,"Bombus",1,-0.22068400942274,5,5,TRUE,0.668417271352805,"Bombus_terrestris",6,-0.0723957511452552,"Apidae",-0.0730322845972797
"85","D37","Bombus_terrestris","0","1","1","1","0","1","0","0",4,2.43,4.097,0.593116914815719,"Bombus",0,-0.233198617951128,17,17,FALSE,0.629596249086935,"Bombus_terrestris",4,-0.0941208466822578,"Apidae",-0.093716326284737
"86","D38","Bombus_terrestris","1","1","0","1","1","1","0","0",5,2.714,4.379,0.619776204612925,"Bombus",0,-0.262198284396871,11,11,FALSE,0.676062959075879,"Bombus_terrestris",5,-0.0700570230262597,"Apidae",-0.0719952291799969
"87","D39","Bombus_terrestris","0","1","0","1","1","1","1","1",6,2.349,4.149,0.566160520607375,"Bombus",1,-0.293537708133461,10,10,TRUE,0.600189266320556,"Bombus_terrestris",5,-0.113380038574005,"Apidae",-0.113419401561667
"88","D40","Andrena_angustior","1","1","1","0","1","1","1","0",6,0.352,1.755,0.200569800569801,"Andrena",0,-0.388115215555326,NA,121,FALSE,-1.85632340447353,"Andrena_angustior",6,-0.0691046747081739,"Andrenidae",-0.0738110387428997
"89","D44","Andrena_pilipes","1","0","0","0","0","0","1","0",2,1.532,2.928,0.523224043715847,"Andrena",0,0.00965988241419467,NA,121,FALSE,0.397064405105633,"Andrena_pilipes",2,5.74453118000132e-06,"Andrenidae",-0.00173380901151259
"90","D45","Andrena_pilipes","0","1","1","0","0","1","1","1",5,1.22,2.74,0.445255474452555,"Andrena",1,-0.0789583766678915,9,9,TRUE,0.197280912943525,"Andrena_pilipes",4,-0.0750267080829899,"Andrenidae",-0.0744307046434832
"92","D53","Andrena_angustior","0","1","0","0","1","1","1","1",5,0.433,1.868,0.231798715203426,"Andrena",1,-0.31180821083687,20,20,TRUE,-1.3395102578547,"Andrena_angustior",4,-0.00160095073043558,"Andrenidae",-0.00850342489064175
"93","D56","Andrena_flavipes","0","0","0","0","1","1","0","0",2,0.736,2.392,0.307692307692308,"Andrena",0,-0.299616459419024,NA,121,FALSE,-0.35146734760052,"Andrena_flavipes",2,-0.214649198122749,"Andrenidae",-0.217749243666652
"94","D65","Andrena_angustior","0","0","0","0","0","1","0","0",1,0.434,1.769,0.245336348219333,"Andrena",0,-0.195357049987041,53,53,FALSE,-1.46334090210847,"Andrena_angustior",1,0.0189848305239632,"Andrenidae",0.0139988276182219
"96","D67","Lasioglossum_immunitum","0","0","0","0","1","1","0","0",2,0.384,1.596,0.240601503759398,"Lasioglossum",0,-0.102034588606558,NA,121,FALSE,-2.04729776414179,"Lasioglossum_immunitum",2,-0.0404941645527971,"Halictidae",-0.0382708707078498
"97","D69","Lasioglossum_immunitum","0","0","0","1","1","1","1","1",5,0.554,1.742,0.318025258323766,"Lasioglossum",1,0.0810032296061302,77,77,TRUE,-1.064062240498,"Lasioglossum_immunitum",4,0.0872036483765393,"Halictidae",0.0863462605888152
"98","D7","Bombus_terrestris","1","0","0","1","1","1","1","1",6,3.49,4.294,0.812761993479274,"Bombus",1,0.0303682432728122,64,64,TRUE,0.857731057582802,"Bombus_terrestris",5,0.0462081617185671,"Apidae",0.0449598245236235
"99","D70","Lasioglossum_immunitum","0","0","0","1","0","1","1","1",4,0.694,1.939,0.357916451779268,"Lasioglossum",1,0.0817306445724345,5,5,TRUE,-0.551643849201618,"Lasioglossum_immunitum",3,0.146521791964785,"Halictidae",0.141893732866645
"100","D72","Bombus_terrestris","0","0","1","0","1","1","1","1",5,2.571,4.235,0.607083825265643,"Bombus",1,-0.246237357737393,4,4,TRUE,0.654223247489042,"Bombus_terrestris",4,-0.0815394004191531,"Apidae",-0.0823008105161382
"101","D73","Bombus_terrestris","1","1","0","1","0","1","1","1",6,2.231,4.428,0.503839205058717,"Bombus",1,-0.48149726118857,6,6,TRUE,0.53929969827154,"Bombus_terrestris",5,-0.159169264181521,"Apidae",-0.161499100093319
"102","D74","Bombus_terrestris","0","1","1","1","1","1","1","1",7,1.741,3.843,0.453031485818371,"Bombus",1,-0.432472184341202,3,3,TRUE,0.411853888132099,"Bombus_terrestris",6,-0.215910619506392,"Apidae",-0.213253600429043
"103","D75","Bombus_terrestris","1","0","1","1","1","1","1","1",7,2.99,4.257,0.702372562837679,"Bombus",1,-0.10611987612151,21,21,TRUE,0.756109407711265,"Bombus_terrestris",6,-0.0178337257874845,"Apidae",-0.0187774905109866
"104","D76","Bombus_terrestris","0","0","1","0","1","0","0","1",3,2.99,4.385,0.681870011402509,"Bombus",1,-0.168218605777124,3,3,TRUE,0.740955942504291,"Bombus_terrestris",2,-0.0284881142677551,"Apidae",-0.0304745098824864
"105","D77","Bombus_terrestris","1","0","1","0","0","1","0","1",4,3.682,4.36,0.844495412844037,"Bombus",1,0.0519490506312897,3,3,TRUE,0.885216175271279,"Bombus_terrestris",3,0.0639807624550554,"Apidae",0.0621955930270465
"106","D78","Bombus_terrestris","1","0","0","1","1","1","1","1",6,3.323,3.504,0.948344748858447,"Bombus",1,0.407512984746905,8,8,TRUE,0.957702396608143,"Bombus_terrestris",5,0.0980332703099369,"Apidae",0.103940423405372
"107","D79","Bombus_terrestris","1","0","1","0","1","0","0","1",4,2.609,3.803,0.68603733894294,"Bombus",1,-0.00603250215018895,10,10,TRUE,0.717902396180254,"Bombus_terrestris",3,-0.0364723418446914,"Apidae",-0.0334470812265767
"108","D80","Andrena_pilipes","1","1","1","1","0","0","1","1",6,2.119,3.033,0.698648203099242,"Andrena",1,0.260176715394206,4,4,TRUE,0.676799396961818,"Andrena_pilipes",5,0.128206782250904,"Andrenidae",0.12522723860518
"109","D81","Andrena_pilipes","1","1","1","1","0","1","1","0",6,1.47,2.663,0.552009012392039,"Andrena",0,0.167203509275851,18,18,FALSE,0.393344325965717,"Andrena_pilipes",6,0.0161822677878858,"Andrenidae",0.017781472978143
"110","D82","Andrena_pilipes","0","0","0","1","1","1","1","0",4,1.808,2.974,0.607935440484196,"Andrena",0,0.142631541019222,105,105,FALSE,0.543368196711395,"Andrena_pilipes",4,0.0663392067583758,"Andrenidae",0.0640510346000041
"111","D87","Bombus_terrestris","1","0","1","0","0","1","0","1",4,2.401,3.675,0.653333333333333,"Bombus",1,-0.0173476234539467,4,4,TRUE,0.672953946525278,"Bombus_terrestris",3,-0.0602411444123737,"Apidae",-0.0560109309592422
"112","D88","Bombus_terrestris","0","0","1","1","1","0","0","1",4,3.08,4.281,0.719458070544265,"Bombus",1,-0.0882481752638653,25,25,TRUE,0.773579935321147,"Bombus_terrestris",3,-0.00697608654066672,"Apidae",-0.00811771187908056
"113","D89","Bombus_terrestris","1","0","0","0","0","0","0","1",2,2.814,3.892,0.723021582733813,"Bombus",1,0.0211170247626745,8,8,TRUE,0.76134323547796,"Bombus_terrestris",1,-0.0119419156226958,"Apidae",-0.0097308039568316
"114","D90","Bombus_terrestris","1","1","0","1","0","1","0","1",5,3.214,4.374,0.734796524919982,"Bombus",1,-0.0907107833422575,3,3,TRUE,0.791172822814589,"Bombus_terrestris",4,0.00378988530179008,"Apidae",0.00189188749720036
"115","D91","Bombus_terrestris","1","1","0","0","1","1","0","1",5,3.606,4.725,0.763174603174603,"Bombus",1,-0.13743006524401,9,9,TRUE,0.825955256609272,"Bombus_terrestris",4,0.0260090570743331,"Apidae",0.0213944190146663
"116","D92","Bombus_terrestris","1","1","1","1","1","1","1","1",8,3.454,4.178,0.826711345141216,"Bombus",1,0.077405109362218,3,3,TRUE,0.86690772401805,"Bombus_terrestris",7,0.0515542518195963,"Apidae",0.0512697487604444
"117","D93","Bombus_terrestris","1","1","1","1","1","1","1","1",8,3.245,4.205,0.771700356718193,"Bombus",1,0.00148476648022214,8,8,TRUE,0.819561664192379,"Bombus_terrestris",7,0.0221299354062297,"Apidae",0.0216187232647148
"118","D94","Andrena_flavipes","1","1","0","1","1","1","0","1",6,1.59,2.381,0.667786644267115,"Andrena",1,0.480304499792684,35,35,TRUE,0.534551033834266,"Andrena_flavipes",5,0.121527800948997,"Andrenidae",0.118589975682234
