"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"209","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_13_bartomeus_spain_2008_Pinodelcuervo_unp.csv",9,-0.264349420334609,"Cistus salviifolius"
"210","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_16_bartomeus_spain_2008_Villamanriquesur_unp.csv",100,2.21083254649203,"Cistus salviifolius"
"211","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_15_bartomeus_spain_2008_Villamanriqueeste_unp.csv",36,0.140275772692811,"Cistus salviifolius"
"212","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_3_bartomeus_spain_2008_Bonares_unp.csv",87,1.69882779118233,"Cistus salviifolius"
"213","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",3,-0.57365922812084,"Cistus salviifolius"
"214","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",49,1.71983838492987,"Cistus salviifolius"
"215","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_1_bartomeus_spain_2008_Aznalcazar_unp.csv",13,-0.443710703754948,"Cistus salviifolius"
"216","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_14_bartomeus_spain_2008_Urbanizaciones_unp.csv",16,-0.21726979933547,"Cistus salviifolius"
"217","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_6_bartomeus_spain_2008_Elpozo_unp.csv",15,-0.533763677038918,"Cistus salviifolius"
"218","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_9_bartomeus_spain_2008_LaRocina_unp.csv",8,-0.481744334755026,"Cistus salviifolius"
"219","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_5_bartomeus_spain_2008_Elpinar_unp.csv",2,-0.74766717941884,"Cistus salviifolius"
"220","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_7_bartomeus_spain_2008_Esparragal_unp.csv",10,-0.0556203365296077,"Cistus salviifolius"
"221","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_2_bartomeus_spain_2008_ConventodelaLuz_unp.csv",34,-0.35630205256041,"Cistus salviifolius"
"222","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_10_bartomeus_spain_2008_Lasmulas_unp.csv",8,-0.592020564004825,"Cistus salviifolius"
