"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"422","Grangeria borbonica",0,"kaiser_bunbury_2010","Malpighiales","Chrysobalanaceae","Grangeria","Grangeria borbonica","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","16",16,"NA","NA","5","NA","NA","NA","3.5","NA","NA","NA","NA",2,"NA","NA","NA","NA","tree","perennial","5","7",6,"prance & sothers 2003; NA","book: species plantarum: flora of the world pt 9; 1-319, online: http://publish.plantnet-project.org","ISBN: 0642568324","NA","NA","NA","NA","14_1_kaiser-bunbury_2010_mauritius_control.csv",73,0.180140879594415,"Grangeria borbonica"
"424","Halenia elliptica",0,"fang_2008","Gentianales","Gentianaceae","Halenia","Halenia elliptica","bisexual","hermaphrodite","high","quantitative","100","0.89","50","self_compatible","yang et al., 2018","journal: frontiers in genetics","10.3389/fgene.2018.00223","NA","flower","NA","NA","NA","blue","campanulate","actinomorphic","8",8,"NA","NA","17.5","10","25","NA","NA","NA","NA","NA","NA",14.5,"11","18","NA","40","herb","annual","NA","0.8",0.4,"NA; wang & luo 2015","online: https://sites.google.com/; journal: evolutionary ecology of alpine plants","NA","10.1155/2015/610735","NA","NA","NA","5_1_fang_2008_china.csv",101,0.245835382464709,"Halenia elliptica"
"425","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_14_bartomeus_spain_2008_Urbanizaciones_unp.csv",14,-0.27934688485989,"Halimium commutatum"
"426","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_5_bartomeus_spain_2008_Elpinar_unp.csv",1,-0.809972777703744,"Halimium commutatum"
"427","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_13_bartomeus_spain_2008_Pinodelcuervo_unp.csv",9,-0.264349420334609,"Halimium commutatum"
"428","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_3_bartomeus_spain_2008_Bonares_unp.csv",58,0.72647241070297,"Halimium commutatum"
"429","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_8_bartomeus_spain_2008_LaCunya_unp.csv",7,-0.275945784794905,"Halimium commutatum"
"430","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_7_bartomeus_spain_2008_Esparragal_unp.csv",10,-0.0556203365296077,"Halimium commutatum"
"431","Halimium commutatum",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium commutatum","bisexual","hermaphrodite","none","quantitative","0","0","100","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","19.100000000000001",19.1,"NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","shrub","perennial","1","2",1.5,"herrera 1992; diaz barradas, zunzunegui & garcia novo 1999","journal: plant systematics and evolution; journal: folia geobotanica","NA","NA","NA","NA","NA","12_9_bartomeus_spain_2008_LaRocina_unp.csv",33,0.169261523022036,"Halimium commutatum"
"432","Halimium halimifolium",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium halimifolium","bisexual","hermaphrodite","none","quantitative","1","NA","1259","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","28",28,"NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA",46,"NA","NA","NA","NA","shrub","perennial","NA","2",1,"herrera 1992; NA","journal: plant systematics and evolution; online: https://www.floravascular.com/","NA","NA","NA","NA","NA","12_2_bartomeus_spain_2008_ConventodelaLuz_unp.csv",11,-0.691549892924068,"Halimium halimifolium"
"433","Halimium halimifolium",0,"bartomeus_2015","Malvales","Cistaceae","Halimium","Halimium halimifolium","bisexual","hermaphrodite","none","quantitative","1","NA","1259","self_incompatible","diaz barradas, zunzunegui & garcia novo 1999; magrach, molina & bartomeus 2019","journal: folia geobotanica; journal: preprint biorxiv","10.2307/2399263; 10.1101/629931","NA","flower","NA","NA","no","yellow","dish","actinomorphic","28",28,"NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA",46,"NA","NA","NA","NA","shrub","perennial","NA","2",1,"herrera 1992; NA","journal: plant systematics and evolution; online: https://www.floravascular.com/","NA","NA","NA","NA","NA","12_16_bartomeus_spain_2008_Villamanriquesur_unp.csv",17,-0.410583187205663,"Halimium halimifolium"
"434","Harrisia balansae",0,"souza_2018","Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","bisexual","hermaphrodite","none","quantitative","0","0","7","partially_self_compatible","ferreira et al., 2018","journal: plant biology","10.1111/plb.12641","NA","flower","yes","bulbil","no","white","tube","actinomorphic","120",120,"NA","NA","175","NA","NA","89","138","NA","NA","17","8",5022,"NA","NA","642","8","shrub","perennial","NA","3",2.2,"ferreira et al., 2017; walters et al., 2017","journal: plant biology *style length and ovule number*; journal: abc taxa","https://doi.org/10.1111/plb.12641","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",1,-0.306082824330155,"Harrisia balansae"
"435","Harungana madagascariensis",0,"kaiser_bunbury_2010","Malpighiales","Hypericaceae","Harungana","Harungana madagascariensis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","suckers","NA","white","dish","actinomorphic","5.5",5.5,"5","6","NA","5","NA","NA","1.5","1","2","NA","NA",5,"NA","NA","NA","NA","tree","perennial","10","14.1",12.5,"NA; NA; NA","online: http://www.anbg.gov.au/; online: https://keyserver.lucidcentral.org/; online: http://old.worldagroforestry.org/","NA","NA","NA","NA","NA","14_1_kaiser-bunbury_2010_mauritius_control.csv",17,-0.535856330048278,"Harungana madagascariensis"
"436","Hebe brachysiphon",0,"primack_1983","Lamiales","Plantaginaceae","Veronica","Veronica brachysiphon","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","4.5",4.5,"NA","NA","3.5","NA","NA","3","5.7","4.2","7.2","NA","NA",21,"16","26","NA","NA","shrub","perennial","0.9","1.7",1.3,"NA; cullen et al., 2011","online: http://www.nzpcn.org.nz/; book: the eropean garden flora flowering plants","NA","NA","NA","NA","NA","17_1_arroyo_correa_new_zealand_2019_1.csv",5,-0.463343961929251,"Veronica brachysiphon"
"439","Helianthemum guttatum",0,"bartomeus_2008","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","bisexual","hermaphrodite","high","quantitative","90","NA","NA","self_compatible","herrera 1992","journal: plant systematics and evolution","https://doi.org/10.1007/BF00937600","NA","flower","no","no","no","yellow","dish","actinomorphic","11.5",11.5,"8","15","3","NA","NA","NA","NA","NA","NA","NA","NA",60,"50","70","NA","NA","herb","annual","NA","0.3",0.15,"NA; NA; proctor 1960; herrera 2004","online: http://ucjeps.berkeley.edu/; online: https://bsbi.org/; journal: journal of ecology","NA","NA","10.2307/2257323","10.1023/B:VEGE.0000026340.53858.44","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",3,-0.719084642639271,"Tuberaria guttata"
"440","Helianthemum guttatum",0,"bartomeus_2008","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","bisexual","hermaphrodite","high","quantitative","90","NA","NA","self_compatible","herrera 1992","journal: plant systematics and evolution","https://doi.org/10.1007/BF00937600","NA","flower","no","no","no","yellow","dish","actinomorphic","11.5",11.5,"8","15","3","NA","NA","NA","NA","NA","NA","NA","NA",60,"50","70","NA","NA","herb","annual","NA","0.3",0.15,"NA; NA; proctor 1960; herrera 2004","online: http://ucjeps.berkeley.edu/; online: https://bsbi.org/; journal: journal of ecology","NA","NA","10.2307/2257323","10.1023/B:VEGE.0000026340.53858.44","NA","1_6_bartomeus_spain_2008_selop_1_2.csv",1,-0.698973199686172,"Tuberaria guttata"
"444","Helichrysum alpinum",0,"inouye_1988","Asterales","Asteraceae","Anaphalioides","Anaphalioides alpinum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","white","capitulum","actinomorphic","22",22,"19","25","10","NA","NA","NA","3.7","3.6","3.8","NA","NA",183,"173","193","NA","NA","shrub","perennial","NA","3",43.952,"NA","online: http://www.nzflora.info/","NA","NA","NA","NA","NA","6_1_inouye_1988_australia.csv",12,-0.490346927909323,"Anaphalioides alpinum"
"451","Heteropterys glabra",0,"souza_2018","Malpighiales","Malpighiaceae","Heteropterys","Heteropterys glabra","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","2.8",2.8,"NA","NA","17.5","NA","NA","NA","NA","NA","NA","NA","NA",3,"2","5","NA","NA","shrub","perennial","NA","2.1",1.5,"NA; NA; NA","online: http://www.flowersofindia.net; online: http://floradelconosur.blogspot.com; online: https://www.repository.naturalis.nl/ *ovule number*","NA","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",61,-0.0899012966088381,"Heteropterys glabra"
"453","Hieracium pilosella",0,"arroyo-correa_2019","Asterales","Asteraceae","Pilosella","Pilosella officinarum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","rosenbaumova & krahulec 2014","journal: plant systematics and evolution","https://doi.org/10.1007/s00606-014-1072-2","NA","capitulum","yes","stolons","NA","yellow","capitulum","actinomorphic","10",10,"8","13","9","7.5","10","NA","9","6","12","NA","NA",70,"NA","NA","NA","NA","herb","perennial","0.05","0.5",0.3,"bishop,1994; singliarova and mraz 2009","journal: journal of ecology; journal: preslia (style length based on a close relative)","NA","NA",NA,NA,NA,"17_3_arroyo_correa_new_zealand_2019_3.csv",2,-0.628965638025722,"Pilosella officinarum"
"454","Hieracium pilosella",0,"arroyo-correa_2019","Asterales","Asteraceae","Pilosella","Pilosella officinarum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","rosenbaumova & krahulec 2014","journal: plant systematics and evolution","https://doi.org/10.1007/s00606-014-1072-2","NA","capitulum","yes","stolons","NA","yellow","capitulum","actinomorphic","10",10,"8","13","9","7.5","10","NA","9","6","12","NA","NA",70,"NA","NA","NA","NA","herb","perennial","0.05","0.5",0.3,"bishop,1994; singliarova and mraz 2009","journal: journal of ecology; journal: preslia (style length based on a close relative)","NA","NA",NA,NA,NA,"3_3_dupont_2009_denmark_so.csv",4,-0.528661652716351,"Pilosella officinarum"
"455","Hieracium pilosella",0,"arroyo-correa_2019","Asterales","Asteraceae","Pilosella","Pilosella officinarum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","rosenbaumova & krahulec 2014","journal: plant systematics and evolution","https://doi.org/10.1007/s00606-014-1072-2","NA","capitulum","yes","stolons","NA","yellow","capitulum","actinomorphic","10",10,"8","13","9","7.5","10","NA","9","6","12","NA","NA",70,"NA","NA","NA","NA","herb","perennial","0.05","0.5",0.3,"bishop,1994; singliarova and mraz 2009","journal: journal of ecology; journal: preslia (style length based on a close relative)","NA","NA",NA,NA,NA,"17_1_arroyo_correa_new_zealand_2019_1.csv",7,-0.407402171250129,"Pilosella officinarum"
"456","Hieracium pilosella",0,"arroyo-correa_2019","Asterales","Asteraceae","Pilosella","Pilosella officinarum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","rosenbaumova & krahulec 2014","journal: plant systematics and evolution","https://doi.org/10.1007/s00606-014-1072-2","NA","capitulum","yes","stolons","NA","yellow","capitulum","actinomorphic","10",10,"8","13","9","7.5","10","NA","9","6","12","NA","NA",70,"NA","NA","NA","NA","herb","perennial","0.05","0.5",0.3,"bishop,1994; singliarova and mraz 2009","journal: journal of ecology; journal: preslia (style length based on a close relative)","NA","NA",NA,NA,NA,"17_2_arroyo_correa_new_zealand_2019_2.csv",1,-0.48158974991467,"Pilosella officinarum"
"457","Hieracium praealtum",0,"primack_1983","Asterales","Asteraceae","Hieracium","Hieracium praealtum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","yes","apomixis","yes","yellow","capitulum","actinomorphic","8.5",8.5,"7","10","NA","3.5","NA","NA","NA","NA","NA","NA","NA",500,"NA","NA","NA","NA","herb","perennial","NA","0.7",0.35,"sell & murrell 2006; juranic, johnson & koltunow 2019","book: flora of great britain and ireland volume 4; journal: plant signaling and behavior *ovules*","NA","https://doi.org/10.1080/15592324.2019.1622981","NA","NA","NA","17_1_arroyo_correa_new_zealand_2019_1.csv",1,-0.575227543287495,"Hieracium praealtum"
"458","Hieracium umbellatum",0,"dupont_2009","Asterales","Asteraceae","Hieracium","Hieracium umbellatum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","mrz 2003","journal: folia geobotanica","NA","NA","capitulum","NA","NA","NA","yellow","dish","actinomorphic","25",25,"19","31","12.5","9.5","15.5","NA","NA","NA","NA","NA","NA",55,"30","80","NA","NA","herb","perennial","0.3","1.2",0.75,"NA; NA","online: Illinois Wildflowers; online: eFloras","NA","NA",NA,NA,NA,"3_2_dupont_2009_denmark_ib.csv",2,-0.640680959191633,"Hieracium umbellatum"
"459","Hieracium umbellatum",0,"dupont_2009","Asterales","Asteraceae","Hieracium","Hieracium umbellatum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","mrz 2003","journal: folia geobotanica","NA","NA","capitulum","NA","NA","NA","yellow","dish","actinomorphic","25",25,"19","31","12.5","9.5","15.5","NA","NA","NA","NA","NA","NA",55,"30","80","NA","NA","herb","perennial","0.3","1.2",0.75,"NA; NA","online: Illinois Wildflowers; online: eFloras","NA","NA",NA,NA,NA,"3_3_dupont_2009_denmark_so.csv",24,-0.418752785207754,"Hieracium umbellatum"
"461","Hydrophyllum appendiculatum",0,"robertson_1929","Boraginales","Boraginaceae","Hydrophyllum","Hydrophyllum appendiculatum","bisexual","hermaphrodite","low","qualitative","NA","NA","NA","self_compatible","wolfe 1993","journal: the american midland naturalist","https://doi.org/10.2307/2426522","NA","flower","NA","NA","NA","pink_purple","campanulate","actinomorphic","16",16,"13","19","10","8","12","NA","2","1","3","NA","NA",1,"NA","NA","NA","NA","herb","biennial","0.3","0.75",0.48,"wolfe 1993; NA","journal: the american midland naturalist style length, ovule number; online: https://www.illinoiswildflowers.info","10.2307/2426522","NA","NA","NA","NA","16_1_burkle_usa_2013.csv",366,1.20374337131512,"Hydrophyllum appendiculatum"
"462","Hydrophyllum virginianum",0,"robertson_1929","Boraginales","Boraginaceae","Hydrophyllum","Hydrophyllum virginianum","bisexual","hermaphrodite","none","quantitative","0","0","NA","self_compatible","wolfe 1994","journal: the american midland naturalist","https://doi.org/10.2307/2426522","NA","flower","yes","rhizomes","NA","white","campanulate","actinomorphic","9.1",9.1,"8","12","9.1","8","12","NA","11.1","NA","NA","NA","NA",3,"NA","NA","NA","NA","herb","perennial","0.3","0.6",0.45,"beckmann, 1979; NA; constance 1942","journal: american journal of botany; online: http://www.missouriplants.com/ style length; journal: the american midland naturalist ovule number","https://doi.org/10.1002/j.1537-2197.1979.tb06321.x","NA","NA","NA","NA","16_1_burkle_usa_2013.csv",56,-0.287159022988942,"Hydrophyllum virginianum"
"463","Hypericum perfolatum",0,"bartomeus_2008","Malpighiales","Hypericaceae","Hypericum","Hypericum perfolatum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","self_compatible","molins et al., 2014","journal: annals of botany","10.1093/aob/mct268","NA","flower","NA","NA","yes","yellow","dish","actinomorphic","17.5",17.5,"8","27","2.1","NA","NA","NA","4.8499999999999996","4.5999999999999996","5.0999999999999996","NA","NA",75,"50","100","NA","NA","herb","perennial","NA","1",0.5,"NA; galla et al., 2011","online: http://www.nzflora.info/; journal: sex plant & reproduction","NA; 10.1007/s00497-010-0147-7",NA,NA,NA,NA,"1_6_bartomeus_spain_2008_selop_1_2.csv",1,-0.698973199686172,"Hypericum perfolatum"
"464","Hypericum perforatum",0,"arroyo-correa_2019","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","bisexual","hermaphrodite","high","quantitative","100","1","NA","self_compatible","diller & fenster 2016","journal: ecology and evolution","https://doi.org/10.1002/ece3.2268","NA","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","22.5",22.5,"15","30","3","NA","NA","NA","5.2","4.5","6","NA","NA",75,"50","100","NA","NA","shrub","perennial","0.3","0.9",0.6,"diller&fenster,2016","journal:ecology and evolution,6,14","https://doi.org/10.1002/ece3.2268",NA,NA,NA,NA,"17_3_arroyo_correa_new_zealand_2019_3.csv",18,-0.0869062591183082,"Hypericum perforatum"
"476","Isopyrum biternatum",0,"robertson_1929","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_compatible","NA","online: https://www.registrelep-sararegistry.gc.ca/","NA","NA","flower","yes","rhizomes","no","white","dish","actinomorphic","15.5",15.5,"12","19","1.5","NA","NA","NA","2","NA","NA","NA","NA",24,"12","36","NA","NA","herb","perennial","0.1","0.4",0.25,"thomson 2005; NA; NA; NA; torrey & gray 1841","cosewic assesment and update status report on the false rue-anemone; online: https://www.minnesotawildflowers.info; online: http://www.efloras.org; online: https://www.discoverlife.org/ * style length*; book: a flora of north america","NA","NA","NA","NA","NA","16_1_burkle_usa_2013.csv",18,-0.469914800355247,"Enemion biternatum"
"477","Isostigma hoffmannii",0,"souza_2018","Asterales","Asteraceae","Isostigma","Isostigma hoffmannii","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","purple","capitulum","actinomorphic","23",23,"NA","NA","10","NA","NA","NA","3","NA","NA","NA","NA",55,"NA","NA","NA","NA","herb","perennial","NA","0.6",0.3,"peter 2004; NA","journal: willdenowia 34(2) *style length from picture and approximate number of ovules*","10.3372/wi34.34216","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",45,-0.147549704001189,"Isostigma hoffmannii"
"483","Juncus allioides",0,"fang_2008","Poales","Juncaceae","Juncus","Juncus allioides","bisexual","hermaphrodite","high","quantitative","100","0.75","20","self_compatible","huang, xiong & barrett 2013","journal: international journal of plant sciences","https://doi.org/10.1086/673247","NA","capitulum","yes","rhizomes","no","white","brush","actinomorphic","17.5",17.5,"10","25","17.5","NA","NA","NA","2","1.5","2.5","NA","NA",51.3,"49.5","53.1","NA","20","herb","perennial","0.08","0.4",0.24,"NA; huang, xinong & barrett 2013","online: https://biodiversity.bt/; journal: international journal of plant sciences","NA","https://doi.org/10.1086/673247","NA","NA","NA","5_1_fang_2008_china.csv",37,-0.582241695311154,"Juncus allioides"
"484","Kalmia angustifolia",0,"small_1976","Ericales","Ericaceae","Kalmia","Kalmia angustifolia","bisexual","hermaphrodite","NA","NA","NA","NA","NA","self_compatible","hall, jackson & everett 1973","journal: canadian journal of plant sciences","https://doi.org/10.4141/cjps73-168","NA","flower","yes","rhizomes","NA","pink","bowl","actinomorphic","8.5",8.5,"7.5","9.5","9.5","6","13","NA","3","3.5","4.5","NA","NA",550,"200","900","NA","NA","shrub","perennial","0.3","1.5",0.9,"mallik, 1993; hall et al 1973; NA; ganapathy & falser 1964","jounral: canadian journal of botany; journal: canadian journal of plant science; online: http://www.efloras.org *style length*; journal: international journal of plant sciences *ovule number*","https://doi.org/10.1139/b93-018","https://doi.org/10.4141/cjps73-168","NA","https://doi.org/10.1086/336284","NA","9_1_small_1976_canada.csv",28,-0.95064586948187,"Kalmia angustifolia"
"485","Kalmia polifolia",0,"small_1976","Ericales","Ericaceae","Kalmia","Kalmia polifolia","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","partially_self_incompatible","flower","yes","rhizomes","NA","pink","bowl","actinomorphic","10",10,"8","12.5","7","5.5","8.5","NA","5.75","4.5","7","NA","NA",550,"200","900","NA","NA","shrub","perennial","0.6","31.12",0.8,"rathcke and real, 1993; ganapathy & falser 1964","journal: american journal of botany; journal: international journal of plant sciences *ovule number*","https://doi.org/10.1002/j.1537-2197.1993.tb13781.x","https://doi.org/10.1086/336284","NA","NA","NA","9_1_small_1976_canada.csv",37,-0.773535094435089,"Kalmia polifolia"
"487","Labourdonnaisia callophylloides",0,"kaiser_bunbury_2010","Ericales","Sapotaceae","Labourdonnaisia","Labourdonnaisia calophylloides","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","9",9,"NA","NA","9","6","12","NA","9.5","5","14","NA","NA",5.1,"NA","NA","NA","NA","tree","perennial","9","12",10.5,"baker 1977; NA","book: Flora of Mauritius and the Seychelles; book: flore des mascareignes","NA","NA","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",71,0.184290003135229,"Labourdonnaisia calophylloides"
"488","Labourdonnaisia callophylloides",0,"kaiser_bunbury_2010","Ericales","Sapotaceae","Labourdonnaisia","Labourdonnaisia calophylloides","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","9",9,"NA","NA","9","6","12","NA","9.5","5","14","NA","NA",5.1,"NA","NA","NA","NA","tree","perennial","9","12",10.5,"baker 1977; NA","book: Flora of Mauritius and the Seychelles; book: flore des mascareignes","NA","NA","NA","NA","NA","14_1_kaiser-bunbury_2010_mauritius_control.csv",48,-0.139500731853216,"Labourdonnaisia calophylloides"
"493","Larrea nitida",0,"peralta_2011","Zygophyllales","Zygophyllaceae","Larrea","Larrea nitida","bisexual","hermaphrodite","NA","NA","NA","NA","NA","partially_self_compatible","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","12",12,"NA","NA","5","NA","NA","NA","2.75","2.5","3","NA","NA",7,"2","12","NA","NA","shrub","perennial","NA","2.5",1,"rossi et al., 1999; NA; garcia 2012","journal: journal of arid environments; online: http://conosur.floraargentina.edu.ar/; thesis: larrea tridentata","https://doi.org/10.1006/jare.1999.0525","NA","NA","NA","NA","15_1_peralta_2006_mendoza_site_1.csv",83,-0.0701520030062613,"Larrea nitida"
"494","Larrea nitida",0,"peralta_2011","Zygophyllales","Zygophyllaceae","Larrea","Larrea nitida","bisexual","hermaphrodite","NA","NA","NA","NA","NA","partially_self_compatible","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","12",12,"NA","NA","5","NA","NA","NA","2.75","2.5","3","NA","NA",7,"2","12","NA","NA","shrub","perennial","NA","2.5",1,"rossi et al., 1999; NA; garcia 2012","journal: journal of arid environments; online: http://conosur.floraargentina.edu.ar/; thesis: larrea tridentata","https://doi.org/10.1006/jare.1999.0525","NA","NA","NA","NA","15_3_peralta_2006_mendoza_site_3.csv",7,-0.423808928869502,"Larrea nitida"
