"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"15","Aciphylla glacialis","Apiales","Apiaceae","Aciphylla","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,200,200,2.25,0.5,1,2,"herb","Perennial",0.425,0.00403326624941833
"16","Aciphylla scott-thomsonii","Apiales","Apiaceae","Aciphylla","Dioecious","dioecious","none",0,"Open","actinomorphic",50,50,150,2.25,0.5,0.5,2,"herb","Perennial",0.5,0.00407324208604793
"17","Aciphylla simplicifolia","Apiales","Apiaceae","Aciphylla","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1000,200,1.75,0.4,1,2,"herb","Perennial",0.3,0.00407121701829474
"18","Aciphylla subflabellata","Apiales","Apiaceae","Aciphylla","Dioecious","dioecious","none",0,"Open","actinomorphic",500,500,150,1.75,0.4,0.5,2,"herb","Perennial",0.25,0.00404945102150742
"19","Aconitum piepunense","Ranunculales","Ranunculaceae","Aconitum","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,50,23,13,7.5,2.5,58,"herb","Perennial",0.772514961488053,9.56451652298892e-05
"20","Acrothamnus montanus","Ericales","Ericaceae","Acrothamnus","Hermaphrodite","self_compatible","none",28.1947807278251,"Tube","actinomorphic",750,20,20,2.5,2.75,0.55,4,"shrub","Perennial",0.35,0.00132624708457558
"21","Actaea rubra","Ranunculales","Ranunculaceae","Actaea","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",250,40,20,5,31.12,1.5,22,"herb","Perennial",0.6,9.7653786021135e-05
"22","Actaea yunnanensis","Ranunculales","Ranunculaceae","Actaea","Hermaphrodite","self_compatible","none",25.4486904228949,"Open","actinomorphic",60,60,20,8,4.08030125666651,1.5,1,"herb","Perennial",0.9,9.94341181863234e-05
"23","Actinidia arguta","Ericales","Actinidiaceae","Actinidia","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,45,16,5,6.5,600,"vine","Perennial",4,0.00128811852338361
"24","Actinidia rufa","Ericales","Actinidiaceae","Actinidia","Dioecious","dioecious","none",0,"Open","actinomorphic",300,15,12.5,12.5,5,3,600,"shrub","Perennial",7,0.00128812768754308
"25","Adenophora capillaris","Asterales","Campanulaceae","Adenophora","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,30,12.5,12.5,14,20,152,"herb","Perennial",0.75,0.00455874447033226
"26","Adenophora jasionifolia","Asterales","Campanulaceae","Adenophora","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,10,20,20,18.44,20,193,"herb","Perennial",0.45,0.00455544252113359
"27","Adenophora khasiana","Asterales","Campanulaceae","Adenophora","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,100,35,35,20.59,24,356,"herb","Perennial",0.9,0.00457530063946191
"28","Adenostyles alpina","Asterales","Asteraceae","Adenostyles","Hermaphrodite","self_incompatible","none",5.06576255145757,"Capitulum","actinomorphic",200,100,100,12.1,8,15,8,"herb","Perennial",0.95,0.0082227108794376
"29","Aeginetia indica","Lamiales","Orobanchaceae","Aeginetia","Hermaphrodite","self_compatible","high",47.8419487000112,"Tube","zygomorphic",1,1,22.8,22.8,37.5,12.5,56,"herb","Perennial",0.175,0.00248770148086723
"30","Aeschynomene mollicula","Fabales","Fabaceae","Aeschynomene","Hermaphrodite","self_compatible","high",56.590891826299,"Papilionaceous","zygomorphic",5,5,2.1,2.1,7.1,5,15,"shrub","Perennial",1,0.000730018236152573
"31","Aeschynomene pratensis","Fabales","Fabaceae","Aeschynomene","Hermaphrodite","self_compatible","low",23.33,"Papilionaceous","zygomorphic",15,3,3,3,8,5,15,"herb","Perennial",1,0.000729311715447309
"32","Aesculus glabra","Sapindales","Sapindaceae","Aesculus","Monoecious","self_compatible","none",28.555369012202,"Tube","zygomorphic",10000,50,80,13,22,40,6,"tree","Perennial",15,0.00025147183326866
"33","Aesculus hippocastanum","Sapindales","Sapindaceae","Aesculus","Hermaphrodite","self_compatible","none",19.0767161126551,"Open","zygomorphic",20000,100,120,27.5,13.1,16.5,6,"tree","Perennial",19,0.000251471833268671
"34","Agalinis auriculata","Lamiales","Orobanchaceae","Agalinis","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,10,30,12.1,13,11,215.55,"herb","Short lived",0.45,0.00253513053656704
"35","Agalinis purpurea","Lamiales","Orobanchaceae","Agalinis","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,100,60,16.5,18.1,15,224,"herb","Short lived",0.45,0.00254957183745575
"36","Agalinis tenuifolia","Lamiales","Orobanchaceae","Agalinis","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,100,20,10.5,12.5,11,87,"herb","Short lived",9.1,0.00253759487097962
"37","Agarista salicifolia","Ericales","Ericaceae","Agarista","Hermaphrodite","self_compatible","none",30.4044623526193,"Tube","actinomorphic",2000,30,10,4.5,8.5,7,7,"tree","Perennial",10.45,0.0013306289316346
"38","Agastache nepetoides","Lamiales","Lamiaceae","Agastache","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",1500,100,30,3.1,8,11,4,"herb","Perennial",1.65,0.00304888999978705
"39","Agastache scrophulariaefolia","Lamiales","Lamiaceae","Agastache","Hermaphrodite","self_compatible","high",52.2980329110591,"Tube","zygomorphic",500,100,30,4,8.1,11,4,"herb","Perennial",1.2,0.00301463744641376
"40","Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,15,6.5,6.5,3,1,40,"herb","Short lived",0.55,0.674258015855944
"41","Agrimonia pilosa","Rosales","Rosaceae","Agrimonia","Hermaphrodite","self_compatible","none",35.0449201823029,"Open","actinomorphic",30,30,18,7.5,1,3,2,"herb","Perennial",0.75,0.000618079606111955
"42","Agrimonia striata","Rosales","Rosaceae","Agrimonia","Hermaphrodite","self_compatible","none",35.090520408813,"Open","actinomorphic",60,60,18,7.2,0.6,3,1,"herb","Perennial",0.75,0.000615170393675629
"43","Ajuga dictyocarpa","Lamiales","Lamiaceae","Ajuga","Hermaphrodite","self_compatible","high",53.1033502992741,"Tube","zygomorphic",15,5,25,7,6.1,6,4,"herb","Perennial",0.25,0.00282440236633015
"44","Ajuga forrestii","Lamiales","Lamiaceae","Ajuga","Hermaphrodite","self_compatible","high",65.2142542865623,"Tube","zygomorphic",80,80,24,9,8.1,6,4,"herb","Short lived",0.18,0.0028079165036019
"45","Ajuga reptans","Lamiales","Lamiaceae","Ajuga","Dioecious","self_compatible","none",0,"Papilionaceous","zygomorphic",60,60,30,11.5,15.5,10,4,"herb","Perennial",0.35,0.0028257518960392
"46","Akebia quinata","Ranunculales","Lardizabalaceae","Akebia","Monoecious","monoecious","none",0,"Open","actinomorphic",50,15,45,15,2.5,3,35.8561200377104,"vine","Perennial",6,9.06288843211975e-05
"47","Alangium platanifolium","Cornales","Cornaceae","Alangium","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,20,15,15,10.5,12,31.12,"shrub","Perennial",3,0.0011381299800081
"48","Albizia julibrissin","Fabales","Fabaceae","Albizzia","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,25,45,2,4,14,10,"tree","Perennial",9,0.00069357252116345
"49","Alisma gramineum","Alismatales","Alismataceae","Alisma","Hermaphrodite","self_compatible","none",36.2151350312517,"Open","actinomorphic",30,30,6,6,2.5,0.45,20,"herb","Perennial",0.275,1.53322973366282e-05
"50","Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,250,50,6,5,35.5,6,"herb","Perennial",1.25,7.24761531153558e-05
"51","Allium atrosanguineum","Asparagales","Amaryllidaceae","Allium","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,50,10,18.0483753002266,13.3231580996501,5.25,6,"herb","Perennial",0.3,7.12148377948817e-05
"52","Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,25,17.5,3.5,9.93036885857501,3.5,5.1,"herb","Perennial",0.225,7.09949507944103e-05
"53","Allium macranthum","Asparagales","Amaryllidaceae","Allium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,35,140,20,25,14,8,"herb","Perennial",0.4,7.28001725941374e-05
"54","Allium wallichii","Asparagales","Amaryllidaceae","Allium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,35,80,18,5,9,6,"herb","Perennial",0.525,7.09949507944035e-05
"55","Alocasia odora","Alismatales","Arecaceae","Alocasia","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,360,150,2,1,1,6,"herb","Perennial",1.25,1.99860329245738e-05
"56","Aloysia gratissima","Lamiales","Verbenaceae","Aloysia","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,50,10,2.1,2.2,2,2,"shrub","Perennial",1.75,0.0023430265247496
"57","Alpinia","Zingiberales","Zingiberaceae","Alpinia","Hermaphrodite","self_compatible","low",36.8987505049573,"Tube","actinomorphic",35,35,45,24.1214618301175,20.7402892006134,20,120,"herb","Perennial",1.53949406803512,5.1877761942684e-05
"58","Alpinia formosana","Zingiberales","Zingiberaceae","Alpinia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",35,35,45,16.1,20,20,45,"herb","Perennial",2.25,5.21912084684021e-05
"59","Alpinia intermedia","Zingiberales","Zingiberaceae","Alpinia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",70,70,45,15,15,20,42,"herb","Perennial",1.25,5.19142983881754e-05
"60","Alstonia macrophylla","Gentianales","Apocynaceae","Alstonia","Hermaphrodite","self_compatible","none",20.2292365386352,"Tube","actinomorphic",6500,130,100,12.5,5.5,5,70,"tree","Perennial",17.1,0.00160501608786556
"61","Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,40,30,10,8,0.2,1,"shrub","Perennial",1.25,0.000977429153610267
"62","Alternanthera filifolia","Caryophyllales","Amaranthaceae","Alternanthera","Hermaphrodite","self_compatible","none",33.6464107117936,"Tube","actinomorphic",5000,40,30,7.3,8.11,0.2,1,"shrub","Perennial",1,0.0009775880369562
"65","Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,1000,35,2.5,2.5,2,31.12,"herb","Short lived",2.15,0.0447592485426728
"66","Amelanchier arborea","Rosales","Rosaceae","Amelanchier","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,5,100,25,15,2.8,10,"tree","Perennial",7.5,0.000551356899559508
"67","Ammannia coccinea","Myrtales","Lythraceae","Ammannia","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",350,5,15,4.5,4,1.5,-52.0400631601405,"herb","Short lived",0.25,0.000177507023158267
"68","Amorpha canescens","Fabales","Fabaceae","Amorpha","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,165,15,2.25,4.5,2.5,2,"shrub","Perennial",0.5,0.00075590037769537
"69","Amorpha fruticosa","Fabales","Fabaceae","Amorpha","Hermaphrodite","self_compatible","high",47.5819989101103,"Tube","zygomorphic",5000,80,15,2.75,4.5,4.5,2,"shrub","Perennial",1.75,0.000756304503361747
"70","Ampelamus laevis","Gentianales","Apocynaceae","Ampelamus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,60,30,7.2,6,6,71.95820445075,"herb","Perennial",6,0.00159936428873869
"71","Ampelopsis glandulosa","Vitales","Vitaceae","Ampelopsis","Hermaphrodite","self_compatible","none",17.948292774102,"Open","actinomorphic",10000,100,10,1.5,4.35728484747566,0.5,4,"vine","Perennial",5,0.000158408225868376
"72","Amphicarpaea bracteata","Fabales","Fabaceae","Amphicarpaea","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",300,20,15,6,15,6.5,4,"herb","Short lived",0.75,0.000809041179963704
"73","Anaphalioides alpinum","Asterales","Asteraceae","Anaphalioides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,1,22,22,10,3.7,183,"shrub","Perennial",3,0.0237189276427221
"74","Anaphalioides bellidioides","Asterales","Asteraceae","Anaphalioides","Hermaphrodite","self_incompatible","none",30.12,"Capitulum","actinomorphic",50,1,17.5,17.5,6,3.7,171,"herb","Perennial",0.15,0.0242112938531064
"75","Anaphalis nepalensis","Asterales","Asteraceae","Anaphalis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,10,14.1,14.1,10,0.5,100,"herb","Perennial",0.225,0.0273492711963988
"76","Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,15,50,11.5,8,4.5,4,"herb","Perennial",0.85,0.00198590099377397
"77","Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,12,20,4.5,4.1,2.45,47,"shrub","Perennial",0.35,0.00133460644689134
"79","Andryala integrifolia","Asterales","Asteraceae","Andryala","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46,0.00593366447326749
"80","Anemone demissa","Ranunculales","Ranunculaceae","Anemone","Hermaphrodite","self_compatible","none",20.1280682753151,"Open","actinomorphic",15,5,150,52,4.1,1.9,1,"herb","Perennial",0.335,0.000102580988552678
"81","Anemone hepatica","Ranunculales","Ranunculaceae","Anemone","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,1,25,25,1,2,15,"herb","Perennial",0.125,0.000100822515794599
"82","Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8,0.00010626901892836
"83","Anemone rupestris","Ranunculales","Ranunculaceae","Anemone","Hermaphrodite","self_compatible","none",31.5348201357935,"Open","actinomorphic",15,1,25,25,7.1,3.5,1,"herb","Perennial",0.5,0.000100649178289629
"84","Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,1,18.5,18.5,5,0.5,1,"herb","Perennial",0.2,9.41871924406377e-05
"85","Anethum graveolens","Apiales","Apiaceae","Anethum","Hermaphrodite","self_compatible","high",44.6520138690303,"Open","actinomorphic",1600,1600,50,1,1.1,0.5,2,"herb","Short lived",0.75,0.00370533091700266
"86","Angelica archangelica","Apiales","Apiaceae","Angelica","Hermaphrodite","partially_self_compatible","none",15.609587885052,"Open","actinomorphic",2000,2000,100,4.5,0.5,1.5,2,"herb","Perennial",0.85,0.00429396950907167
"87","Angelica polymorpha","Apiales","Apiaceae","Angelica","Hermaphrodite","self_compatible","none",32.7804223508716,"Open","actinomorphic",1000,1000,50,1,1,0.5,2,"herb","Perennial",0.7,0.0043122819277735
"88","Angelica pubescens","Apiales","Apiaceae","Angelica","Hermaphrodite","self_compatible","none",31.6901382719186,"Open","actinomorphic",1600,1600,50,1,1,0.5,6,"herb","Perennial",1.5,0.00430260152699258
"89","Angelica sylvestris","Apiales","Apiaceae","Angelica","Hermaphrodite","self_compatible","none",23.5462270320954,"Open","actinomorphic",1500,1500,175,4.5,0.5,1.5,2,"herb","Perennial",1.75,0.00431839376789053
"90","Anisotome aromatica","Apiales","Apiaceae","Anisotome","Dioecious","dioecious","none",0,"Open","actinomorphic",200,200,15,4,1,0.5,2,"herb","Perennial",0.25,0.00405555147380518
"91","Anisotome flexuosa","Apiales","Apiaceae","Anisotome","Dioecious","dioecious","none",0,"Open","actinomorphic",500,6,15,4,1,0.5,2,"shrub","Perennial",0.25,0.00405835700895601
"92","Antennaria alpina","Asterales","Asteraceae","Antennaria","Monoecious","dioecious","none",0,"Capitulum","actinomorphic",5,5,9,1,4.85,5,60,"herb","Perennial",0.1,0.0200113086211166
"93","Antennaria plantaginifolia","Asterales","Asteraceae","Antennaria","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",15,15,31.12,6,4.1,5,60,"herb","Perennial",0.16,0.0205936126531603
"94","Anthemis cotula","Asterales","Asteraceae","Anthemis","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,1,21,3,9.5,3,115,"herb","Short lived",0.35,0.0088992761445617
"95","Anthriscus sylvestris","Apiales","Apiaceae","Anthriscus","Monoecious","self_compatible","medium",50.5,"Open","zygomorphic",800,800,13.5,4.5,1.78524537607149,1,2,"herb","Perennial",0.9,0.00407324208604793
"96","Antidesma japonicum","Malpighiales","Phyllanthaceae","Antidesma","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,30,10,1.25,1.25,0.5,1.1,"shrub","Perennial",5,0.000449530046828691
"97","Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,50,10,2,2,0.5,2,"tree","Perennial",9.1,0.000449174603828001
"98","Antirhea borbonica","Gentianales","Rubiaceae","Antirhea","Hermaphrodite","self_compatible","none",35.130689822679,"Tube","actinomorphic",2000,25,10,0.75,5.1,2.5,2,"shrub","Perennial",4,0.00166441375035449
"99","Aphloia theiformis","Crossosomatales","Aphloiaceae","Aphloia","Hermaphrodite","dioecious","none",3.62179616815543,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5,0.000227580833990952
"100","Apios americana","Fabales","Fabaceae","Apios","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,35,50,14.1,11.5,1.1,11.5,"herb","Perennial",3,0.000764740896371021
"101","Apocynum cannabinum","Gentianales","Apocynaceae","Apocynum","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",800,80,25,2.5,3.1,0.1,328,"herb","Perennial",1.25,0.00163934894940091
"102","Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,1,24.1,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,9.23024282333357e-05
"103","Arabis alpina","Brassicales","Brassicaceae","Arabis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",15,15,40,9.1,7.5,0.3,2.5,"herb","Perennial",0.2,0.000364901998466291
"105","Aralia cordata","Apiales","Araliaceae","Aralia","Hermaphrodite","self_compatible","none",24.877735307381,"Open","actinomorphic",5500,1200,10,2,1,1.1,5,"herb","Perennial",0.9,0.00365221402203458
"106","Aralia elata","Apiales","Araliaceae","Aralia","Monoecious","monoecious","none",7.82506149469929,"Open","actinomorphic",15000,2000,10,1.5,1,1.1,5,"tree","Perennial",5,0.00366188772231008
"107","Arctium lappa","Asterales","Asteraceae","Arctium","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,3,28.5,28.5,16.5189932311965,20,40,"herb","Short lived",1.6,0.00547172659294626
"108","Arctium minus","Asterales","Asteraceae","Arctium","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,8,60,60,40,15,30,"herb","Short lived",1,0.0054971639417906
"109","Arctotheca calendula","Asterales","Asteraceae","Arctotheca","Hermaphrodite","self_compatible","none",32.6994382098028,"Capitulum","actinomorphic",20,1,37.5,37.5,4.1,0.5,60,"herb","Short lived",0.15,0.00561011180713842
"110","Ardisia pusilla","Ericales","Primulaceae","Ardisia","Hermaphrodite","self_compatible","none",30.4527946316247,"Open","actinomorphic",10,3,15,3.5,1,2.5,5.5,"shrub","Perennial",0.23,0.00125835202192691
"111","Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Hermaphrodite","self_compatible","none",28.3854763205251,"Open","actinomorphic",5000,75,15,3,1.5,2.5,5,"shrub","Perennial",3.1,0.0012596438601917
"112","Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,100,100,15,2,10.5,6,"tree","Perennial",8,0.00126088170833112
"113","Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Hermaphrodite","self_compatible","none",28.0697417450951,"Open","actinomorphic",50,1,30,10.1,7,3,15,"shrub","Perennial",0.035,0.00098248357825466
"114","Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Hermaphrodite","self_compatible","high",38.200728115992,"Open","actinomorphic",50,1,16,16,8.84305772132563,6.5,15,"herb","Perennial",0.225,0.000981112315978696
"115","Argemone subfusiformis","Ranunculales","Papaveraceae","Argemone","Hermaphrodite","self_compatible","high",37.0849497530528,"Open","actinomorphic",5,1,50,50,25,1,225,"herb","Short lived",0.75,8.76002875614267e-05
"116","Argusia argentea","Boraginales","Boraginaceae","Argusia","Hermaphrodite","self_compatible","none",13.5468718547804,"Open","actinomorphic",4000,250,250,7,3,1,4,"shrub","Perennial",2.5,0.00188412761212524
"117","Arisaema triphyllum","Alismatales","Araceae","Arisaema","Dioecious","dioecious","none",0,"Open","zygomorphic",50,50,60,60,120,1,5,"herb","Perennial",0.45,2.02403719082938e-05
"118","Aristolochia tomentosa","Piperales","Aristolochiaceae","Aristolochia","Hermaphrodite","self_compatible","high",39.9696748035127,"Tube","zygomorphic",50,1,13.2,13.2,42.5,0.1,43,"vine","Perennial",12.5,6.27538603891511e-07
"119","Arjona longifolia","Saxifragales","Schoepfiaceae","Arjona","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,20,7,7,14.5,13,225.036029105865,"shrub","Perennial",0.4,0.000907272556043461
"120","Armeria scabra","Caryophyllales","Plumbaginaceae","Armeria","Hermaphrodite","self_compatible","none",28.9018807050838,"Campanulate","actinomorphic",500,60,20,5,6.1,5,5,"shrub","Perennial",0.175,0.000924113149777975
"121","Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Hermaphrodite","self_compatible","none",34.1822365838111,"Open","actinomorphic",250,50,35,7,2,0.1,1,"herb","Perennial",0.4,0.000923473762940894
"122","Arnica alpina","Asterales","Asteraceae","Arnica","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,1,35,35,8.75,5.1,40,"herb","Perennial",0.175,0.0804001827650037
"123","Arnica angustifolia","Asterales","Asteraceae","Arnica","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,1,35,35,9.1,6,40,"herb","Perennial",0.175,0.0955047861514364
"124","Arnica montana","Asterales","Asteraceae","Arnica","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,1,50,7,8.76599937395113,10,40,"herb","Perennial",0.4,0.0824229666726769
"125","Arnoglossum atriplicifolium","Asterales","Asteraceae","Arnoglossum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,300,9,9,24,8,4.5,"herb","Perennial",1.5,0.007553027526119
"126","Arnoglossum plantagineum","Asterales","Asteraceae","Arnoglossum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,200,15,15,10,9,6,"herb","Perennial",0.8,0.00749138533706866
"127","Aronia melanocarpa","Rosales","Rosaceae","Aronia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,15,45,9.1,3.3,4,1.1,"shrub","Perennial",1.35,0.000568053203929563
"129","Aruncus dioicus","Rosales","Rosaceae","Aruncus","Dioecious","dioecious","none",0,"Brush","actinomorphic",14000,7000,50,5,31.12,0.55,3,"herb","Perennial",1.15,0.000547431452967066
"130","Asclepias floridana","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,25,44.0122876882348,20.545412626036,11.3901160225353,5.68664297046114,100,"herb","Perennial",1.16087678920675,0.00164800375916586
"131","Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,100,40,5.1,10,0.1,58,"herb","Perennial",1.05,0.00164800375916587
"132","Asclepias purpurascens","Gentianales","Apocynaceae","asclepias","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",300,70,55,9,10,0.1,166,"herb","Perennial",0.5,0.00159096927842655
