"","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","species","phylo"
"42","Aeschynomene mollicula","Apidae","10_1_souza_2017_brazil_chaco.csv",56,0.672529764270994,"Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","hermaphrodite","self_compatible",NA,"NA","NA","papilionaceous","zygomorphic","5","5","2.1","2.1","7.1","5","15","shrub","perennial","1",NA,"Aeschynomene mollicula"
"43","Aetheorrina bulbosa","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1,-0.76601724945662,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","hermaphrodite","self_compatible","medium","quantitative","31.66","dish","actinomorphic","10","5","20","20","5","6","15","herb","perennial","0.45",NA,"Eleutherine bulbosa"
"44","Aetheorrina bulbosa","Coleoptera","1_1_bartomeus_spain_2008_batca_1_2.csv",19,1.14218643445764,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","hermaphrodite","self_compatible","medium","quantitative","31.66","dish","actinomorphic","10","5","20","20","5","6","15","herb","perennial","0.45",NA,"Eleutherine bulbosa"
"45","Aetheorrina bulbosa","Hymenoptera","1_1_bartomeus_spain_2008_batca_1_2.csv",6,-0.235960670591548,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","hermaphrodite","self_compatible","medium","quantitative","31.66","dish","actinomorphic","10","5","20","20","5","6","15","herb","perennial","0.45",NA,"Eleutherine bulbosa"
"46","Aetheorrina bulbosa","Non-syrphids-diptera","1_1_bartomeus_spain_2008_batca_1_2.csv",6,-0.235960670591548,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","hermaphrodite","self_compatible","medium","quantitative","31.66","dish","actinomorphic","10","5","20","20","5","6","15","herb","perennial","0.45",NA,"Eleutherine bulbosa"
"47","Aetheorrina bulbosa","Non-syrphids-diptera","1_3_bartomeus_spain_2008_medca_1_2.csv",2,-0.518402209577477,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","hermaphrodite","self_compatible","medium","quantitative","31.66","dish","actinomorphic","10","5","20","20","5","6","15","herb","perennial","0.45",NA,"Eleutherine bulbosa"
"48","Agauria salicifolia","Apidae","14_2_kaiser-bunbury_2010_mauritius_restored.csv",3,-0.424027411542698,"Ericales","Ericaceae","Agarista","Agarista salicifolia","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","2000","30","10","4.5","8.5","7","7","tree","perennial","10.45",NA,"Agarista salicifolia"
"49","Agauria salicifolia","Lepidoptera","14_2_kaiser-bunbury_2010_mauritius_restored.csv",11,-0.1420738675156,"Ericales","Ericaceae","Agarista","Agarista salicifolia","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","2000","30","10","4.5","8.5","7","7","tree","perennial","10.45",NA,"Agarista salicifolia"
"50","Agauria salicifolia","Non-syrphids-diptera","14_2_kaiser-bunbury_2010_mauritius_restored.csv",3,-0.424027411542698,"Ericales","Ericaceae","Agarista","Agarista salicifolia","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","2000","30","10","4.5","8.5","7","7","tree","perennial","10.45",NA,"Agarista salicifolia"
"51","Agauria salicifolia","Syrphids","14_2_kaiser-bunbury_2010_mauritius_restored.csv",1,-0.494515797549472,"Ericales","Ericaceae","Agarista","Agarista salicifolia","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","2000","30","10","4.5","8.5","7","7","tree","perennial","10.45",NA,"Agarista salicifolia"
"52","Agrimonia pilosa","Hymenoptera","5_1_fang_2008_china.csv",8,-0.391594157032152,"Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","hermaphrodite","self_compatible",NA,"NA","NA","dish","actinomorphic","30","30","18","7.5","1","3","2","herb","perennial","0.75",NA,"Agrimonia pilosa"
"53","Agrimonia pilosa","Non-syrphids-diptera","5_1_fang_2008_china.csv",6,-0.435512751315937,"Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","hermaphrodite","self_compatible",NA,"NA","NA","dish","actinomorphic","30","30","18","7.5","1","3","2","herb","perennial","0.75",NA,"Agrimonia pilosa"
"54","Agrimonia pilosa","Syrphids","5_1_fang_2008_china.csv",5,-0.45747204845783,"Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","hermaphrodite","self_compatible",NA,"NA","NA","dish","actinomorphic","30","30","18","7.5","1","3","2","herb","perennial","0.75",NA,"Agrimonia pilosa"
"55","Ajuga forrestii","Apidae","5_1_fang_2008_china.csv",326,6.59146233408972,"Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","hermaphrodite","self_compatible",NA,"NA","NA","tube","zygomorphic","80","80","24","9","8.1","6","4","herb","short_lived","0.18",NA,"Ajuga forrestii"
"56","Ajuga forrestii","Hymenoptera","5_1_fang_2008_china.csv",3,-0.501390642741615,"Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","hermaphrodite","self_compatible",NA,"NA","NA","tube","zygomorphic","80","80","24","9","8.1","6","4","herb","short_lived","0.18",NA,"Ajuga forrestii"
"57","Allium ampeloprasum","Hymenoptera","1_2_bartomeus_spain_2008_fraop_1_2.csv",1,-0.730294475465862,"Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","hermaphrodite","self_compatible","low","quantitative","20","bowl","actinomorphic","250","250","50","6","5","35.5","6","herb","perennial","1.25",NA,"Allium ampeloprasum"
"58","Allium atrosanguineum","Non-syrphids-diptera","5_1_fang_2008_china.csv",6,-0.435512751315937,"Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","50","50","10","NA","NA","5.25","6","herb","perennial","0.3",NA,"Allium atrosanguineum"
"59","Allium atrosanguineum","Syrphids","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","50","50","10","NA","NA","5.25","6","herb","perennial","0.3",NA,"Allium atrosanguineum"
"60","Allium cyathophorum","Apidae","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","750","25","17.5","3.5","NA","3.5","5.0999999999999996","herb","perennial","0.22500000000000001",NA,"Allium cyathophorum"
"61","Allium cyathophorum","Hymenoptera","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","750","25","17.5","3.5","NA","3.5","5.0999999999999996","herb","perennial","0.22500000000000001",NA,"Allium cyathophorum"
"62","Allium wallichii","Apidae","5_1_fang_2008_china.csv",39,0.289144054366521,"Asparagales","Amaryllidaceae","Allium","Allium wallichii","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002",NA,"Allium wallichii"
"63","Allium wallichii","Hymenoptera","5_1_fang_2008_china.csv",42,0.3550219457922,"Asparagales","Amaryllidaceae","Allium","Allium wallichii","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002",NA,"Allium wallichii"
"64","Allium wallichii","Lepidoptera","5_1_fang_2008_china.csv",2,-0.523349939883508,"Asparagales","Amaryllidaceae","Allium","Allium wallichii","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002",NA,"Allium wallichii"
"65","Allium wallichii","Non-syrphids-diptera","5_1_fang_2008_china.csv",14,-0.259838374180796,"Asparagales","Amaryllidaceae","Allium","Allium wallichii","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002",NA,"Allium wallichii"
"66","Allium wallichii","Syrphids","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asparagales","Amaryllidaceae","Allium","Allium wallichii","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002",NA,"Allium wallichii"
"67","Aloyssia gratissima","Apidae","15_1_peralta_2006_mendoza_site_1.csv",346,4.26007153420281,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"68","Aloyssia gratissima","Apidae","15_2_peralta_2006_mendoza_site_2.csv",28,0.219790337168324,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"69","Aloyssia gratissima","Hymenoptera","15_1_peralta_2006_mendoza_site_1.csv",3,-0.41528427711832,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"70","Aloyssia gratissima","Lepidoptera","15_1_peralta_2006_mendoza_site_1.csv",2,-0.42891505207844,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"71","Aloyssia gratissima","Syrphids","15_1_peralta_2006_mendoza_site_1.csv",22,-0.156299552876042,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"72","Aloyssia gratissima","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",69,1.58151358166897,"Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75",NA,"Aloysia gratissima"
"73","Alstonia macrophylla","Apidae","11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",7,-0.415979278793664,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"74","Alstonia macrophylla","Apidae","11_4_kaiser-bunbury_2017_seychelles_reserve.csv",3,-0.559756091987546,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"75","Alstonia macrophylla","Apidae","11_5_kaiser-bunbury_2017_seychelles_rosebelle.csv",2,-0.475956251782678,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"76","Alstonia macrophylla","Apidae","13_1_kaiser-bunbury_2011_seychelles_bernica.csv",2,-0.588060488754978,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"77","Alstonia macrophylla","Apidae","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",13,-0.178903608286828,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"78","Alstonia macrophylla","Hymenoptera","11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",2,-0.507137528618751,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"79","Alstonia macrophylla","Hymenoptera","13_1_kaiser-bunbury_2011_seychelles_bernica.csv",6,-0.488841976700277,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"80","Alstonia macrophylla","Hymenoptera","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",9,-0.310381325662975,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"81","Alstonia macrophylla","Lepidoptera","13_1_kaiser-bunbury_2011_seychelles_bernica.csv",1,-0.612865116768653,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
"82","Alstonia macrophylla","Lepidoptera","13_2_kaiser-bunbury_2011_seychelles_casse_dent.csv",1,-0.557824517492662,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","hermaphrodite","self_compatible",NA,"NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001",NA,"Alstonia macrophylla"
