"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Leonurus cardiaca","Lamiales","Lamiaceae","Leonurus","Leonurus cardiaca","Hermaphrodite","self_compatible","medium",100,"Tube","zygomorphic",75,5.34,9.17,8.4,4,"herb","Perennial",0.75,"yes"
"Vernonia bolivariensis","Asterales","Asteraceae","Lepidaploa","Lepidaploa bolivarensis","Hermaphrodite","self_compatible","low",13.6455,"Capitulum","actinomorphic",100,15,7.65115555555555,10,20,"herb","Perennial",0.926626190476191,"yes"
"Lepidaploa pseudomuricata","Asterales","Asteraceae","Lepidaploa","Lepidaploa pseudomuricata","Hermaphrodite","partially_self_compatible","low",13.1364676470588,"Capitulum","actinomorphic",50,15,9.24453055555556,10,20,"herb","Perennial",0.744959523809524,"yes"
"Lepidium virginicum","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,3,1.5,0.15,2,"herb","Short lived",0.4,"yes"
"Cotula pyrethrifolia","Asterales","Asteraceae","Leptinella","Leptinella pyrethrifolia","Dioecious","partially_self_compatible","low",15.62255,"Capitulum","actinomorphic",100,10,5,3,203.75,"herb","Perennial",0.07,"yes"
"Leptorhynchos squamatus","Asterales","Asteraceae","Leptorhynchos","Leptorhynchos squamatus","Hermaphrodite","self_compatible","low",16.644274137931,"Capitulum","actinomorphic",15,11,11.5,2.5,11.5,"herb","Perennial",0.5,"yes"
"Leptospermum scoparium","Myrtales","Myrtaceae","Leptospermum","Leptospermum scoparium","Monoecious","self_compatible","low",12.8328,"Open","actinomorphic",1000,9.1,1.1,2.5,500,"shrub","Perennial",1.1,"yes"
"Lespedeza capitata","Fabales","Fabaceae","Lespedeza","Lespedeza capitata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",100,5.1,4.9,2,1,"herb","Perennial",1.05,"yes"
"Lespedeza procumbens","Fabales","Fabaceae","Lespedeza","Lespedeza procumbens","Hermaphrodite","self_compatible","low",15.8746,"Papilionaceous","zygomorphic",50,6.5,6.5,2,1,"herb","Perennial",1.1,"yes"
"Lespedeza virginica","Fabales","Fabaceae","Lespedeza","Lespedeza virginica","Hermaphrodite","self_compatible","low",15.5557,"Papilionaceous","zygomorphic",40,4,4,2,1,"herb","Perennial",0.5,"yes"
"Lesquerella arctica","Brassicales","Brassicaceae","Lesquerella","Lesquerella arctica","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",100,8,5.1,2.5,15.5,"herb","Perennial",0.09,"yes"
"Leucaena leucocephala","Fabales","Fabaceae","Leucaena","Leucaena leucocephala","Hermaphrodite","partially_self_compatible","low",10.08785,"Brush","actinomorphic",7000,1,1,8.5,1,"shrub","Perennial",6,"no"
"Leucanthemum vulgare","Asterales","Asteraceae","Leucanthemum","Leucanthemum vulgare","Hermaphrodite","self_incompatible","low",2.5,"Open","actinomorphic",4,45,7.5,1.5,180,"herb","Perennial",0.45,"yes"
"Helipterum albicans","Asterales","Asteraceae","Leucochrysum","Leucochrysum albicans","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,32.5,16.25,0.5,187.857233482143,"herb","Perennial",0.25,"yes"
