"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Desmodium dillenii","Fabales","Fabaceae","Desmodium","Desmodium dillenii","Hermaphrodite","self_compatible","low",13.76875,"Papilionaceous","zygomorphic",60,7,7,2,7,"herb","Perennial",0.5,"no"
"Desmodium grandiflorum","Fabales","Fabaceae","Desmodium","Desmodium grandiflorum","Hermaphrodite","self_compatible","low",14.1004,"Papilionaceous","zygomorphic",80,4.5,8,2,7,"herb","Perennial",0.5,"no"
"Desmodium podocarpum","Fabales","Fabaceae","Desmodium","Desmodium hookerianum","Hermaphrodite","self_compatible","low",14.2649142857143,"Papilionaceous","zygomorphic",80,2,3.75,0.5,10,"shrub","Perennial",0.9,"no"
"Desmodium illinoense","Fabales","Fabaceae","Desmodium","Desmodium illinoense","Hermaphrodite","self_compatible","low",12.48025,"Papilionaceous","zygomorphic",90,8,8,2,7,"herb","Perennial",1.5,"no"
"Desmodium marilandicum","Fabales","Fabaceae","Desmodium","Desmodium marilandicum","Hermaphrodite","self_compatible","low",14.86495,"Papilionaceous","zygomorphic",80,1.1,5,2,7,"herb","Perennial",1,"no"
"Desmodium paniculatum","Fabales","Fabaceae","Desmodium","Desmodium paniculatum","Hermaphrodite","self_compatible","low",15.03465,"Papilionaceous","zygomorphic",80,6,5.1,2,5,"herb","Perennial",0.85,"no"
"Desmodium sessilifolium","Fabales","Fabaceae","Desmodium","Desmodium sessilifolium","Hermaphrodite","self_compatible","low",14.9808,"Papilionaceous","zygomorphic",80,4.3,6,1,4,"herb","Perennial",1.05,"no"
"Deutzia crenata","Cornales","Hydrangeaceae","Deutzia","Deutzia crenata","Hermaphrodite","partially_self_compatible","low",10.431139869281,"Campanulate","actinomorphic",1600,14.1,8,8,47.0190303030303,"shrub","Perennial",2.5,"yes"
"Deutzia maximowicziana","Cornales","Hydrangeaceae","Deutzia","Deutzia maximowicziana","Hermaphrodite","partially_self_compatible","low",11.238239869281,"Campanulate","actinomorphic",1600,17.5,1.35,8,48.05875,"shrub","Perennial",2.5,"yes"
"Deutzia naseana","Cornales","Hydrangeaceae","Deutzia","Deutzia naseana","Hermaphrodite","partially_self_compatible","low",11.3724327264239,"Campanulate","actinomorphic",1600,14.1,15,7.7,67.8062772727273,"shrub","Perennial",1,"yes"
"Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,10.5,10,10,93,"herb","Short lived",0.45,"yes"
"Dianthus caryophillus","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus caryophyllus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,45,25.4922666666667,10,97.5,"herb","Perennial",0.4,"yes"
"Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,14.1,9.1,3,240,"shrub","Perennial",0.04,"yes"
"Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,15,17.5,2.1,6,"herb","Perennial",0.2,"yes"
"Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,32,45,36.5,264,"herb","Short lived",0.7,"yes"
"Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,0.8,2.1,0.1,1,"herb","Short lived",0.55,"no"
"Digomphia laurifolia","Lamiales","Bignoniaceae","Digomphia","Digomphia laurifolia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,40,40,35,204.3663,"herb","Perennial",0.787830208333334,"yes"
"Dillenia ferruginea","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",8.26958666666667,"Open","actinomorphic",50,50,55,4.5,12,"tree","Perennial",12,"no"
"Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,110,33.6042166666667,10,57.5,"shrub","Perennial",8,"no"
"Diodia radula","Gentianales","Rubiaceae","Diodella","Diodella radula","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,5,8,7,24.8080833333333,"herb","Perennial",0.8,"yes"
"Diospyrus japonica","Ericales","Ebenaceae","Diospyros","Diospyros japonica","Monoecious","monoecious","none",0,"Tube","actinomorphic",3500,5.2,8.75,2,8,"tree","Perennial",8.5,"yes"
"Diospyros revaughanii","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,7.1,7,2,8,"tree","Perennial",10,"yes"
"Diospyros seychellarum","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,6.98355357142857,5,2,8,"shrub","Perennial",5,"yes"
"Diospyros virginiana","Ericales","Ebenaceae","Diospyros","Diospyros virginiana","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,11,12,1,8,"tree","Perennial",7.5,"yes"
"Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,10,5,2,2,"herb","Short lived",0.65,"no"
"Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,4,10,10,1,"herb","Perennial",1,"yes"
"Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,5,12.5,10,1,"herb","Perennial",1,"yes"
"Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,50,12.5,6,1,"herb","Short lived",1,"yes"
"Dipsacus japonicus","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus japonicus","Hermaphrodite","self_compatible","low",18.966925,"Tube","actinomorphic",1500,3.25,6.5,6.5,1,"herb","Short lived",0.75,"yes"
"Dipyrena_glaberrima","Lamiales","Verbenaceae","Dipyrena","Dipyrena glaberrima","Hermaphrodite","self_compatible","low",12.0791375,"Tube","actinomorphic",100,15,25,25,4,"shrub","Perennial",1,"yes"
"Dirca palustris","Malvales","Thymelaeaceae","Dirca","Dirca palustris","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,2.15,9.5,10,1,"shrub","Perennial",1,"yes"
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,4,1,1,3,"shrub","Perennial",2.5,"yes"
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,8,4,5,3,"shrub","Perennial",2.5,"no"
"Senecio scorzoneroides","Asterales","Asteraceae","Dolichoglottis","Dolichoglottis scorzoneroides","Hermaphrodite","partially_self_compatible","low",13.8991751183232,"Capitulum","actinomorphic",15,50,9.1,1.5,100,"herb","Perennial",0.25,"yes"
"Donatia novae-zelandiae","Asterales","Stylidiaceae","Donatia","Donatia novae-zelandiae","Hermaphrodite","self_compatible","low",14.56875,"Open","actinomorphic",100,9,5.5,2,6,"herb","Perennial",0.25,"yes"
"Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,2.5,1,0.1,6,"tree","Perennial",7.5,"no"
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",15.4093166666667,"Tube","zygomorphic",2500,3.5,4.5,4,33,"herb","Perennial",0.3,"no"
"Draba arctica","Brassicales","Brassicaceae","Draba","Draba arctica","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,8,4,1.05,20.2,"herb","Perennial",0.2,"yes"
"Draba lactea","Brassicales","Brassicaceae","Draba","Draba lactea","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,8,4,0.25,22,"herb","Perennial",0.125,"yes"
"Draba yunnanensis","Brassicales","Brassicaceae","Draba","Draba yunnanensis","Hermaphrodite","self_compatible","low",13.967,"Tube","actinomorphic",50,11.1,9,1.2,8,"herb","Perennial",0.325,"yes"
"Dracaena concinna","Asparagales","Asparagaceae","Dracaena","Dracaena concinna","Hermaphrodite","self_compatible","low",11.9663666666667,"Brush","actinomorphic",2000,12.7290142857143,11.5346875,14,4.5,"shrub","Perennial",2.5,"yes"
"Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",15.1168583333333,"Tube","actinomorphic",1000,21.501,30,14,4.5,"tree","Perennial",1.5,"yes"
"Dracocephalum forrestii","Lamiales","Lamiaceae","Dracocephalum","Dracocephalum forrestii","Hermaphrodite","self_compatible","low",14.2948,"Tube","zygomorphic",15,12.5,26.5,26.5,4,"herb","Perennial",0.205,"yes"
"Dracuphyllum acerosum","Ericales","Ericaceae","Dracophyllum","Dracophyllum acerosum","Hermaphrodite","self_compatible","low",12.3003,"Tube","actinomorphic",500,3.1,6.1,3,176,"shrub","Perennial",1.5,"yes"
"Dracophyllum pronum","Ericales","Ericaceae","Dracophyllum","Dracophyllum pronum","Hermaphrodite","self_compatible","low",18.5113,"Tube","actinomorphic",100,3.5,4,1.25,176,"shrub","Perennial",0.13,"yes"
"Drapetes dieffenbachii","Malvales","Thymelaeaceae","Drapetes","Drapetes dieffenbachii","Hermaphrodite","self_compatible","low",15.1124333333333,"Tube","actinomorphic",100,3,1.5,1,1,"shrub","Perennial",0.2,"yes"
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",13.467725,"Open","actinomorphic",50,25,9,4,30,"shrub","Perennial",0.1,"yes"
"Dryas octopetala","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,30,6,20,59.67,"shrub","Perennial",0.075,"yes"
"Dubyaea bhotanica","Asterales","Asteraceae","Dubyaea","Dubyaea bhotanica","Hermaphrodite","partially_self_compatible","low",13.8261376183232,"Capitulum","actinomorphic",5,10.5,10,2.5,45,"herb","Perennial",0.3,"yes"
"Duchesnea chrysantha","Rosales","Rosaceae","Duchesnea","Duchesnea chrysantha","Hermaphrodite","self_compatible","low",14.564575,"Open","actinomorphic",20,10,5,1,1,"herb","Perennial",0.4,"yes"
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,69,9,65.5,"herb","Perennial",0.6,"yes"
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,14,55,4.5,65.5,"herb","Perennial",0.9,"yes"
"Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Echinocystis lobata","Monoecious","monoecious","none",0,"Open","actinomorphic",750,12.5,4.99639040404041,1,6,"vine","Short lived",4,"yes"
"Trichocereus candicans","Caryophyllales","Cactaceae","Echinopsis","Echinopsis candicans","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,205,138.281,20,2203,"shrub","Perennial",2,"yes"
"Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,112,167,5.5,2203,"shrub","Perennial",0.2,"yes"
"Trichocereus_strigosus","Caryophyllales","Cactaceae","Echinopsis","Echinopsis strigosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,142.5,195,15,2203,"shrub","Perennial",0.3,"yes"
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,23.1,25,35,4,"herb","Perennial",0.8,"yes"
"Equium sabulicola","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",17.61055,"Tube","zygomorphic",100,6,17,20,4,"herb","Short lived",0.75,"yes"
"Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,9.9,7.5,7.5,1,"tree","Perennial",3,"yes"
"Elaeocarpus japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus japonicus","Hermaphrodite","partially_self_compatible","low",11.288375,"Campanulate","actinomorphic",5000,4,4,3,35,"tree","Perennial",12.5,"yes"
"Elaeocarpus sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sylvestris","Hermaphrodite","partially_self_compatible","low",8.895025,"Open","actinomorphic",5000,9.1,5,2,35,"tree","Perennial",7.5,"yes"
"Aetheorrina bulbosa","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,20,5,6,15,"herb","Perennial",0.45,"no"
"Ellisia nyctelaea","Boraginales","Boraginaceae","Ellisia","Ellisia nyctelea","Hermaphrodite","self_compatible","low",20.33445,"Tube","actinomorphic",5,5,6.1,3,4,"herb","Short lived",0.2,"yes"
"Elsholtzia densa","Lamiales","Lamiaceae","Elsholtzia densa","Elsholtzia densa","Hermaphrodite","self_compatible","low",18.363325,"Tube","zygomorphic",400,1.1,2.5,5,4,"herb","Short lived",0.4,"yes"
"Embelia angustifolia","Ericales","Primulaceae","Embelia","Embelia angustifolia","Hermaphrodite","self_compatible","low",8.76171666666666,"Open","actinomorphic",2000,4,2,1,1,"shrub","Perennial",2.74197777777778,"no"
"Empetrum nigrum","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,2,3,0.3,4.5,"shrub","Perennial",0.2,"no"
"Encelia hispida","Asterales","Asteraceae","Encelia","Encelia hispida","Hermaphrodite","self_compatible","low",16.977569047619,"Capitulum","actinomorphic",5,9,7.8912125,1.5,70,"shrub","Perennial",0.8,"yes"
"Isopyrum biternatum","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,15.5,1.5,2,24,"herb","Perennial",0.25,"no"
"Epacris microphylla","Ericales","Ericaceae","Epacris","Epacris microphylla","Hermaphrodite","partially_self_compatible","low",13.0805426470588,"Open","actinomorphic",1500,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75,"yes"
"Epacris petrophila","Ericales","Ericaceae","Epacris","Epacris petrophila","Hermaphrodite","partially_self_compatible","low",14.704625,"Open","actinomorphic",1500,3.8,1.55,0.45,77.5,"shrub","Perennial",0.45,"yes"
"Epidendrum ibaguense","Asparagales","Orchidaceae","Epidendrum","Epidendrum ibaguense","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",200,24.131525,36.2389285714286,0.1,25000,"herb","Perennial",2.14275,"yes"
"Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,35,5,15,593,"herb","Perennial",0.3,"yes"
"Epilobium gunnianum","Myrtales","Onagraceae","Epilobium","Epilobium gunnianum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,11.5,2,7,593,"herb","Perennial",0.4,"yes"
"Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,20,10,8,593,"herb","Perennial",1.375,"yes"
"Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,45,7.5,6,593,"herb","Perennial",1.56,"yes"
"Epilobium tibetanum","Myrtales","Onagraceae","Epilobium","Epilobium tibetanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,11,3.15,593,"herb","Perennial",0.565,"yes"
"Epistephium duckei","Asparagales","Orchidaceae","Epistephium","Epistephium duckei","Hermaphrodite","self_compatible","high",100,"Open","zygomorphic",5,60,60,0.1,25000,"herb","Perennial",1.5,"yes"
"Erechthites hieracifolia","Asterales","Asteraceae","Erechtites","Erechtites hieracifolia","Hermaphrodite","self_compatible","low",18.7345666666667,"Capitulum","actinomorphic",30,8.5,25.5,2,100,"herb","Short lived",1.5,"yes"
"Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,3.1,8,8.5,120,"shrub","Perennial",0.6,"yes"
"Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,"no"
"Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,3.5,6.3,3.5,100,"herb","Perennial",1,"yes"
"Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,4.4,4.8,5,77.5,"shrub","Perennial",0.6,"yes"
"Erigenia bulbosa","Apiales","Apiaceae","Erigenia","Erigenia bulbosa","Hermaphrodite","self_compatible","low",13.68285,"Open","actinomorphic",15,6.1,2.6,1.5,2,"herb","Perennial",0.15,"yes"
"Erigeron annuus","Asterales","Asteraceae","Erigeron","Erigeron annuus","Hermaphrodite","self_compatible","low",19.2098166666667,"Capitulum","zygomorphic",15,31.12,8,2.2,300,"herb","Short lived",1.5,"yes"
"Erigeron canadensis","Asterales","Asteraceae","Erigeron","Erigeron canadensis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",200,3.25,3.5,2.25,45,"herb","Short lived",0.75,"yes"
"Erigeron compositus","Asterales","Asteraceae","Erigeron","Erigeron compositus","Hermaphrodite","self_compatible","none",0,"Capitulum","actinomorphic",30,12.5,8.5,3.5,80,"herb","Perennial",0.05,"yes"
"Erigeron ramosus","Asterales","Asteraceae","Erigeron","Erigeron divergens","Hermaphrodite","self_compatible","low",21.730625,"Capitulum","actinomorphic",10,23.1,2.1,3.75,300,"herb","Short lived",0.6,"yes"
"Erigeron eriocephalus","Asterales","Asteraceae","Erigeron","Erigeron eriocephalus","Hermaphrodite","self_compatible","low",15.907574137931,"Capitulum","actinomorphic",3,12.5,12.5,3.75,200,"herb","Perennial",0.15,"yes"
"Erigeron philadelphicus","Asterales","Asteraceae","Erigeron","Erigeron philadelphicus","Hermaphrodite","self_compatible","low",22.7262583333333,"Capitulum","actinomorphic",15,35,2.85,3.75,400,"herb","Short lived",0.45,"yes"
"Erigeron pulchellus","Asterales","Asteraceae","Erigeron","Erigeron pulchellus","Hermaphrodite","self_compatible","low",18.958074137931,"Capitulum","actinomorphic",3,27.5,5.1,3.75,200,"herb","Perennial",0.3,"yes"
"Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,9.1,5,3.25,10,"tree","Perennial",6.75,"yes"
"Eriopsis biloba","Asparagales","Orchidaceae","Eriopsis","Eriopsis biloba","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",35,24,8,0.1,25000,"herb","Perennial",0.125,"yes"
"Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,10,3.5,1,5,"herb","Short lived",0.45,"yes"
"Astragalus lusitanicus","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",11.2346583333333,"Papilionaceous","zygomorphic",300,30,14.1,14,9.6,"herb","Perennial",0.5,"yes"
"Eryngium campestre","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,1.5,2.5,5,2,"herb","Perennial",0.3,"yes"
"Eryngium yuccifolium","Apiales","Apiaceae","Eryngium","Eryngium yuccifolium","Hermaphrodite","partially_self_compatible","none",0,"Capitulum","actinomorphic",20,17.5,17.5,10,50,"herb","Perennial",1.05,"yes"
"Erysimum pallasii","Brassicales","Brassicaceae","Erysimum","Erysimum redowskii","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,6,6,11.5,34.7,"herb","Short lived",0.16,"yes"
"Erythronium albidum","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,25,24.1,19.1,34.7,"herb","Perennial",0.15,"no"
"Erythrospermum monticolum","Malpighiales","Achariaceae","Erythrospermum","Erythrospermum monticolum","Hermaphrodite","partially_self_compatible","low",5.91855,"Open","actinomorphic",6246.51785714286,4.53172619047619,2.14371428571429,1,4,"tree","Perennial",4.5,"no"
"Erythroxylum macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,6.5,3.18767261904762,1.4,3,"shrub","Perennial",4,"yes"
"Erythroxylum sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,6.92678,3.2,1.4,3,"shrub","Perennial",7.5,"yes"
"Monimiastrum globosum","Myrtales","Myrtaceae","Eugenia","Eugenia kanakana","Hermaphrodite","partially_self_compatible","low",7.30003431372549,"Brush","actinomorphic",200,11.04075,6.6845,3.5,30,"shrub","Perennial",4.5,"no"
"Eugenia orbiculata","Myrtales","Myrtaceae","Eugenia","Eugenia orbiculata","Hermaphrodite","partially_self_compatible","low",7.94242,"Open","actinomorphic",200,10,5.43230833333334,3.5,40,"tree","Perennial",4.5,"no"
"Eulophus americanus","Apiales","Apiaceae","Eulophus","Eulophus americanus","Hermaphrodite","self_compatible","low",15.98599,"Open","actinomorphic",250,3,0.75,0.5,2,"herb","Perennial",0.5,"yes"
"Euonymus alatus","Celastrales","Celastraceae","Euonymus","Euonymus alatus","Hermaphrodite","self_compatible","low",13.67625,"Open","actinomorphic",2000,9,1,0.5,7,"shrub","Perennial",1,"yes"
"Evonymus atropurpureus","Celastrales","Celastraceae","Evonymus","Euonymus atropurpureus","Hermaphrodite","self_compatible","low",9.97523333333333,"Open","actinomorphic",2500,7,0.6,6,16,"shrub","Perennial",4,"yes"
"Eupatorium altissimum","Asterales","Asteraceae","Eupatorium","Eupatorium altissimum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",150,7.1,4,10,5,"herb","Perennial",0.75,"yes"
"Eupatorium chinense","Asterales","Asteraceae","Eupatorium","Eupatorium chinense","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",250,2.1,5,10,5,"shrub","Perennial",1,"yes"
"Eupatorium perfoliatum","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",500,12,4.1,10,16,"herb","Short lived",0.7,"yes"
"Eupatorium purpureum","Asterales","Asteraceae","Eupatorium","Eupatorium purpureum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,30.12,5.5,11.5,5.5,"herb","Perennial",1.35,"yes"
"Eupatorium serotinum","Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",500,30,2.75,10,11.5,"herb","Perennial",1,"yes"
"Eupatorium sessilifolium","Asterales","Asteraceae","Eupatorium","Eupatorium sessilifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",350,4,5.96502708333333,10,5,"herb","Perennial",0.85,"yes"
"Euphorbia corollata","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia corollata","Monoecious","monoecious","none",0,"Open","actinomorphic",90,6,2,1.1,3,"herb","Perennial",0.6,"yes"
"Euphorbia cyathophora","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyathophora","Monoecious","monoecious","none",0,"Open","actinomorphic",10,2,2,1.6,3,"herb","Short lived",0.6,"yes"
"Euphorbia preslii","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia nutans","Monoecious","monoecious","none",0,"Open","actinomorphic",200,5.7,3.9,1.55,3,"herb","Short lived",0.5,"yes"
"Euphorbia pyrifolia","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia pyrifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",75,5.47395,2.25,2,3,"shrub","Perennial",6.5,"yes"
"Euphorbea segatalis","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","Monoecious","self_compatible","low",13,"Open","actinomorphic",75,2,3,3,3,"herb","Short lived",0.35,"yes"
"Euphrasia collina","Lamiales","Orobanchaceae","Euphrasia","Euphrasia collina","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",20,11,10.1,10,24,"herb","Perennial",0.325,"yes"
"Euphrasia regelii","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,6,7.5,5,39,"herb","Short lived",0.19,"yes"
"Euphrasia revoluta","Lamiales","Orobanchaceae","Euphrasia","Euphrasia revoluta","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",3,14.1,12.5,5,31.5,"herb","Perennial",0.05,"yes"
"Euphrasia zelandica","Lamiales","Orobanchaceae","Euphrasia","Euphrasia zelandica","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,13.5,9,5,24,"herb","Short lived",0.05,"yes"
"Euptelea polyandra","Ranunculales","Eupteleaceae","Euptelea","Euptelea polyandra","Hermaphrodite","partially_self_compatible","medium",50.5,"Brush","actinomorphic",750,2.5,2.5,10,4,"tree","Perennial",10,"no"
"Eurya japonica","Ericales","Pentaphylacaceae","Eurya","Eurya japonica","Dioecious","self_incompatible","none",0,"Campanulate","actinomorphic",20000,3.5,3.5,1.5,9,"shrub","Perennial",3.5,"yes"
"Euscaphis japonica","Crossosomatales","Staphyleaceae","Euscaphis","Euscaphis japonica","Hermaphrodite","self_compatible","low",7.80899999999999,"Open","actinomorphic",40000,4.5,4,2,6,"tree","Perennial",5,"yes"
"Solidago graminifolia","Asterales","Asteraceae","Euthamia","Euthamia graminifolia","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",400,5,4,10,36.5,"herb","Perennial",0.5,"yes"
"Meriana sclerophylla","Solanales","Convolvulaceae","Evolvulus","Evolvulus pusillus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",50,10.5,3,1.5,4,"herb","Perennial",0.4,"no"
"Excoecaria benthamiana","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,2.2,2,1,3,"tree","Perennial",6,"yes"
"Cacabus miersii","Solanales","Solanaceae","Exodeconus","Exodeconus miersii","Hermaphrodite","self_compatible","low",12.6279833333333,"Campanulate","actinomorphic",100,18.2,50,45,100,"herb","Short lived",0.225,"yes"
