"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Desmodium barbatum","Fabales","Fabaceae","Desmodium","Desmodium barbatum","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,4.5,6,2,7,"herb","Short lived",0.5,"no",0,20240.1192016667
"Desmodium canadense","Fabales","Fabaceae","Desmodium","Desmodium canadense","Hermaphrodite","self_compatible","low",14.0146,"Papilionaceous","zygomorphic",50,11,11,2,7,"herb","Perennial",1.35,"no",0,4742
"Desmodium canescens","Fabales","Fabaceae","Desmodium","Desmodium canescens","Hermaphrodite","self_compatible","high",90,"Papilionaceous","zygomorphic",50,9.1,9.1,2,7,"herb","Perennial",1.05,"no",0,36161.1892216667
"Desmodium bracteosum","Fabales","Fabaceae","Desmodium","Desmodium cuspidatum","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",40,8,8,2,7,"herb","Perennial",0.6,"no",0,81964.0652285714
"Desmodium dillenii","Fabales","Fabaceae","Desmodium","Desmodium dillenii","Hermaphrodite","self_compatible","low",14.39485,"Papilionaceous","zygomorphic",60,7,7,2,7,"herb","Perennial",0.5,"no",0,42160.3700166666
"Desmodium grandiflorum","Fabales","Fabaceae","Desmodium","Desmodium grandiflorum","Hermaphrodite","self_compatible","low",15.6644,"Papilionaceous","zygomorphic",80,4.5,8,2,7,"herb","Perennial",0.5,"no",0,28730.3606666667
"Desmodium podocarpum","Fabales","Fabaceae","Desmodium","Desmodium hookerianum","Hermaphrodite","self_compatible","low",14.4828,"Papilionaceous","zygomorphic",80,2,3.75,0.5,10,"shrub","Perennial",0.9,"no",0,21176.3285233333
"Desmodium illinoense","Fabales","Fabaceae","Desmodium","Desmodium illinoense","Hermaphrodite","self_compatible","low",14.6505,"Papilionaceous","zygomorphic",90,8,8,2,7,"herb","Perennial",1.5,"no",0,39238.8030666666
"Desmodium marilandicum","Fabales","Fabaceae","Desmodium","Desmodium marilandicum","Hermaphrodite","self_compatible","low",16.867,"Papilionaceous","zygomorphic",80,1.1,5,2,7,"herb","Perennial",1,"no",0,14053.1218766667
"Desmodium paniculatum","Fabales","Fabaceae","Desmodium","Desmodium paniculatum","Hermaphrodite","self_compatible","low",14.62675,"Papilionaceous","zygomorphic",80,6,5.1,2,5,"herb","Perennial",0.85,"no",0,35553.0675666667
"Desmodium sessilifolium","Fabales","Fabaceae","Desmodium","Desmodium sessilifolium","Hermaphrodite","self_compatible","low",17.1002,"Papilionaceous","zygomorphic",80,4.3,6,1,4,"herb","Perennial",1.05,"no",0,14024.4617016667
"Deutzia crenata","Cornales","Hydrangeaceae","Deutzia","Deutzia crenata","Hermaphrodite","partially_self_compatible","low",9.20875,"Campanulate","actinomorphic",1600,14.1,8,8,137.3488,"shrub","Perennial",2.5,"yes",26.8662,148820.330586667
"Deutzia maximowicziana","Cornales","Hydrangeaceae","Deutzia","Deutzia maximowicziana","Hermaphrodite","partially_self_compatible","low",10.2132,"Campanulate","actinomorphic",1600,17.5,1.35,8,49.2381690476191,"shrub","Perennial",2.5,"yes",25.6584803,115904.9225
"Deutzia naseana","Cornales","Hydrangeaceae","Deutzia","Deutzia naseana","Hermaphrodite","partially_self_compatible","low",10.9788,"Campanulate","actinomorphic",1600,14.1,15,7.7,57.9869857142857,"shrub","Perennial",1,"yes",42.183633,89060.8473216667
"Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,10.5,10,10,93,"herb","Short lived",0.45,"yes",1.8,13522
"Dianthus caryophillus","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus caryophyllus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,45,29.51345,10,97.5,"herb","Perennial",0.4,"yes",51,59236.360655
"Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,14.1,9.1,3,240,"shrub","Perennial",0.04,"yes",11.67125015,480000
"Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,15,17.5,2.1,6,"herb","Perennial",0.2,"yes",2.47363133333333,92961.3665333333
"Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,32,45,36.5,264,"herb","Short lived",0.7,"yes",22.5,143844.0665
"Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,0.8,2.1,0.1,1,"herb","Short lived",0.55,"no",0,1125
"Digomphia laurifolia","Lamiales","Bignoniaceae","Digomphia","Digomphia laurifolia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,40,40,35,257.562,"herb","Perennial",0.794425,"yes",31.2376865,115014.891
"Dillenia ferruginea","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",4.9698,"Open","actinomorphic",50,50,55,4.5,12,"tree","Perennial",12,"no",0,444668.3575
"Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,110,37.37435,10,57.5,"shrub","Perennial",8,"no",0,751674.961
"Diodia radula","Gentianales","Rubiaceae","Diodella","Diodella radula","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,5,8,7,11.0681388888889,"herb","Perennial",0.8,"yes",1.88792833333334,62575.84216
"Diospyrus japonica","Ericales","Ebenaceae","Diospyros","Diospyros japonica","Monoecious","monoecious","none",0,"Tube","actinomorphic",3500,5.2,8.75,2,8,"tree","Perennial",8.5,"yes",2.23536333333333,98545.4097
"Diospyros revaughanii","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,7.1,7,2,8,"tree","Perennial",10,"yes",1.57,236626.2405
"Diospyros seychellarum","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,7.65849999999999,5,2,8,"shrub","Perennial",5,"yes",2.52710181666666,198466.021766667
"Diospyros virginiana","Ericales","Ebenaceae","Diospyros","Diospyros virginiana","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,11,12,1,8,"tree","Perennial",7.5,"yes",5.69650583333334,275779.084683333
"Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,10,5,2,2,"herb","Short lived",0.65,"no",0,64980
"Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,4,10,10,1,"herb","Perennial",1,"yes",3.5,2260
"Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,5,12.5,10,1,"herb","Perennial",1,"yes",5,19895.8164
"Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,50,12.5,6,1,"herb","Short lived",1,"yes",15.68204015,92097.9537
"Dipsacus japonicus","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus japonicus","Hermaphrodite","self_compatible","low",20.18425,"Tube","actinomorphic",1500,3.25,6.5,6.5,1,"herb","Short lived",0.75,"yes",1.10976681666667,10296.30575
"Dipyrena_glaberrima","Lamiales","Verbenaceae","Dipyrena","Dipyrena glaberrima","Hermaphrodite","self_compatible","low",10.9449,"Tube","actinomorphic",100,15,25,25,4,"shrub","Perennial",1,"yes",6.804403,174289.5725
"Dirca palustris","Malvales","Thymelaeaceae","Dirca","Dirca palustris","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,2.15,9.5,10,1,"shrub","Perennial",1,"yes",8.79484468333332,87352.60742
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,4,1,1,3,"shrub","Perennial",2.5,"yes",1.71625863333333,36197
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,8,4,5,3,"shrub","Perennial",2.5,"no",0,317100
"Senecio scorzoneroides","Asterales","Asteraceae","Dolichoglottis","Dolichoglottis scorzoneroides","Hermaphrodite","self_compatible","low",14.293775,"Capitulum","actinomorphic",15,50,9.1,1.5,100,"herb","Perennial",0.25,"yes",2.99068408333333,200313.646642857
"Donatia novae-zelandiae","Asterales","Stylidiaceae","Donatia","Donatia novae-zelandiae","Hermaphrodite","self_compatible","low",17.7379,"Open","actinomorphic",100,9,5.5,2,6,"herb","Perennial",0.25,"yes",0.987103571428572,37852.3217238095
"Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,2.5,1,0.1,6,"tree","Perennial",7.5,"no",0,331999.869666667
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",17.1843904761905,"Tube","zygomorphic",2500,3.5,4.5,4,33,"herb","Perennial",0.3,"no",0,8220.47
"Draba arctica","Brassicales","Brassicaceae","Draba","Draba arctica","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,8,4,1.05,20.2,"herb","Perennial",0.2,"yes",1.48834598333333,10809.61825
"Draba lactea","Brassicales","Brassicaceae","Draba","Draba lactea","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,8,4,0.25,22,"herb","Perennial",0.125,"yes",2.99228333333334,33126.9008571428
"Draba yunnanensis","Brassicales","Brassicaceae","Draba","Draba yunnanensis","Hermaphrodite","self_compatible","low",12.5964,"Tube","actinomorphic",50,11.1,9,1.2,8,"herb","Perennial",0.325,"yes",1.666475,87828.3375
"Dracaena concinna","Asparagales","Asparagaceae","Dracaena","Dracaena concinna","Hermaphrodite","self_compatible","low",8.94755,"Brush","actinomorphic",2000,18.944,14.6879,14,4.5,"shrub","Perennial",2.5,"yes",9.70515,784260.98275
"Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",10.7664411764706,"Tube","actinomorphic",1000,17.36125,30,14,4.5,"tree","Perennial",1.5,"yes",1.31,203396.7286
"Dracocephalum forrestii","Lamiales","Lamiaceae","Dracocephalum","Dracocephalum forrestii","Hermaphrodite","self_compatible","low",13.012,"Tube","zygomorphic",15,12.5,26.5,26.5,4,"herb","Perennial",0.205,"yes",3.79223333333333,150818.038625
"Dracuphyllum acerosum","Ericales","Ericaceae","Dracophyllum","Dracophyllum acerosum","Hermaphrodite","self_compatible","low",14.1861166666667,"Tube","actinomorphic",500,3.1,6.1,3,176,"shrub","Perennial",1.5,"yes",39.0837503,64983.254
"Dracophyllum pronum","Ericales","Ericaceae","Dracophyllum","Dracophyllum pronum","Hermaphrodite","self_compatible","low",15.3412833333333,"Tube","actinomorphic",100,3.5,4,1.25,176,"shrub","Perennial",0.13,"yes",22.7950753,78533.76515
"Drapetes dieffenbachii","Malvales","Thymelaeaceae","Drapetes","Drapetes dieffenbachii","Hermaphrodite","self_compatible","low",16.6902428571429,"Tube","actinomorphic",100,3,1.5,1,1,"shrub","Perennial",0.2,"yes",10.4741242833333,47683.75326
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",12.4865833333333,"Open","actinomorphic",50,25,9,4,30,"shrub","Perennial",0.1,"yes",6.31115,192164
"Dryas octopetala","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,30,6,20,59.67,"shrub","Perennial",0.075,"yes",13.29329,209833.973666667
"Dubyaea bhotanica","Asterales","Asteraceae","Dubyaea","Dubyaea bhotanica","Hermaphrodite","self_compatible","low",17.2991,"Capitulum","actinomorphic",5,10.5,10,2.5,45,"herb","Perennial",0.3,"yes",1.83588833333333,87400.0784883333
"Duchesnea chrysantha","Rosales","Rosaceae","Duchesnea","Duchesnea chrysantha","Hermaphrodite","self_compatible","low",12.28015,"Open","actinomorphic",20,10,5,1,1,"herb","Perennial",0.4,"yes",2.12261015,116513.613
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,69,9,65.5,"herb","Perennial",0.6,"yes",0.1366,24131
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,14,55,4.5,65.5,"herb","Perennial",0.9,"yes",18.061573,10414
"Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Echinocystis lobata","Monoecious","monoecious","none",0,"Open","actinomorphic",750,12.5,4.4585875,1,6,"vine","Short lived",4,"yes",2.96803583333333,100827.809916667
"Trichocereus candicans","Caryophyllales","Cactaceae","Echinopsis","Echinopsis candicans","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,205,126.216541666667,20,2203,"shrub","Perennial",2,"yes",30.533291,235964.211535
"Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,112,167,5.5,2203,"shrub","Perennial",0.2,"yes",30.7941096666666,284110.976
"Trichocereus_strigosus","Caryophyllales","Cactaceae","Echinopsis","Echinopsis strigosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,142.5,195,15,2203,"shrub","Perennial",0.3,"yes",31.5206291666667,278877.863
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,23.1,25,35,4,"herb","Perennial",0.8,"yes",7.904895,382229
"Equium sabulicola","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",13.1183,"Tube","zygomorphic",100,6,17,20,4,"herb","Short lived",0.75,"yes",1.54,143421.734572222
"Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,9.9,7.5,7.5,1,"tree","Perennial",3,"yes",3.2249078,185453.7592
"Elaeocarpus japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus japonicus","Hermaphrodite","partially_self_compatible","low",10.11185,"Campanulate","actinomorphic",5000,4,4,3,35,"tree","Perennial",12.5,"yes",19.1324,237259.70058
"Elaeocarpus sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sylvestris","Hermaphrodite","partially_self_compatible","low",8.67553333333333,"Open","actinomorphic",5000,9.1,5,2,35,"tree","Perennial",7.5,"yes",20.3581041666667,274976.29546
"Aetheorrina bulbosa","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,20,5,6,15,"herb","Perennial",0.45,"no",0,74336.9638954762
"Ellisia nyctelaea","Boraginales","Boraginaceae","Ellisia","Ellisia nyctelea","Hermaphrodite","self_compatible","medium",55.1558,"Tube","actinomorphic",5,5,6.1,3,4,"herb","Short lived",0.2,"yes",2.03690833333333,5882
"Elsholtzia densa","Lamiales","Lamiaceae","Elsholtzia densa","Elsholtzia densa","Hermaphrodite","self_compatible","low",21.75935,"Tube","zygomorphic",400,1.1,2.5,5,4,"herb","Short lived",0.4,"yes",0.7437303,10864.2423
"Embelia angustifolia","Ericales","Primulaceae","Embelia","Embelia angustifolia","Hermaphrodite","partially_self_compatible","low",5.898525,"Open","actinomorphic",2000,4,2,1,1,"tree","Perennial",7.20179166666667,"no",0,312225.5032
"Empetrum nigrum","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,2,3,0.3,4.5,"shrub","Perennial",0.2,"no",0,93474.961
"Encelia hispida","Asterales","Asteraceae","Encelia","Encelia hispida","Hermaphrodite","self_compatible","low",20.0011,"Capitulum","actinomorphic",5,9,7.81731666666666,1.5,70,"shrub","Perennial",0.8,"yes",2.24324198333333,114568.114991667
"Isopyrum biternatum","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,15.5,1.5,2,24,"herb","Perennial",0.25,"no",0,76297.1637
"Epacris microphylla","Ericales","Ericaceae","Epacris","Epacris microphylla","Hermaphrodite","partially_self_compatible","low",14.1071333333333,"Open","actinomorphic",1500,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75,"yes",12.1629021166667,8137.5
"Epacris petrophila","Ericales","Ericaceae","Epacris","Epacris petrophila","Hermaphrodite","partially_self_compatible","low",13.80615,"Open","actinomorphic",1500,3.8,1.55,0.45,77.5,"shrub","Perennial",0.45,"yes",18.7555369666667,40259.64823
"Epidendrum ibaguense","Asparagales","Orchidaceae","Epidendrum","Epidendrum ibaguense","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",200,33.6730666666667,33.1492666666667,0.1,25000,"herb","Perennial",2.652775,"yes",35.8176693333333,391978.575916667
"Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,35,5,15,593,"herb","Perennial",0.3,"yes",0.5,18526
"Epilobium gunnianum","Myrtales","Onagraceae","Epilobium","Epilobium gunnianum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,11.5,2,7,593,"herb","Perennial",0.4,"yes",5.80293,177914.192666667
"Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,20,10,8,593,"herb","Perennial",1.375,"yes",11.608411,20755
"Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,45,7.5,6,593,"herb","Perennial",1.56,"yes",10,155027.820666667
"Epilobium tibetanum","Myrtales","Onagraceae","Epilobium","Epilobium tibetanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,11,3.15,593,"herb","Perennial",0.565,"yes",6.80355833333333,193003.232916667
"Epistephium duckei","Asparagales","Orchidaceae","Epistephium","Epistephium duckei","Hermaphrodite","self_compatible","high",100,"Open","zygomorphic",5,60,60,0.1,25000,"herb","Perennial",1.5,"yes",21.4347753333333,248076.943666667
"Erechthites hieracifolia","Asterales","Asteraceae","Erechtites","Erechtites hieracifolia","Hermaphrodite","partially_self_compatible","low",13.93875,"Capitulum","actinomorphic",30,8.5,25.5,2,100,"herb","Short lived",1.5,"yes",14.684958,248747.564655
"Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,3.1,8,8.5,120,"shrub","Perennial",0.6,"yes",40.49504,35000
"Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,"no",0,92000
"Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,3.5,6.3,3.5,100,"herb","Perennial",1,"yes",20.08423,13700
"Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,4.4,4.8,5,77.5,"shrub","Perennial",0.6,"yes",13.55277515,5481
"Erigenia bulbosa","Apiales","Apiaceae","Erigenia","Erigenia bulbosa","Hermaphrodite","self_compatible","low",11.9638333333333,"Open","actinomorphic",15,6.1,2.6,1.5,2,"herb","Perennial",0.15,"yes",2.68999863333333,121473.3165
"Erigeron annuus","Asterales","Asteraceae","Erigeron","Erigeron annuus","Hermaphrodite","self_compatible","low",17.4913833333333,"Capitulum","zygomorphic",15,31.12,8,2.2,300,"herb","Short lived",1.5,"yes",5.95011666666666,347151.645655
"Erigeron canadensis","Asterales","Asteraceae","Erigeron","Erigeron canadensis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",200,3.25,3.5,2.25,45,"herb","Short lived",0.75,"yes",5.86265999999999,36123.08397
"Erigeron compositus","Asterales","Asteraceae","Erigeron","Erigeron compositus","Hermaphrodite","self_compatible","none",0,"Capitulum","actinomorphic",30,12.5,8.5,3.5,80,"herb","Perennial",0.05,"yes",2.379063,230478.962599444
"Erigeron ramosus","Asterales","Asteraceae","Erigeron","Erigeron divergens","Hermaphrodite","self_compatible","low",15.81055,"Capitulum","actinomorphic",10,23.1,2.1,3.75,300,"herb","Short lived",0.6,"yes",5.94748666666666,263068.546465
"Erigeron eriocephalus","Asterales","Asteraceae","Erigeron","Erigeron eriocephalus","Hermaphrodite","self_compatible","low",15.0822,"Capitulum","actinomorphic",3,12.5,12.5,3.75,200,"herb","Perennial",0.15,"yes",4.35731333333333,137463.312643333
"Erigeron philadelphicus","Asterales","Asteraceae","Erigeron","Erigeron philadelphicus","Hermaphrodite","self_compatible","low",16.2454,"Capitulum","actinomorphic",15,35,2.85,3.75,400,"herb","Short lived",0.45,"yes",5.16753333333333,275927.917655
"Erigeron pulchellus","Asterales","Asteraceae","Erigeron","Erigeron pulchellus","Hermaphrodite","self_compatible","low",15.7189,"Capitulum","actinomorphic",3,27.5,5.1,3.75,200,"herb","Perennial",0.3,"yes",3.87806833333333,216283.327655
"Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,9.1,5,3.25,10,"tree","Perennial",6.75,"yes",30.71,229112.92281
"Eriopsis biloba","Asparagales","Orchidaceae","Eriopsis","Eriopsis biloba","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",35,24,8,0.1,25000,"herb","Perennial",0.125,"yes",7.434183,298696.861666667
"Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,10,3.5,1,5,"herb","Short lived",0.45,"yes",2.34838375,385
"Astragalus lusitanicus","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",10.75555,"Papilionaceous","zygomorphic",300,30,14.1,14,9.6,"herb","Perennial",0.5,"yes",3.6612825,306300
"Eryngium campestre","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,1.5,2.5,5,2,"herb","Perennial",0.3,"yes",0.004,50155.8072
"Eryngium yuccifolium","Apiales","Apiaceae","Eryngium","Eryngium yuccifolium","Hermaphrodite","partially_self_compatible","none",0,"Capitulum","actinomorphic",20,17.5,17.5,10,50,"herb","Perennial",1.05,"yes",8.88821999999999,144914.085655
"Erysimum pallasii","Brassicales","Brassicaceae","Erysimum","Erysimum redowskii","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,6,6,11.5,34.7,"herb","Short lived",0.16,"yes",6.5,57839.294405
"Erythronium albidum","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,25,24.1,19.1,34.7,"herb","Perennial",0.15,"no",0,247151.933755
"Erythrospermum monticolum","Malpighiales","Achariaceae","Erythrospermum","Erythrospermum monticolum","Hermaphrodite","partially_self_compatible","low",6.86365,"Open","actinomorphic",4138.7125,4.32832738095238,2.4875,1,4,"tree","Perennial",4.5,"no",0,253684.62935
"Erythroxylum macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,6.5,5.893125,1.4,3,"shrub","Perennial",4,"yes",10,153244.62521
"Erythroxylum sechellarum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10.3861,3.2,1.4,3,"shrub","Perennial",7.5,"yes",6.71678833333334,201795.175583333
"Monimiastrum globosum","Myrtales","Myrtaceae","Eugenia","Eugenia kanakana","Hermaphrodite","partially_self_compatible","low",7.97348333333334,"Brush","actinomorphic",200,16.438625,8.31651666666667,3.5,30,"shrub","Perennial",4.5,"no",0,1257375.5025
"Eugenia orbiculata","Myrtales","Myrtaceae","Eugenia","Eugenia orbiculata","Hermaphrodite","partially_self_compatible","low",6.6022,"Open","actinomorphic",200,10,5.21965,3.5,40,"tree","Perennial",4.5,"no",0,426792.198
"Eulophus americanus","Apiales","Apiaceae","Eulophus","Eulophus americanus","Hermaphrodite","self_compatible","low",17.8156166666667,"Open","actinomorphic",250,3,0.75,0.5,2,"herb","Perennial",0.5,"yes",5.15433265,19636.1525
"Euonymus alatus","Celastrales","Celastraceae","Euonymus","Euonymus alatus","Hermaphrodite","self_compatible","low",11.0369,"Open","actinomorphic",2000,9,1,0.5,7,"shrub","Perennial",1,"yes",1.49692863333333,72851.29285
"Evonymus atropurpureus","Celastrales","Celastraceae","Evonymus","Euonymus atropurpureus","Hermaphrodite","self_compatible","low",9.81646666666666,"Open","actinomorphic",2500,7,0.6,6,16,"shrub","Perennial",4,"yes",2.27413848333333,97911.14485
"Eupatorium altissimum","Asterales","Asteraceae","Eupatorium","Eupatorium altissimum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",150,7.1,4,10,5,"herb","Perennial",0.75,"yes",2.48930305555556,88037.14866
"Eupatorium chinense","Asterales","Asteraceae","Eupatorium","Eupatorium chinense","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",250,2.1,5,10,5,"shrub","Perennial",1,"yes",3.048245,158115.669655
"Eupatorium perfoliatum","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",500,12,4.1,10,16,"herb","Short lived",0.7,"yes",4.83402666666666,107456.30381
"Eupatorium purpureum","Asterales","Asteraceae","Eupatorium","Eupatorium purpureum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,30.12,5.5,11.5,5.5,"herb","Perennial",1.35,"yes",0.3,359959.53985
"Eupatorium serotinum","Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",500,30,2.75,10,11.5,"herb","Perennial",1,"yes",1.57528508333333,218134.80881
"Eupatorium sessilifolium","Asterales","Asteraceae","Eupatorium","Eupatorium sessilifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",350,4,6.5867,10,5,"herb","Perennial",0.85,"yes",1.9828475,122390.464905
"Euphorbia corollata","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia corollata","Monoecious","monoecious","none",0,"Open","actinomorphic",90,6,2,1.1,3,"herb","Perennial",0.6,"yes",0.048,53947.02465
