"","Species_all","X","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","species","phylo","clusters"
"13","Achillea millefolium",10,"Achillea millefolium","Lepidoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",8,-0.0421842375709576,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"14","Achillea millefolium",6,"Achillea millefolium","Hymenoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",10,0.103543128583259,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"15","Achillea millefolium",4,"Achillea millefolium","Apidae","17_1_arroyo_correa_new_zealand_2019_1.csv",4,-0.333638969879391,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"16","Achillea millefolium",14,"Achillea millefolium","Non-syrphids-diptera","17_1_arroyo_correa_new_zealand_2019_1.csv",13,0.322134177814585,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"17","Achillea millefolium",8,"Achillea millefolium","Hymenoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",30,1.52039277915233,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"18","Achillea millefolium",22,"Achillea millefolium","Syrphids","2_1_dicks_2002_england_shelfanger.csv",4,-0.243410899766607,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"19","Achillea millefolium",19,"Achillea millefolium","Syrphids","17_1_arroyo_correa_new_zealand_2019_1.csv",1,-0.552230019110717,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"20","Achillea millefolium",21,"Achillea millefolium","Syrphids","17_3_arroyo_correa_new_zealand_2019_3.csv",2,-0.414652576132454,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"21","Achillea millefolium",20,"Achillea millefolium","Syrphids","17_2_arroyo_correa_new_zealand_2019_2.csv",5,-0.178225818308066,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"22","Achillea millefolium",17,"Achillea millefolium","Non-syrphids-diptera","2_1_dicks_2002_england_shelfanger.csv",2,-0.264834705551308,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"23","Achillea wilsoniana",25,"Achillea wilsoniana","Syrphids","5_1_fang_2008_china.csv",10,-0.347675562748366,"Asterales","Asteraceae","Achillea","hermaphrodite","self_incompatible","none","qualitative",NA,"capitulum","actinomorphic",800,"800",6,6,4,3,15,"herb","perennial",0.65,NA,"Achillea wilsoniana",2
"24","Achillea wilsoniana",24,"Achillea wilsoniana","Non-syrphids-diptera","5_1_fang_2008_china.csv",21,-0.106123294187547,"Asterales","Asteraceae","Achillea","hermaphrodite","self_incompatible","none","qualitative",NA,"capitulum","actinomorphic",800,"800",6,6,4,3,15,"herb","perennial",0.65,NA,"Achillea wilsoniana",2
"25","Achillea wilsoniana",23,"Achillea wilsoniana","Lepidoptera","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asterales","Asteraceae","Achillea","hermaphrodite","self_incompatible","none","qualitative",NA,"capitulum","actinomorphic",800,"800",6,6,4,3,15,"herb","perennial",0.65,NA,"Achillea wilsoniana",2
"26","Aciphylla glacialis",26,"Aciphylla glacialis","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",59,1.61392449117601,"Apiales","Apiaceae","Aciphylla","dioecious","dioecious","none","quantitative",0,"dish","actinomorphic",1000,"200",200,2.25,0.5,1,2,"herb","perennial",0.425,NA,"Aciphylla glacialis",1
"27","Aciphylla simplicifolia",27,"Aciphylla simplicifolia","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546499405727186,"Apiales","Apiaceae","Aciphylla","dioecious","dioecious","none","quantitative",0,"dish","actinomorphic",1000,"1000",200,1.75,0.4,1,2,"herb","perennial",0.3,NA,"Aciphylla simplicifolia",1
"28","Acrothamnus montanus",1493,"Leucopogon montanus","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",11,-0.174012526950772,"Ericales","Ericaceae","Acrothamnus","hermaphrodite",NA,NA,NA,NA,"tube","actinomorphic",750,"20",20,2.5,2.75,0.55,4,"shrub","perennial",0.35,NA,"Acrothamnus montanus",5
"29","Acrothamnus montanus",1492,"Leucopogon montanus","Hymenoptera","6_1_inouye_1988_australia.csv",1,-0.546499405727186,"Ericales","Ericaceae","Acrothamnus","hermaphrodite",NA,NA,NA,NA,"tube","actinomorphic",750,"20",20,2.5,2.75,0.55,4,"shrub","perennial",0.35,NA,"Acrothamnus montanus",5
"30","Actaea yunnanensis",439,"Cimicifuga yunnanensis","Syrphids","5_1_fang_2008_china.csv",32,0.135428974373273,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite",NA,NA,NA,NA,"dish","actinomorphic",60,"60",20,8,NA,1.5,1,"herb","perennial",0.9,NA,"Actaea yunnanensis",5
"31","Actaea yunnanensis",436,"Cimicifuga yunnanensis","Apidae","5_1_fang_2008_china.csv",13,-0.281797671322688,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite",NA,NA,NA,NA,"dish","actinomorphic",60,"60",20,8,NA,1.5,1,"herb","perennial",0.9,NA,"Actaea yunnanensis",5
"32","Actaea yunnanensis",437,"Cimicifuga yunnanensis","Hymenoptera","5_1_fang_2008_china.csv",18,-0.172001185613225,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite",NA,NA,NA,NA,"dish","actinomorphic",60,"60",20,8,NA,1.5,1,"herb","perennial",0.9,NA,"Actaea yunnanensis",5
"33","Actaea yunnanensis",438,"Cimicifuga yunnanensis","Non-syrphids-diptera","5_1_fang_2008_china.csv",47,0.464818431501663,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite",NA,NA,NA,NA,"dish","actinomorphic",60,"60",20,8,NA,1.5,1,"herb","perennial",0.9,NA,"Actaea yunnanensis",5
"34","Adenophora capillaris",29,"Adenophora capillaris","Coleoptera","5_1_fang_2008_china.csv",2,-0.523349939883508,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",8,"campanulate","actinomorphic",30,"30",12.5,12.5,14,20,152,"herb","perennial",0.75,NA,"Adenophora capillaris",3
"35","Adenophora capillaris",31,"Adenophora capillaris","Non-syrphids-diptera","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",8,"campanulate","actinomorphic",30,"30",12.5,12.5,14,20,152,"herb","perennial",0.75,NA,"Adenophora capillaris",3
"36","Adenophora capillaris",30,"Adenophora capillaris","Hymenoptera","5_1_fang_2008_china.csv",14,-0.259838374180796,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",8,"campanulate","actinomorphic",30,"30",12.5,12.5,14,20,152,"herb","perennial",0.75,NA,"Adenophora capillaris",3
"37","Adenophora capillaris",32,"Adenophora capillaris","Syrphids","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",8,"campanulate","actinomorphic",30,"30",12.5,12.5,14,20,152,"herb","perennial",0.75,NA,"Adenophora capillaris",3
"38","Adenophora capillaris",28,"Adenophora capillaris","Apidae","5_1_fang_2008_china.csv",52,0.574614917211126,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",8,"campanulate","actinomorphic",30,"30",12.5,12.5,14,20,152,"herb","perennial",0.75,NA,"Adenophora capillaris",3
"39","Adenophora jasionifolia",33,"Adenophora jasionifolia","Apidae","5_1_fang_2008_china.csv",76,1.10163804861655,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",10,"10",20,20,18.44,20,193,"herb","perennial",0.45,NA,"Adenophora jasionifolia",3
"40","Adenophora jasionifolia",34,"Adenophora jasionifolia","Hymenoptera","5_1_fang_2008_china.csv",8,-0.391594157032152,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",10,"10",20,20,18.44,20,193,"herb","perennial",0.45,NA,"Adenophora jasionifolia",3
"41","Adenophora jasionifolia",36,"Adenophora jasionifolia","Syrphids","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",10,"10",20,20,18.44,20,193,"herb","perennial",0.45,NA,"Adenophora jasionifolia",3
"42","Adenophora jasionifolia",35,"Adenophora jasionifolia","Non-syrphids-diptera","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",10,"10",20,20,18.44,20,193,"herb","perennial",0.45,NA,"Adenophora jasionifolia",3
"43","Adenophora khasiana",41,"Adenophora khasiana","Syrphids","5_1_fang_2008_china.csv",6,-0.435512751315937,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",100,"100",35,35,20.59,24,356,"herb","perennial",0.9,NA,"Adenophora khasiana",3
"44","Adenophora khasiana",38,"Adenophora khasiana","Coleoptera","5_1_fang_2008_china.csv",5,-0.45747204845783,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",100,"100",35,35,20.59,24,356,"herb","perennial",0.9,NA,"Adenophora khasiana",3
"45","Adenophora khasiana",39,"Adenophora khasiana","Hymenoptera","5_1_fang_2008_china.csv",12,-0.303756968464581,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",100,"100",35,35,20.59,24,356,"herb","perennial",0.9,NA,"Adenophora khasiana",3
"46","Adenophora khasiana",37,"Adenophora khasiana","Apidae","5_1_fang_2008_china.csv",62,0.794207888630053,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",100,"100",35,35,20.59,24,356,"herb","perennial",0.9,NA,"Adenophora khasiana",3
"47","Adenophora khasiana",40,"Adenophora khasiana","Non-syrphids-diptera","5_1_fang_2008_china.csv",5,-0.45747204845783,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative",12,"campanulate","actinomorphic",100,"100",35,35,20.59,24,356,"herb","perennial",0.9,NA,"Adenophora khasiana",3
"48","Aeschynomene mollicula",42,"Aeschynomene mollicula","Apidae","10_1_souza_2017_brazil_chaco.csv",56,0.672529764270994,"Fabales","Fabaceae","Aeschynomene","hermaphrodite","self_compatible",NA,NA,NA,"papilionaceous","zygomorphic",5,"5",2.1,2.1,7.1,5,15,"shrub","perennial",1,NA,"Aeschynomene mollicula",4
"49","Agarista salicifolia",50,"Agauria salicifolia","Non-syrphids-diptera","14_2_kaiser-bunbury_2010_mauritius_restored.csv",3,-0.424027411542698,"Ericales","Ericaceae","Agarista","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",2000,"30",10,4.5,8.5,7,7,"tree","perennial",10.45,NA,"Agarista salicifolia",5
"50","Agarista salicifolia",48,"Agauria salicifolia","Apidae","14_2_kaiser-bunbury_2010_mauritius_restored.csv",3,-0.424027411542698,"Ericales","Ericaceae","Agarista","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",2000,"30",10,4.5,8.5,7,7,"tree","perennial",10.45,NA,"Agarista salicifolia",5
"51","Agarista salicifolia",49,"Agauria salicifolia","Lepidoptera","14_2_kaiser-bunbury_2010_mauritius_restored.csv",11,-0.1420738675156,"Ericales","Ericaceae","Agarista","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",2000,"30",10,4.5,8.5,7,7,"tree","perennial",10.45,NA,"Agarista salicifolia",5
"52","Agarista salicifolia",51,"Agauria salicifolia","Syrphids","14_2_kaiser-bunbury_2010_mauritius_restored.csv",1,-0.494515797549472,"Ericales","Ericaceae","Agarista","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",2000,"30",10,4.5,8.5,7,7,"tree","perennial",10.45,NA,"Agarista salicifolia",5
"53","Agrimonia pilosa",52,"Agrimonia pilosa","Hymenoptera","5_1_fang_2008_china.csv",8,-0.391594157032152,"Rosales","Rosaceae","Agrimonia","hermaphrodite","self_compatible",NA,NA,NA,"dish","actinomorphic",30,"30",18,7.5,1,3,2,"herb","perennial",0.75,NA,"Agrimonia pilosa",5
"54","Agrimonia pilosa",54,"Agrimonia pilosa","Syrphids","5_1_fang_2008_china.csv",5,-0.45747204845783,"Rosales","Rosaceae","Agrimonia","hermaphrodite","self_compatible",NA,NA,NA,"dish","actinomorphic",30,"30",18,7.5,1,3,2,"herb","perennial",0.75,NA,"Agrimonia pilosa",5
"55","Agrimonia pilosa",53,"Agrimonia pilosa","Non-syrphids-diptera","5_1_fang_2008_china.csv",6,-0.435512751315937,"Rosales","Rosaceae","Agrimonia","hermaphrodite","self_compatible",NA,NA,NA,"dish","actinomorphic",30,"30",18,7.5,1,3,2,"herb","perennial",0.75,NA,"Agrimonia pilosa",5
"56","Ajuga forrestii",56,"Ajuga forrestii","Hymenoptera","5_1_fang_2008_china.csv",3,-0.501390642741615,"Lamiales","Lamiaceae","Ajuga","hermaphrodite","self_compatible",NA,NA,NA,"tube","zygomorphic",80,"80",24,9,8.1,6,4,"herb","short_lived",0.18,NA,"Ajuga forrestii",4
"57","Ajuga forrestii",55,"Ajuga forrestii","Apidae","5_1_fang_2008_china.csv",326,6.59146233408972,"Lamiales","Lamiaceae","Ajuga","hermaphrodite","self_compatible",NA,NA,NA,"tube","zygomorphic",80,"80",24,9,8.1,6,4,"herb","short_lived",0.18,NA,"Ajuga forrestii",4
"58","Allium ampeloprasum",57,"Allium ampeloprasum","Hymenoptera","1_2_bartomeus_spain_2008_fraop_1_2.csv",1,-0.730294475465862,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","quantitative",20,"bowl","actinomorphic",250,"250",50,6,5,35.5,6,"herb","perennial",1.25,NA,"Allium ampeloprasum",3
"59","Allium atrosanguineum",59,"Allium atrosanguineum","Syrphids","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"tube","actinomorphic",50,"50",10,NA,NA,5.25,6,"herb","perennial",0.3,NA,"Allium atrosanguineum",3
"60","Allium atrosanguineum",58,"Allium atrosanguineum","Non-syrphids-diptera","5_1_fang_2008_china.csv",6,-0.435512751315937,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"tube","actinomorphic",50,"50",10,NA,NA,5.25,6,"herb","perennial",0.3,NA,"Allium atrosanguineum",3
"61","Allium cyathophorum",60,"Allium cyathophorum","Apidae","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"tube","actinomorphic",750,"25",17.5,3.5,NA,3.5,5.1,"herb","perennial",0.225,NA,"Allium cyathophorum",3
"62","Allium cyathophorum",61,"Allium cyathophorum","Hymenoptera","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"tube","actinomorphic",750,"25",17.5,3.5,NA,3.5,5.1,"herb","perennial",0.225,NA,"Allium cyathophorum",3
"63","Allium wallichii",64,"Allium wallichii","Lepidoptera","5_1_fang_2008_china.csv",2,-0.523349939883508,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"dish","actinomorphic",35,"35",80,18,5,9,6,"herb","perennial",0.525,NA,"Allium wallichii",3
"64","Allium wallichii",66,"Allium wallichii","Syrphids","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"dish","actinomorphic",35,"35",80,18,5,9,6,"herb","perennial",0.525,NA,"Allium wallichii",3
"65","Allium wallichii",62,"Allium wallichii","Apidae","5_1_fang_2008_china.csv",39,0.289144054366521,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"dish","actinomorphic",35,"35",80,18,5,9,6,"herb","perennial",0.525,NA,"Allium wallichii",3
"66","Allium wallichii",65,"Allium wallichii","Non-syrphids-diptera","5_1_fang_2008_china.csv",14,-0.259838374180796,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"dish","actinomorphic",35,"35",80,18,5,9,6,"herb","perennial",0.525,NA,"Allium wallichii",3
"67","Allium wallichii",63,"Allium wallichii","Hymenoptera","5_1_fang_2008_china.csv",42,0.3550219457922,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative",NA,"dish","actinomorphic",35,"35",80,18,5,9,6,"herb","perennial",0.525,NA,"Allium wallichii",3
"68","Aloysia gratissima",70,"Aloyssia gratissima","Lepidoptera","15_1_peralta_2006_mendoza_site_1.csv",2,-0.42891505207844,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"69","Aloysia gratissima",72,"Aloyssia gratissima","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",69,1.58151358166897,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"70","Aloysia gratissima",69,"Aloyssia gratissima","Hymenoptera","15_1_peralta_2006_mendoza_site_1.csv",3,-0.41528427711832,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"71","Aloysia gratissima",68,"Aloyssia gratissima","Apidae","15_2_peralta_2006_mendoza_site_2.csv",28,0.219790337168324,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"72","Aloysia gratissima",67,"Aloyssia gratissima","Apidae","15_1_peralta_2006_mendoza_site_1.csv",346,4.26007153420281,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"73","Aloysia gratissima",71,"Aloyssia gratissima","Syrphids","15_1_peralta_2006_mendoza_site_1.csv",22,-0.156299552876042,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative",68,"tube","actinomorphic",2000,"50",10,2.1,2.2,2,2,"shrub","perennial",1.75,NA,"Aloysia gratissima",5
"74","Alstonia macrophylla",86,"Alstonia macrophylla","Syrphids","13_1_kaiser-bunbury_2011_seychelles_bernica.csv",2,-0.588060488754978,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"75","Alstonia macrophylla",77,"Alstonia macrophylla","Apidae","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",13,-0.178903608286828,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"76","Alstonia macrophylla",85,"Alstonia macrophylla","Non-syrphids-diptera","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",10,-0.277511896318938,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"77","Alstonia macrophylla",78,"Alstonia macrophylla","Hymenoptera","11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",2,-0.507137528618751,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"78","Alstonia macrophylla",80,"Alstonia macrophylla","Hymenoptera","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",9,-0.310381325662975,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"79","Alstonia macrophylla",73,"Alstonia macrophylla","Apidae","11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",7,-0.415979278793664,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
"80","Alstonia macrophylla",88,"Alstonia macrophylla","Syrphids","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",5,-0.441859043039121,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible",NA,NA,NA,"tube","actinomorphic",6500,"130",100,12.5,5.5,5,70,"tree","perennial",17.1,NA,"Alstonia macrophylla",5
