"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence"
"Mimusops sechellarum","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",13279.1678571429,15,40,15,8,4,7,"tree","Perennial",16,"yes"
"Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis jalapa","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,15,35,35,45,37.5,1,"herb","Perennial",0.5,"yes"
"Oxybaphus_obatus","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis ovata","Hermaphrodite","self_compatible","low",13.50436,"Campanulate","actinomorphic",50,3,20,10,10,18,1,"herb","Perennial",0.5,"yes"
"Molinaea alternifolia","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",13736.345,150,40,5.5,5.5,0.5,3,"tree","Perennial",10,"yes"
"Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,"Open","actinomorphic",500,40,40,5.5,5.5,0.5,3,"shrub","Perennial",10,"yes"
"Mollugo flavescens","Caryophyllales","Molluginaceae","Mollugo","Mollugo flavescens","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",100,20,150,31.12,2,3,30,"herb","Short lived",0.25,"yes"
"Mollugo snodgrassii","Caryophyllales","Molluginaceae","Mollugo snodgrassii","Mollugo snodgrassii","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,2,8,8,2,2,30,"herb","Perennial",0.25,"yes"
"Mollugo verticillata","Caryophyllales","Molluginaceae","Mollugo","Mollugo verticillata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,30,20,4.5,1.5,0.4,30,"herb","Short lived",0.15,"yes"
"Mormordica charantia","Cucurbitales","Cucurbitaceae","Momordica","Momordica charantia","Monoecious","monoecious","none",0,"Open","actinomorphic",10,1,32,32,5,2.5,48,"vine","Short lived",2.5,"yes"
"Monarda bradburiana","Lamiales","Lamiaceae","Monarda","Monarda bradburiana","Hermaphrodite","self_compatible","low",10.45365,"Tube","zygomorphic",14,14,75,30,30,30,4,"herb","Perennial",0.45,"yes"
"Neopaxia australasica","Caryophyllales","Montiaceae","Montia","Montia australasica","Hermaphrodite","self_compatible","low",15.5255875,"Open","actinomorphic",15,1,9,9,4.5,2,4.5,"herb","Perennial",0.15,"yes"
"Montricharida arborescens","Alismatales","Araceae","Montrichardia","Montrichardia arborescens","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,60,14.1,1,1,0.1,1,"shrub","Perennial",2.25,"no"
"Monttea_aphylla","Lamiales","Plantaginaceae","Monttea","Monttea aphylla","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,12,54,18,15.5,6,1,"shrub","Perennial",1.5,"no"
"Morina nepalensis","Dipsacales","Caprifoliaceae","Morina","Morina nepalensis","Hermaphrodite","self_compatible","low",13.9726,"Tube","zygomorphic",60,60,35,12.5,22,15,1,"herb","Perennial",0.3,"yes"
"Morinda citrifolia","Gentianales","Rubiaceae","Morinda","Morinda citrifolia","Hermaphrodite","self_compatible","low",10.7562166666667,"Tube","actinomorphic",1200,60,50,10,15,15,2,"tree","Perennial",6.5,"yes"
"Morinda umbellata","Gentianales","Rubiaceae","Morinda","Morinda umbellata","Dioecious","self_compatible","low",11.3664,"Tube","actinomorphic",500,30,10,2.2,2.2,2,2,"vine","Perennial",10,"yes"
"Mosla dianthera","Lamiales","Lamiaceae","Mosla","Mosla dianthera","Hermaphrodite","self_compatible","low",23.7266666666667,"Tube","zygomorphic",100,20,15,4,3.1,4,3.1,"herb","Short lived",0.15,"yes"
"Muehlenbeckia axillaris","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia axillaris","Dioecious","dioecious","none",0,"Open","actinomorphic",100,3,15,5.1,0.6,1,1,"shrub","Perennial",0.25,"yes"
"Muehlenbeckia complexa","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3,15,3.5,0.5,1,1,"vine","Perennial",2.75,"yes"
"Junellia_aspera","Lamiales","Verbenaceae","Mulguraea","Mulguraea aspera","Hermaphrodite","self_compatible","low",15.2675,"Tube","actinomorphic",100,15,15,5,10,6,4,"shrub","Perennial",1,"yes"
"Arabis dentata","Brassicales","Brassicaceae","Murbeckiella","Murbeckiella pinnatifida","Hermaphrodite","self_compatible","medium",55.897675,"Tube","actinomorphic",75,5,10,1.5,2.1,0.25,29,"herb","Short lived",0.15,"yes"
"Commelina nudiflora","Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,1,9,9,1.5,0.9,6,"herb","Short lived",0.15,"no"
"Musa balbisiana","Zingiberales","Musaceae","Musa","Musa balbisiana","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,60,100,10,40,40,250,"herb","Perennial",4,"yes"
"Musaenda parviflora","Gentianales","Rubiaceae","Mussaenda","Mussaenda parviflora","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",35,5,50,11.35,13.4,13,929.5,"shrub","Perennial",4,"yes"
"Mycelis muralis","Asterales","Asteraceae","Mycelis","Mycelis muralis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,70,7.5,7.5,13.5,13.5,5,"herb","Perennial",0.55,"yes"
"Myosotis alpestris","Boraginales","Boraginaceae","Myosotis","Myosotis alpestris","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",15,15,30,10,10,3.25,4,"herb","Perennial",0.125,"yes"
"Myosotis palustris","Boraginales","Boraginaceae","Myosotis","Myosotis scorpioides","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,40,27,9,1.5,2.25,4,"herb","Perennial",0.4,"yes"
"Myosotis virginica","Boraginales","Boraginaceae","Myosotis","Myosotis verna","Hermaphrodite","partially_self_compatible","low",16.0112,"Tube","actinomorphic",30,8,10,1.5,1,0.5,4,"herb","Short lived",0.2,"yes"
"Myosurus minimus","Ranunculales","Ranunculaceae","Myosurus","Myosurus minimus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,1,6.5,6.5,1,0.45,400,"herb","Short lived",0.75,"yes"
"Myrsine segttinii","Ericales","Primulaceae","Myrsine","Myrsine seguinii","Hermaphrodite","partially_self_compatible","low",7.73503333333333,"Open","actinomorphic",3500,35,15,3,1,1,3,"tree","Perennial",7,"no"
"Mirtus communis","Myrtales","Myrtaceae","Myrtus","Myrtus communis","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,3,25,25,3.75,15,72,"shrub","Perennial",2.5,"no"
"Prenanthes aspera","Asterales","Asteraceae","Nabalus","Nabalus asper","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",18,18,80,38,20,14,9.1,"herb","Perennial",0.75,"yes"
"Prenanthes crepidinea","Asterales","Asteraceae","Nabalus","Nabalus crepidineus","Hermaphrodite","self_compatible","low",15.8448,"Capitulum","actinomorphic",45,15,75,16,16,20,9,"herb","Perennial",1.8,"yes"
