"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"50","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","none",11.1888605502759,"Tube","actinomorphic",2000,24,10,4.5,8.5,7,7,"tree","Perennial",10.45
"51","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","none",11.188860550276,"Tube","actinomorphic",2000,24,10,4.5,8.5,7,7,"tree","Perennial",10.45
"52","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","none",16.5187022861475,"Open","actinomorphic",30,24,18,7.5,1,3,2,"herb","Perennial",0.75
"53","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","none",16.5187022861479,"Open","actinomorphic",30,24,18,7.5,1,3,2,"herb","Perennial",0.75
"54","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","none",16.5187022861476,"Open","actinomorphic",30,24,18,7.5,1,3,2,"herb","Perennial",0.75
"55","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",33.3786303105392,"Tube","zygomorphic",80,43,24,9,8.1,6,4,"herb","Short lived",0.18
"56","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",33.3786303105389,"Tube","zygomorphic",80,43,24,9,8.1,6,4,"herb","Short lived",0.18
"57","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,21,50,6,5,35.5,6,"herb","Perennial",1.25
"58","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",22.7182922564238,"Tube","actinomorphic",50,33,10,17.1779743773887,11.9510379790622,5.25,6,"herb","Perennial",0.3
"59","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",22.7182922564237,"Tube","actinomorphic",50,33,10,17.1779743773889,11.9510379790622,5.25,6,"herb","Perennial",0.3
"60","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",22.1909956981973,"Tube","actinomorphic",750,20,17.5,3.5,11.701263906226,3.5,5.1,"herb","Perennial",0.225
"61","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",22.1909956981975,"Tube","actinomorphic",750,20,17.5,3.5,11.7012639062261,3.5,5.1,"herb","Perennial",0.225
"62","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",20.9178421545112,"Open","actinomorphic",35,27,80,18,5,9,6,"herb","Perennial",0.525
"63","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",20.9178421545113,"Open","actinomorphic",35,27,80,18,5,9,6,"herb","Perennial",0.525
"64","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",20.9178421545114,"Open","actinomorphic",35,27,80,18,5,9,6,"herb","Perennial",0.525
"65","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",20.9178421545112,"Open","actinomorphic",35,27,80,18,5,9,6,"herb","Perennial",0.525
"66","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",20.9178421545113,"Open","actinomorphic",35,27,80,18,5,9,6,"herb","Perennial",0.525
"67","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"68","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"69","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"70","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"71","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"72","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,33,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"73","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.659958396649,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"74","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664895,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"75","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664892,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"76","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664895,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"77","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664878,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"78","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664871,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"79","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664909,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"80","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664886,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"81","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664948,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"82","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.6599583966489,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"83","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664898,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"84","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664898,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"85","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664894,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"86","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664923,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"87","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664878,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"88","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","none",7.65995839664892,"Tube","actinomorphic",6500,9,100,12.5,5.5,5,70,"tree","Perennial",17.1
"89","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera sp","Hermaphrodite","self_compatible","none",21.5983485877465,"Open","actinomorphic",5000,3,30,21.2793931167317,13.4105531289601,0.2,1,"herb","Perennial",1
"90","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",750,12,20,4,13.1250963661244,0.45,2,"herb","Perennial",0.25
"91","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",750,12,20,4,13.1250963661245,0.45,2,"herb","Perennial",0.25
"92","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",13.5056180323609,"Capitulum","actinomorphic",10,2,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
"93","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",13.505618032361,"Capitulum","actinomorphic",10,2,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
"94","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",13.5056180323609,"Capitulum","actinomorphic",10,2,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
