"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"132","Castilleja coccinea","Lamiales","Orobanchaceae","Castilleja","Castilleja coccinea","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",80,6,21,25,150,"herb","Short lived",0.31,"yes"
"133","Catasetum discolor","Asparagales","Orchidaceae","Catasetum","Catasetum discolor","Monoecious","monoecious","none",0,"Open","zygomorphic",10,30,40,5,7600,"herb","Perennial",0.2,"yes"
"134","Catharanthus roseus","Gentianales","Apocynaceae","Catharanthus","Catharanthus roseus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",20,40,22.5,19,40,"herb","Perennial",0.5,"yes"
"135","Caulophyllum thalictroides","Ranunculales","Berberidaceae","Caulophyllum","Caulophyllum thalictroides","Hermaphrodite","self_compatible","low",1,"Open","actinomorphic",50,10,1.5,0.625,3,"herb","Perennial",0.3,"yes"
"136","Ceanothus americanus","Rosales","Rhamnaceae","Ceanothus","Ceanothus americanus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7500,7.5,1.6,0.2,3,"shrub","Perennial",0.5,"yes"
"137","Celastrus scandens","Celastrales","Celastraceae","Celastrus","Celastrus scandens","Dioecious","dioecious","none",0,"Open","actinomorphic",2000,6,2.1,1,6,"vine","Perennial",4.5,"yes"
"138","Celmisia armstrongii","Asterales","Asteraceae","Celmisia","Celmisia armstrongii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,23.2,18.1,3,230,"herb","Perennial",0.15,"yes"
"139","Celmisia longifolia","Asterales","Asteraceae","Celmisia","Celmisia asteliifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,28,13.1,3,230,"herb","Perennial",0.2,"yes"
"140","Celmisia coriacea","Asterales","Asteraceae","Celmisia","Celmisia coriacea","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,50,NA,3,265,"herb","Perennial",0.325,"yes"
"141","Celmisia discolor","Asterales","Asteraceae","Celmisia","Celmisia discolor","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,25,7.35,3,230,"herb","Perennial",0.15,"yes"
"142","Celmisia gracilenta","Asterales","Asteraceae","Celmisia","Celmisia gracilenta","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,17.5,3.75,3,230,"herb","Perennial",0.15,"yes"
"143","Celmisia graminifolia","Asterales","Asteraceae","Celmisia","Celmisia graminifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,40,10,3,230,"herb","Perennial",0.225,"yes"
"144","Celmisia laricifolia","Asterales","Asteraceae","Celmisia","Celmisia laricifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,15,3,3,230,"herb","Perennial",0.15,"yes"
"145","Celmisia lyalii","Asterales","Asteraceae","Celmisia","Celmisia lyallii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,37.5,6.5,3,230,"herb","Perennial",0.18,"yes"
"146","Celmisia sessiliflora","Asterales","Asteraceae","Celmisia","Celmisia sessiliflora","Hermaphrodite","partially_self_compatible","low",20,"Capitulum","actinomorphic",75,15,8,3,230,"herb","Perennial",0.05,"yes"
"147","Celmisia spectabilis","Asterales","Asteraceae","Celmisia","Celmisia spectabilis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,60,17,3,250,"herb","Perennial",0.15,"yes"
"148","Centaurea jacea","Asterales","Asteraceae","Centaurea","Centaurea jacea","Hermaphrodite","self_incompatible","low",2.57,"Open","actinomorphic",5,45,16.5,9,70,"herb","Perennial",0.45,"yes"
"149","Centaurea nigra","Asterales","Asteraceae","Centaurea","Centaurea nigra","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",20,25,5.7,9,70,"herb","Perennial",0.45,"yes"
"150","Centaurea_solstialis","Asterales","Asteraceae","Centaurea","Centaurea solstitialis","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,16.5,20,8,50,"herb","Short lived",0.06,"yes"
"151","Cephalanthus occidentalis","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis","Hermaphrodite","partially_self_compatible","low",13,"Brush","actinomorphic",5000,4,8,6,1,"shrub","Perennial",1.6,"yes"
"152","Cerastium alpinum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium alpinum","Hermaphrodite","partially_self_compatible","medium",25,"Campanulate","actinomorphic",20,19.1,11.1,2.5,35,"herb","Perennial",0.4,"yes"
"153","Cerastium_arvense","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",15,17.5,17.5,2.5,43,"herb","Perennial",0.2,"no"
"154","Cerastium fontanum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium fontanum","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",15,7.5,4.5,3,35,"herb","Perennial",0.2,"yes"
"155","Cerastium nutans","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium nutans","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10,6,3,0.65,33.4,"herb","Short lived",0.3,"yes"
"156","Cercis canadensis","Fabales","Fabaceae","Cercis","Cercis canadensis","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15000,12.5,NA,7.5,6,"tree","Perennial",8,"yes"
"157","Cereus bicolor","Caryophyllales","Cactaceae","Cereus","Cereus hildmannianus","Hermaphrodite","partially_self_compatible","low",7.5,"Open","actinomorphic",50,125,24.1,20,1800,"tree","Perennial",10,"yes"
"158","Cassia chamaecrista","Fabales","Fabaceae","Chamaecrista","Chamaecrista chamaecristoides","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",20,30,15,11.92,11.1,"shrub","Perennial",0.6,"no"
"159","Chamaedaphne calyculata","Ericales","Ericaceae","Chamaedaphne","Chamaedaphne calyculata","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",750,3.5,5.1,4.55,60,"shrub","Perennial",0.85,"yes"
"160","Chamaemelum fuscatum","Asterales","Asteraceae","Chamaemelum","Chamaemelum fuscatum","Hermaphrodite",NA,"low",13,"Capitulum","actinomorphic",10,24.1,2.75,3,150,"herb","Short lived",0.2,"yes"
"161","Chamaerops humilis","Arecales","Arecaceae","Chamaerops","Chamaerops humilis","Dioecious","dioecious","none",0,"Open","actinomorphic",4000,4.5,4,0.25,3,"shrub","Perennial",1,"no"
"162","Chamomilla suaveolens","Asterales","Asteraceae","Chamomilla","Chamomilla suaveolens","Hermaphrodite","partially_self_compatible","low",21,"Capitulum","actinomorphic",25,8.5,8.5,0.5,150,"herb","Short lived",0.5,"yes"
"163","Chicocca alba","Gentianales","Rubiaceae","Chiococca","Chiococca alba","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",1500,5,4.1,5.5,2,"shrub","Perennial",1.5,"no"
"164","Chrysobalanus icaco","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","Hermaphrodite","self_compatible","low",3.3,"Campanulate","actinomorphic",9000,10,9,9,1,"shrub","Perennial",2.2,"yes"
"165","Cinnamomum verum","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",12000,6.5,9,3.5,1,"tree","Perennial",12,"yes"
"166","Cirsium altissimum","Asterales","Asteraceae","Cirsium","Cirsium altissimum","Hermaphrodite","partially_self_compatible","low",20,"Capitulum","actinomorphic",10,30.1,27,4.1,100,"herb","Short lived",1.25,"yes"
"167","Cirsium arvense","Asterales","Asteraceae","Cirsium","Cirsium arvense","Dioecious","dioecious","none",0,"Open","actinomorphic",10,13.5,14,3,100,"herb","Perennial",0.9,"yes"
"168","Cirsium lanceolatum","Asterales","Asteraceae","Cirsium","Cirsium lanceolatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",3,44.5,38,4,200,"herb","Short lived",0.75,"yes"
"169","Cirsium oleraceum","Asterales","Asteraceae","Cirsium","Cirsium oleraceum","Dioecious","self_compatible","low",13,"Capitulum","actinomorphic",5,40,25,20,100,"herb","Perennial",0.8,"yes"
"170","Cirsium palustre","Asterales","Asteraceae","Cirsium","Cirsium palustre","Hermaphrodite","self_compatible","low",12,"Campanulate","actinomorphic",40,13,15,3,35,"herb","Short lived",1.15,"yes"
"171","Cirsium pratensis","Asterales","Asteraceae","Cirsium","Cirsium pratense","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",15,27.5,22.5,10,100,"herb","Perennial",0.325,"yes"
"172","Cirsium pumilum","Asterales","Asteraceae","Cirsium","Cirsium pumilum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,50,50,5,100,"herb","Short lived",0.625,"yes"
"173","Cirsium vulgare","Asterales","Asteraceae","Cirsium","Cirsium vulgare","Hermaphrodite","self_incompatible","low",1,"Capitulum","actinomorphic",15,26,30,4.25,100,"herb","Short lived",1.15,"yes"
"174","Cistus albidus","Malvales","Cistaceae","Cistus","Cistus albidus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,50,7,3,94.78,"shrub","Perennial",0.5,"yes"
"175","Cistus crispus","Malvales","Cistaceae","Cistus","Cistus crispus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,32.5,5.5,3.5,17.2,"shrub","Perennial",0.3,"yes"
"176","Cistus ladanifer","Malvales","Cistaceae","Cistus","Cistus ladanifer","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,64,8.5,0.25,1038,"shrub","Perennial",1.75,"yes"
"177","Cistus libanotis","Malvales","Cistaceae","Cistus","Cistus libanotis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,29.1,6,0.5,22,"shrub","Perennial",1.05,"yes"
"178","Cistus monspeliensis","Malvales","Cistaceae","Cistus","Cistus monspeliensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,15,NA,0.25,21,"shrub","Perennial",0.5,"yes"
"179","Cistus salvifolius","Malvales","Cistaceae","Cistus","Cistus salviifolius","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",100,20,5,1,77,"shrub","Perennial",0.95,"yes"
"180","Claoxylon linostachys","Malpighiales","Euphorbiaceae","Claoxylon","Claoxylon linostachys","Dioecious","dioecious","none",0,"Brush","actinomorphic",15000,1.5,2.5,0.5,3,"shrub","Perennial",0.5,"no"
"181","Claytonia virginica","Caryophyllales","Montiaceae","Claytonia","Claytonia virginica","Hermaphrodite","partially_self_compatible","low",0,"Open","actinomorphic",20,10.5,2.5,3.5,4,"herb","Perennial",0.2,"yes"
"182","Cleistocactus baumannii","Caryophyllales","Cactaceae","Cleistocactus","Cleistocactus baumannii","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,7.19,50.02,38.61,915,"shrub","Perennial",0.5,"yes"
"183","Clematis akebioides","Ranunculales","Ranunculaceae","Clematis","Clematis akebioides","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",100,27,5,9.5,142,"vine","Perennial",5.35,"yes"
"184","Cleome viscosa","Brassicales","Cleomaceae","Cleome","Cleome viscosa","Dioecious","self_compatible","high",88,"Campanulate","actinomorphic",10,15,14.1,1.1,138.5,"herb","Short lived",1,"yes"
"185","Clerodendrum molle","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum villosum","Hermaphrodite","self_compatible","low",20,"Tube","zygomorphic",30,22,22,42,4,"shrub","Perennial",3.25,"yes"
"186","Clidemia capitellata","Myrtales","Melastomataceae","Clidemia","Clidemia capitellata","Hermaphrodite","self_compatible","medium",26,"Open","actinomorphic",150,11.25,1,5,206.3,"shrub","Perennial",2,"no"
"187","Clusia grandiflora","Malpighiales","Clusiaceae","Clusia","Clusia grandiflora","Dioecious","dioecious","none",0,"Open","actinomorphic",100,95,NA,0.1,25,"tree","Perennial",5,"no"
"188","Clusia pusilla","Malpighiales","Clusiaceae","Clusia","Clusia pusilla","Dioecious","dioecious","none",0,"Open","actinomorphic",100,50,NA,0.1,25,"shrub","Perennial",2.5,"no"
"189","Cnidoscolus urens","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus urens","Monoecious","monoecious","none",0,"Tube","actinomorphic",25,12.5,7.5,0.8,3,"herb","Perennial",0.65,"yes"
"190","Codonopsis convolvulacea","Asterales","Campanulaceae","Codonopsis","Codonopsis convolvulacea","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",20,45,10,1,250,"vine","Perennial",0.5,"yes"
"191","Codonopsis lanceolata","Asterales","Campanulaceae","Codonopsis","Codonopsis lanceolata","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",40,27.5,30,10,250,"vine","Perennial",0.75,"yes"
"192","Coffea arabica","Gentianales","Rubiaceae","Coffea","Coffea arabica","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",5000,14.1,9.1,7,2,"tree","Perennial",6.5,"yes"
"193","Coffea macrocarpa","Gentianales","Rubiaceae","Coffea","Coffea macrocarpa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",40,6.5,6.5,7,2,"shrub","Perennial",1.75,"no"
"194","Collinsia verna","Lamiales","Plantaginaceae","Collinsia","Collinsia verna","Hermaphrodite","self_compatible","medium",44,"Tube","zygomorphic",10,7.5,9,9.5,4,"herb","Short lived",2.6,"yes"
"195","Comandra umbellata","Santalales","Santalaceae","Comandra","Comandra umbellata","Hermaphrodite","partially_self_compatible","low",5,"Tube","actinomorphic",40,5,5,1.2,2.5,"herb","Perennial",0.25,"yes"
"196","Convolvulus althaeoides","Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",50,22.5,17.5,7.5,4,"herb","Perennial",1,"yes"
"197","Convolvulus arvensis","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",20,22.5,15,10,4,"herb","Perennial",1.25,"yes"
"198","Cordia leucophlyctis","Boraginales","Boraginaceae","Cordia","Cordia leucophlyctis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,9.71,7.38,1.6,4,"shrub","Perennial",1.75,"yes"
"199","Cordia lutea","Boraginales","Boraginaceae","Cordia","Cordia lutea","Hermaphrodite","self_compatible","low",4,"Campanulate","actinomorphic",250,30,24.63,10.1,4,"tree","Perennial",4.5,"yes"
"200","Coreopsis palmata","Asterales","Asteraceae","Coreopsis","Coreopsis palmata","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",3,38,11,6.7,90,"herb","Perennial",0.1,"yes"
"201","Coreopsis tripteris","Asterales","Asteraceae","Coreopsis","Coreopsis tripteris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,67.5,14.1,3.5,60,"herb","Perennial",1.65,"yes"
"202","Cornus amomum","Cornales","Cornaceae","Cornus","Cornus amomum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",4000,10,NA,3.4,2,"shrub","Perennial",3,"yes"
"203","Cornus florida","Cornales","Cornaceae","Cornus","Cornus florida","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",10000,3,3,3.5,2,"tree","Perennial",7.5,"yes"
"204","Swida macrophylla","Cornales","Cornaceae","Cornus","Cornus macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",70000,8.5,2,4.5,2,"tree","Perennial",13.5,"yes"
"205","Cornus paniculata","Cornales","Cornaceae","Cornus","Cornus oblonga","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",28000,8,1,2.65,2,"tree","Perennial",8,"yes"
"206","Corokia cotoneaster","Asterales","Argophyllaceae","Corokia","Corokia cotoneaster","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",200,6.5,1,1.5,1.2,"shrub","Perennial",1,"no"
"207","Corydalis incisa","Ranunculales","Papaveraceae","Corydalis","Corydalis incisa","Hermaphrodite","self_compatible","low",21,"Tube","zygomorphic",30,5.5,15,2.5,15.5,"herb","Short lived",0.3,"yes"
"208","Crataegus crus-galli","Rosales","Rosaceae","Crataegus","Crataegus crus-galli","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",14000,10,2.5,8,4,"tree","Perennial",7.5,"yes"
"209","Crepis capillaris","Asterales","Asteraceae","Crepis","Crepis capillaris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,15,10,5,40,"herb","Short lived",0.6,"yes"
"210","Crepis paludosa","Asterales","Asteraceae","Crepis","Crepis paludosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,20,3.5,6,40,"herb","Perennial",0.625,"yes"
"211","Crithmum maritimum","Apiales","Apiaceae","Crthitmum","Crithmum maritimum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,3,1,5.5,4,"herb","Perennial",0.45,"yes"
"212","Crotalaria incana","Fabales","Fabaceae","Crotalaria","Crotalaria incana","Hermaphrodite","self_compatible","medium",65,"Papilionaceous","zygomorphic",150,9,9,8,8,"herb","Perennial",0.75,"yes"
"213","Croton fothergillifolius","Malpighiales","Euphorbiaceae","Croton","Croton fothergillifolius","Monoecious","monoecious","none",0,"Brush","actinomorphic",1500,2.1,NA,2.5,3,"shrub","Perennial",4,"no"
"214","Croton hirtus","Malpighiales","Euphorbiaceae","Croton","Croton hirtus","Monoecious","monoecious","none",0,"Open","actinomorphic",1200,5,5,2.4,3,"herb","Short lived",0.5,"yes"
"215","Croton scouleri","Malpighiales","Euphorbiaceae","Croton","Croton scouleri","Dioecious","dioecious","none",0,"Open","actinomorphic",1800,3,1,3,3,"tree","Perennial",4,"yes"
"216","Cryptocarpus pyriformis","Caryophyllales","Nyctaginaceae","Cryptocarpus","Cryptocarpus pyriformis","Hermaphrodite","self_compatible","low",11,"Open","actinomorphic",2500,2.26,1.59,0.5,2,"shrub","Perennial",0.75,"yes"
"217","Cryptotaenia canadensis","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia canadensis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,3,1,1,2,"herb","Perennial",0.6,"yes"
"218","Cucurbita pepo","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","Monoecious","monoecious","none",0,"Funnelform","actinomorphic",15,100,70,10,500,"herb","Short lived",0.48,"yes"
"219","Cuphea racemosa","Myrtales","Lythraceae","Cuphea","Cuphea racemosa","Hermaphrodite","self_compatible","medium",36.1,"Tube","zygomorphic",15,3.8,5.1,1,4,"herb","Short lived",0.25,"yes"
"220","Cybianthus quelchii","Ericales","Primulaceae","Cybianthus","Cybianthus quelchii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",200,2.75,2.75,0.1,3.5,"shrub","Perennial",2.5,"yes"
"221","Cynoglossum officinale","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,6,5.3,1,4,"herb","Short lived",0.5,"yes"
"222","Cypripedium parviflorum pubescens","Asparagales","Orchidaceae","Cypripedium","Cypripedium parviflorum","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",50,4.2,73,0.1,25000,"herb","Perennial",0.46,"yes"
"223","Cyrilla racemiflora","Ericales","Cyrillaceae","Cyrilla","Cyrilla racemiflora","Hermaphrodite","self_incompatible","low",0.02,"Open","actinomorphic",16000,5,1,2,3,"tree","Perennial",4.1,"yes"
"224","Cytisus scoparius","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,16,20,10,13,"shrub","Perennial",2.5,"no"
"225","Petalostemum purpureum","Fabales","Fabaceae","Dalea","Dalea purpurea","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",10500,4,3.1,8.5,2,"herb","Perennial",0.45,"yes"
"226","Potentilla fruticosa","Rosales","Rosaceae","Dasiphora","Dasiphora fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",80,19.1,2.5,2,88,"shrub","Perennial",1.65,"yes"
"227","Datura stramonium","Solanales","Solanaceae","Datura","Datura stramonium","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,40,75,50,80,"herb","Short lived",1.25,"yes"
"228","Daucus carota","Apiales","Apiaceae","Daucus","Daucus carota","Monoecious","self_compatible","none",0,"Open","actinomorphic",650,5.5,1.5,1.15,2,"herb","Short lived",0.5,"yes"
"229","Declieuxia fruticosa","Gentianales","Rubiaceae","Declieuxia","Declieuxia fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",175,5.5,3.5,4.35,2,"shrub","Perennial",0.785,"yes"
"230","Delphinium tricorne","Ranunculales","Ranunculaceae","Delphinium","Delphinium tricorne","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,35,35,15,42,"herb","Perennial",0.225,"yes"
"231","Sisymbrium canescens","Brassicales","Brassicaceae","Descurainia","Descurainia pinnata","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",35,3,1.5,0.11,28,"herb","Short lived",0.375,"yes"
"232","Desmanthus virgatus","Fabales","Fabaceae","Desmanthus","Desmanthus virgatus","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","actinomorphic",50,1,2.75,3.15,7,"shrub","Perennial",1,"no"
"233","Desmodium barbatum","Fabales","Fabaceae","Desmodium","Desmodium barbatum","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,4.5,6,2,7,"herb","Short lived",0.5,"no"
"234","Desmodium canescens","Fabales","Fabaceae","Desmodium","Desmodium canescens","Hermaphrodite","self_compatible","high",90,"Papilionaceous","zygomorphic",50,9.1,9.1,2,7,"herb","Perennial",1.05,"no"
"235","Desmodium bracteosum","Fabales","Fabaceae","Desmodium","Desmodium cuspidatum","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",40,8,8,2,7,"herb","Perennial",0.6,"no"
"236","Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,10.5,10,10,93,"herb","Short lived",0.45,"yes"
"237","Dianthus caryophillus","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus caryophyllus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,45,NA,10,97.5,"herb","Perennial",0.4,"yes"
"238","Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,14.1,9.1,3,240,"shrub","Perennial",0.04,"yes"
"239","Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,15,17.5,2.1,6,"herb","Perennial",0.2,"yes"
"240","Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,32,45,36.5,264,"herb","Short lived",0.7,"yes"
"241","Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,0.8,2.1,0.1,1,"herb","Short lived",0.55,"no"
"242","Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,110,NA,10,57.5,"shrub","Perennial",8,"no"
"243","Diospyrus japonica","Ericales","Ebenaceae","Diospyros","Diospyros japonica","Monoecious","monoecious","none",0,"Tube","actinomorphic",3500,5.2,8.75,2,8,"tree","Perennial",8.5,"yes"
"244","Diospyros revaughanii","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,NA,"actinomorphic",20000,7.1,7,2,8,"tree","Perennial",10,"yes"
"245","Diospyros virginiana","Ericales","Ebenaceae","Diospyros","Diospyros virginiana","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,11,12,1,8,"tree","Perennial",7.5,"yes"
"246","Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,10,5,2,2,"herb","Short lived",0.65,"no"
"247","Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,4,10,10,1,"herb","Perennial",1,"yes"
"248","Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,5,12.5,10,1,"herb","Perennial",1,"yes"
"249","Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,50,12.5,6,1,"herb","Short lived",1,"yes"
"250","Dirca palustris","Malvales","Thymelaeaceae","Dirca","Dirca palustris","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,2.15,9.5,10,1,"shrub","Perennial",1,"yes"
"251","Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,4,1,1,3,"shrub","Perennial",2.5,"yes"
"252","Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,8,4,5,3,"shrub","Perennial",2.5,"no"
"253","Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,2.5,1,0.1,6,"tree","Perennial",7.5,"no"
"254","Draba arctica","Brassicales","Brassicaceae","Draba","Draba arctica","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,8,4,1.05,20.2,"herb","Perennial",0.2,"yes"
"255","Draba lactea","Brassicales","Brassicaceae","Draba","Draba lactea","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,8,4,0.25,22,"herb","Perennial",0.125,"yes"
"256","Dryas octopetala","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,30,6,20,59.67,"shrub","Perennial",0.075,"yes"
"257","Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,69,9,65.5,"herb","Perennial",0.6,"yes"
"258","Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,14,55,4.5,65.5,"herb","Perennial",0.9,"yes"
"259","Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Echinocystis lobata","Monoecious","monoecious","none",0,"Open","actinomorphic",750,12.5,NA,1,6,"vine","Short lived",4,"yes"
"260","Trichocereus candicans","Caryophyllales","Cactaceae","Echinopsis","Echinopsis candicans","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,205,NA,20,2203,"shrub","Perennial",2,"yes"
"261","Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,112,167,5.5,2203,"shrub","Perennial",0.2,"yes"
