"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Stellaria uliginosa","Hermaphrodite","self_compatible","low",-0.0810602285847309,"Open","actinomorphic",-0.236067321405682,-0.168277095490959,-0.789558944024881,-0.46469522027344,-0.521104140779333,-0.637376465710183,-0.092371276088403,"herb","Perennial",-0.537885530292277,"yes",2
"Stellaria yunnanensis","Hermaphrodite","self_compatible","low",-0.185619596788596,"Open","actinomorphic",-0.232587376406161,-0.158437941734724,-0.689063583474459,-0.242769233576464,-0.521104140779333,-0.221454097551886,-0.092371276088403,"herb","Perennial",-0.523654950917027,"yes",2
"Stellera chamaejasme","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",-0.121229136421468,-0.109242172953545,-0.253583687755962,-0.46469522027344,0.410880519203565,-0.387823044815205,-0.109362854335609,"herb","Perennial",-0.480963212791277,"yes",3
"Stenactis annua","Hermaphrodite","self_compatible","high",2.58618110283423,"Capitulum","actinomorphic",-0.236067321405682,-0.158437941734724,-0.228571509130079,0.774144954355013,-0.171609893285746,-0.476553150022308,-0.010002129460672,"herb","Short lived",-0.324426839663527,"yes",1
"Stenanthium gramineum","Hermaphrodite","self_compatible","low",-0.193520217027927,"Open","actinomorphic",-0.219827578074581,0.198231381928822,0.0814008474121131,-0.0208432468794881,-0.200734413910212,-0.654013360436515,-0.115316966934699,"herb","Perennial",-0.324426839663527,"yes",2
"Stephanandra incisa","Hermaphrodite","self_compatible","low",-0.180036154366389,"Open","actinomorphic",-0.228527440573385,-0.12154111514884,-0.476906711201345,-0.538670549172433,-0.521104140779333,-0.498735676324084,-0.126495636834177,"shrub","Perennial",-0.224812784036777,"yes",2
"Stillingia lineata","Monoecious","monoecious","none",-0.71336012543232,"Tube","actinomorphic",-0.185028128079365,-0.133840057344134,-0.81189124636942,-0.711279649936747,-0.579353182028264,-0.609648307832964,-0.125907285786836,"shrub","Perennial",0.586330240352473,"no",4
"Strophostyles helvula","Hermaphrodite","self_compatible","low",-0.0846600405630307,"Papilionaceous","zygomorphic",-0.235487330572429,-0.168277095490959,-0.653331899723198,-0.163862216084206,-0.0492869066629911,0.388565375746951,-0.12178882845545,"vine","Short lived",-0.011354093408027,"yes",5
"Strophostyles leiosperma","Hermaphrodite","self_compatible","high",2.58618110283423,"Papilionaceous","zygomorphic",-0.237111304905539,-0.168277095490959,-0.767226641680343,-0.415378334340779,-0.288107975783609,-0.0550851502885664,-0.124554078377952,"vine","Short lived",-0.324426839663527,"yes",5
"Stylidium graminifolium","Hermaphrodite","partially_self_compatible","low",-0.225927898529308,"Tube","actinomorphic",-0.234327348905921,-0.109242172953545,0.193062359134805,-0.267427676542795,-0.200734413910212,-0.165997781797446,-0.0584822557615651,"herb","Perennial",-0.438271474665527,"yes",2
