"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Acer saccharinum","Monoecious","monoecious","none",-1.11276124921035,"Open","actinomorphic",1.01949288586701,-0.133862834708536,-0.477271164630331,-0.652231437196919,-0.473669129663493,-0.169502041228547,-0.12716988842567,"tree","Perennial",7.53192389196692,8
"Achillea millefolium","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,6
"Achillea wilsoniana","Hermaphrodite","self_incompatible","none",-0.251290543124157,"Capitulum","actinomorphic",-0.134019602251772,1.8260817384233,-0.791654200678773,-0.477649330078277,-0.41379840044376,-0.39019413343809,-0.120592486738411,"herb","Perennial",-0.397835126987835,9
"Achyranthes bidentata","Hermaphrodite","self_compatible","none",0.236794878495002,"Tube","actinomorphic",-0.221786856782548,-0.108895387917048,-0.589550820361918,-0.702112039230817,-0.353927671224026,-0.555713202595247,-0.128963725249467,"herb","Perennial",-0.310854223672061,10
"Aciphylla glacialis","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.108943243814407,0.328034930933998,3.56479644170678,-0.664701587705394,-0.623345952712826,-0.610886225647633,-0.128365779641535,"herb","Perennial",-0.463070804474666,6
"Aciphylla scott-thomsonii","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.22805594639189,-0.0464767709383269,2.44199988439092,-0.664701587705394,-0.623345952712826,-0.666059248700018,-0.128365779641535,"herb","Perennial",-0.441325578645722,6
"Aciphylla simplicifolia","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.108943243814407,2.32543067425307,3.56479644170678,-0.689641888722343,-0.6293330256348,-0.610886225647633,-0.128365779641535,"herb","Perennial",-0.499312847522905,6
"Aciphylla subflabellata","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.171634139907819,1.07705833467865,2.44199988439092,-0.689641888722343,-0.6293330256348,-0.666059248700018,-0.128365779641535,"herb","Perennial",-0.513809664742201,6
"Aconitum piepunense","Hermaphrodite","self_compatible","high",0.381358113724208,"Open","zygomorphic",-0.22805594639189,-0.0464767709383269,-0.409903371191379,-0.128485115840993,-0.204250848174693,-0.445367156490476,-0.0948808255973113,"herb","Perennial",-0.22795251189275,11
"Acrothamnus montanus","Hermaphrodite","self_compatible","none",0.0517390780021744,"Tube","actinomorphic",-0.140288691861113,-0.121379111312792,-0.477271164630331,-0.652231437196919,-0.488636811968426,-0.66054194639478,-0.12716988842567,"shrub","Perennial",-0.484816030303609,12
"Actaea rubra","Hermaphrodite","self_compatible","medium",0.986273446395149,"Open","actinomorphic",-0.202979587954525,-0.0714442177298152,-0.477271164630331,-0.527529932112175,1.20989577599541,-0.555713202595247,-0.116406867482883,"herb","Perennial",-0.412331944207131,2
"Actaea yunnanensis","Hermaphrodite","self_compatible","none",0.0686168956816215,"Open","actinomorphic",-0.226802128470021,-0.0215093241468385,-0.477271164630331,-0.377888126010482,-0.104523315927337,-0.555713202595247,-0.128963725249467,"herb","Perennial",-0.325351040891357,10
"Actinidia arguta","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.196710498345184,-0.133862834708536,0.0841271140276016,0.0211566902607003,-0.353927671224026,-0.00398297207139003,0.229205693902135,"vine","Perennial",0.573451626704977,6
"Actinidia rufa","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",0.576802782521746,-0.133862834708536,-0.645690648227711,-0.153425416857942,-0.930030462557959,-0.39019413343809,0.229205693902135,"shrub","Perennial",1.44326065986272,6
"Adenophora capillaris","Hermaphrodite","self_incompatible","low",-0.632981890214809,"Campanulate","actinomorphic",-0.230563582235626,-0.0964116645213036,-0.645690648227711,-0.153425416857942,0.184908891753574,1.48568865034302,-0.0386739384516508,"herb","Perennial",-0.368841492549244,9
"Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",-0.393092210717037,"Campanulate","actinomorphic",-0.233071218079363,-0.14634655810428,-0.477271164630331,0.220679098396291,0.45073492948919,1.48568865034302,-0.0141581685264159,"herb","Perennial",-0.455822395865018,9
"Adenophora khasiana","Hermaphrodite","self_incompatible","low",-0.393092210717037,"Campanulate","actinomorphic",-0.221786856782548,0.0783604630191149,-0.140432197435571,0.968888128904758,0.579456997311616,1.92707283476211,0.0833069655665911,"herb","Perennial",-0.325351040891357,9
"Adenostyles alpina","Hermaphrodite","self_incompatible","none",-0.126737553305041,"Capitulum","actinomorphic",-0.209248677563866,0.0783604630191149,1.31920332707505,-0.173377657671501,-0.174315483564826,0.933958419819167,-0.124778105993939,"herb","Perennial",-0.310854223672061,9
"Aeginetia indica","Hermaphrodite","self_compatible","high",0.741929839241996,"Tube","zygomorphic",-0.234199654209044,-0.16881726021662,-0.414394557420643,0.360344784091205,1.59187102841731,0.658093304557238,-0.0960767168131765,"herb","Perennial",-0.535554890571144,11
"Aeschynomene mollicula","Hermaphrodite","self_compatible","high",0.690418908280967,"Papilionaceous","zygomorphic",-0.233698127040297,-0.158830281500024,-0.879232332149411,-0.672183678010479,-0.228199139862586,-0.169502041228547,-0.120592486738411,"shrub","Perennial",-0.296357406452765,11
"Aeschynomene pratensis","Hermaphrodite","self_compatible","low",0.2863953064604,"Papilionaceous","zygomorphic",-0.232444309118428,-0.163823770858322,-0.859021994117725,-0.627291136179971,-0.174315483564826,-0.169502041228547,-0.120592486738411,"herb","Perennial",-0.296357406452765,11
"Aesculus glabra","Monoecious","self_compatible","none",-0.744162219143655,"Tube","zygomorphic",1.01949288586701,-0.0464767709383269,0.870084704148707,-0.128485115840993,0.663874725511441,3.69260957243845,-0.125973997209804,"tree","Perennial",3.76275141495003,7
"Aesculus hippocastanum","Hermaphrodite","self_compatible","none",-0.813614805099808,"Open","zygomorphic",2.27331080773525,0.0783604630191149,1.7683219500014,0.594783613650525,0.131025235455814,1.09947748897632,-0.125973997209804,"tree","Perennial",4.92249679249369,7
"Agalinis auriculata","Hermaphrodite","self_compatible","high",4.58461863886172,"Campanulate","zygomorphic",-0.233071218079363,-0.14634655810428,-0.252711853167158,-0.173377657671501,0.12503816253384,0.492574235400081,-0.000674495067536736,"herb","Short lived",-0.455822395865018,13
"Agalinis purpurea","Hermaphrodite","self_compatible","high",0.799197822630647,"Campanulate","zygomorphic",-0.221786856782548,0.0783604630191149,0.420966081222361,0.0460969912776492,0.430378881554481,0.933958419819167,0.00437814531949338,"herb","Short lived",-0.455822395865018,13
"Agalinis tenuifolia","Hermaphrodite","self_compatible","high",0.707053105872809,"Campanulate","zygomorphic",-0.221786856782548,0.0783604630191149,-0.477271164630331,-0.253186620925737,0.0951027979239737,0.492574235400081,-0.0775404029672671,"herb","Short lived",2.05212698307314,13
"Agarista salicifolia","Hermaphrodite","self_compatible","none",-0.156118744196341,"Tube","actinomorphic",0.0164385483724171,-0.0964116645213036,-0.701830476093504,-0.552470233129124,-0.14438011895496,0.0511900509809957,-0.125376051601872,"tree","Perennial",2.44354104799412,7
"Agastache nepetoides","Hermaphrodite","self_compatible","high",0.745400798524496,"Tube","zygomorphic",-0.0462523477209949,0.0783604630191149,-0.252711853167158,-0.622303075976581,-0.174315483564826,0.492574235400081,-0.12716988842567,"herb","Perennial",-0.107898782601921,11
"Agastache scrophulariaefolia","Hermaphrodite","self_compatible","high",0.690342740180135,"Tube","zygomorphic",-0.171634139907819,0.0783604630191149,-0.252711853167158,-0.577410534146073,-0.168328410642853,0.492574235400081,-0.12716988842567,"herb","Perennial",-0.238370137575582,11
"Ageratum conyzoides","Hermaphrodite","self_compatible","medium",2.00580458426068,"Capitulum","actinomorphic",-0.22805594639189,-0.133862834708536,-0.780426235105615,-0.452709029061328,-0.473669129663493,-0.610886225647633,-0.105643846540097,"herb","Short lived",-0.426828761426426,3
"Agrimonia pilosa","Hermaphrodite","self_compatible","none",-0.0126994236003213,"Open","actinomorphic",-0.230563582235626,-0.0964116645213036,-0.522183026922966,-0.402828427027431,-0.59341058810296,-0.39019413343809,-0.128365779641535,"herb","Perennial",-0.368841492549244,10
"Agrimonia striata","Hermaphrodite","self_compatible","none",-0.0149895470215686,"Open","actinomorphic",-0.226802128470021,-0.0215093241468385,-0.522183026922966,-0.4177926076376,-0.617358879790853,-0.39019413343809,-0.128963725249467,"herb","Perennial",-0.368841492549244,10
"Ajuga dictyocarpa","Hermaphrodite","self_compatible","high",0.688131994083149,"Tube","zygomorphic",-0.232444309118428,-0.158830281500024,-0.364991508898744,-0.427768728044379,-0.28806986908232,-0.0591559951237757,-0.12716988842567,"herb","Perennial",-0.513809664742201,11
"Ajuga forrestii","Hermaphrodite","self_compatible","high",0.762040080240678,"Tube","zygomorphic",-0.224294492626285,0.0284255694361382,-0.387447440045062,-0.328007523976584,-0.168328410642853,-0.0591559951237757,-0.12716988842567,"herb","Short lived",-0.534105208849215,13
"Ajuga reptans","Dioecious","self_compatible","none",-1.11276124921035,"Papilionaceous","zygomorphic",-0.226802128470021,-0.0215093241468385,-0.252711853167158,-0.20330601889184,0.274714985583174,0.38222818929531,-0.12716988842567,"herb","Perennial",-0.484816030303609,14
"Akebia quinata","Monoecious","monoecious","none",-1.11276124921035,"Open","actinomorphic",0.621088556840062,-0.133862834708536,0.0841271140276016,-0.0287239117731974,-0.50360449427336,-0.39019413343809,0.182388937720233,"vine","Perennial",1.15332431547681,8
"Alangium platanifolium","Hermaphrodite","self_incompatible","none",-0.290364380317746,"Tube","actinomorphic",0.392583924932889,-0.121379111312792,-0.589550820361918,-0.0287239117731974,-0.024638660515493,0.602920281504853,-0.110953603538539,"shrub","Perennial",0.283515282319063,5
"Albizia julibrissin","Hermaphrodite","self_incompatible","low",-0.217686597988982,"Brush","actinomorphic",2.27331080773525,-0.108895387917048,0.0841271140276016,-0.677171738213868,-0.41379840044376,0.823612373714396,-0.123582214778074,"tree","Perennial",2.02313334863455,5
"Alisma gramineum","Hermaphrodite","self_compatible","none",-0.0903868650560299,"Open","actinomorphic",-0.230563582235626,-0.0964116645213036,-0.791654200678773,-0.477649330078277,-0.50360449427336,-0.671576551005257,-0.117602758698749,"herb","Perennial",-0.506561256132553,10
"Allium ampeloprasum","Hermaphrodite","self_compatible","low",0.0866871482785058,"Open","actinomorphic",-0.202979587954525,0.45287216489144,0.196406769759188,-0.477649330078277,-0.353927671224026,3.19605236496698,-0.125973997209804,"herb","Perennial",-0.223873320356287,2
"Allium atrosanguineum","Hermaphrodite","self_compatible","low",0.300785553684474,"Tube","actinomorphic",-0.22805594639189,-0.0464767709383269,-0.701830476093504,0.355458961436264,0.443589508863813,-0.141915529702354,-0.125973997209804,"herb","Perennial",-0.499312847522905,2
"Allium cyathophorum","Hermaphrodite","self_compatible","low",0.298960068921428,"Tube","actinomorphic",-0.140288691861113,-0.108895387917048,-0.533410992496124,-0.602350835163022,0.372723827410475,-0.335021110385704,-0.126512148256944,"herb","Perennial",-0.521058073351849,2
"Allium macranthum","Hermaphrodite","self_compatible","low",0.149685907233849,"Open","actinomorphic",-0.229936673274692,-0.0839279411255594,2.21744057292775,0.220679098396291,0.843486913170641,0.823612373714396,-0.124778105993939,"herb","Perennial",-0.470319213084314,2
"Allium wallichii","Hermaphrodite","self_compatible","low",0.171987314757807,"Open","actinomorphic",-0.229936673274692,-0.0839279411255594,0.870084704148707,0.120917894328496,-0.353927671224026,0.271882143190538,-0.125973997209804,"herb","Perennial",-0.434077170036074,2
"Alocasia odora","Hermaphrodite","self_compatible","low",-1.09572406282331,"Spike","actinomorphic",-0.189187590813974,0.727514079597812,2.44199988439092,-0.677171738213868,-0.59341058810296,-0.610886225647633,-0.125973997209804,"herb","Perennial",-0.223873320356287,2
"Aloysia gratissima","Hermaphrodite","self_compatible","medium",2.96536330225176,"Tube","actinomorphic",0.0164385483724171,-0.0464767709383269,-0.701830476093504,-0.672183678010479,-0.52156571303928,-0.500540179542861,-0.128365779641535,"shrub","Perennial",-0.0789051481633296,11
"Alpinia","Hermaphrodite","self_compatible","low",0.472560474937653,"Tube","zygomorphic",-0.229936673274692,-0.0839279411255594,0.0841271140276016,0.420359677688643,0.698156717009888,1.48568865034302,-0.0578081979054927,"herb","Perennial",-0.224713495148467,11
"Alpinia formosana","Hermaphrodite","self_compatible","low",0.548888060866656,"Tube","zygomorphic",-0.229936673274692,-0.0839279411255594,0.0841271140276016,0.0261447504640902,0.544133267071974,1.48568865034302,-0.102654118500435,"herb","Perennial",0.0660630240296275,11
"Alpinia intermedia","Hermaphrodite","self_compatible","low",0.557655181390258,"Tube","zygomorphic",-0.225548310548153,0.00345812264464982,0.0841271140276016,-0.0287239117731974,0.244779620973307,1.48568865034302,-0.104447955324232,"herb","Perennial",-0.223873320356287,11
"Alstonia macrophylla","Hermaphrodite","self_compatible","none",-0.434356589434648,"Tube","actinomorphic",0.580656613213125,0.15326280339358,1.31920332707505,-0.153425416857942,-0.32399230661416,-0.169502041228547,-0.0877054783021206,"tree","Perennial",4.37161773816045,7
"Alternanthera echinocephala","Hermaphrodite","self_compatible","low",-1.02280261939869,"Campanulate","actinomorphic",0.392583924932889,-0.0714442177298152,-0.252711853167158,-0.278126921942686,-0.174315483564826,-0.69916306253145,-0.128963725249467,"shrub","Perennial",-0.223873320356287,1
"Alternanthera filifolia","Hermaphrodite","self_compatible","none",0.170526636916068,"Tube","actinomorphic",0.392583924932889,-0.0714442177298152,-0.252711853167158,-0.41280454743421,-0.167729703350656,-0.69916306253145,-0.128963725249467,"shrub","Perennial",-0.296357406452765,12
"Alternanthera sp","Hermaphrodite","self_compatible","none",0.175485276405945,"Open","actinomorphic",0.392583924932889,0.0783604630191149,-0.252711853167158,-0.0349241337305562,0.0115232556806679,-0.69916306253145,-0.128963725249467,"herb","Perennial",-0.296357406452765,10
"Amaranthus spinosus","Monoecious","monoecious","none",-1.11276124921035,"Open","actinomorphic",-0.0462523477209949,3.57380301382748,-0.701830476093504,-0.677171738213868,-0.533539858883226,-0.500540179542861,-0.128963725249467,"herb","Short lived",-0.412331944207131,8
"Ambrosia trifida","Monoecious","monoecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.108943243814407,2.32543067425307,-0.140432197435571,-0.652231437196919,-0.50360449427336,-0.500540179542861,-0.110953603538539,"herb","Short lived",0.037069389591036,8
"Amelanchier arborea","Hermaphrodite","self_incompatible","none",-1.11276124921035,"Open","actinomorphic",1.01949288586701,-0.158830281500024,1.31920332707505,0.47008210856578,0.244779620973307,-0.412263342659044,-0.123582214778074,"tree","Perennial",1.58822883205568,7
"Ammannia coccinea","Hermaphrodite","self_compatible","high",0.511432326221771,"Tube","actinomorphic",-0.190441408735842,-0.158830281500024,-0.589550820361918,-0.552470233129124,-0.41379840044376,-0.555713202595247,-0.0599711904939026,"herb","Short lived",-0.513809664742201,3
"Amorpha canescens","Hermaphrodite","self_compatible","medium",2.0357907941979,"Tube","zygomorphic",0.141820340559241,0.240648867163789,-0.589550820361918,-0.664701587705394,-0.383863035833893,-0.445367156490476,-0.128365779641535,"shrub","Perennial",-0.441325578645722,11
"Amorpha fruticosa","Hermaphrodite","self_compatible","high",0.558948730584864,"Tube","zygomorphic",0.392583924932889,0.0284255694361382,-0.589550820361918,-0.639761286688445,-0.383863035833893,-0.224675064280933,-0.128365779641535,"shrub","Perennial",-0.0789051481633296,1
"Ampelamus laevis","Hermaphrodite","self_incompatible","none",-0.263313512561283,"Open","actinomorphic",0.0735031052740223,-0.0215093241468385,-0.252711853167158,-0.4177926076376,-0.294056942004293,-0.0591559951237757,-0.0744041162044039,"herb","Perennial",1.15332431547681,9
"Ampelopsis glandulosa","Hermaphrodite","self_compatible","none",-0.524084797133277,"Open","actinomorphic",1.01949288586701,0.0783604630191149,-0.701830476093504,-0.702112039230817,-0.391592424532609,-0.666059248700018,-0.12716988842567,"vine","Perennial",0.863387971090891,10
"Amphicarpaea bracteata","Hermaphrodite","self_compatible","high",0.91010148974866,"Papilionaceous","zygomorphic",-0.196710498345184,-0.121379111312792,-0.589550820361918,-0.477649330078277,0.244779620973307,-0.00398297207139003,-0.12716988842567,"herb","Short lived",-0.368841492549244,13
"Anaphalioides alpinum","Hermaphrodite","self_incompatible","none",-0.254460828144576,"Capitulum","actinomorphic",-0.23394889062467,-0.16881726021662,-0.432359302337696,0.320440302464087,-0.0545740251253596,-0.31295190116475,-0.0201376246057415,"shrub","Perennial",0.283515282319063,9
"Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",0.693608037407868,"Capitulum","actinomorphic",-0.22805594639189,-0.16881726021662,-0.533410992496124,0.095977593311547,-0.294056942004293,-0.31295190116475,-0.0273129719009322,"herb","Perennial",-0.542803299180792,9
"Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",-0.162365750067891,"Capitulum","actinomorphic",-0.233071218079363,-0.14634655810428,-0.609761158393603,-0.0736164536037054,-0.0545740251253596,-0.666059248700018,-0.0697671100641439,"herb","Perennial",-0.521058073351849,9
"Anchusa azurea","Hermaphrodite","self_incompatible","none",0.107376195326636,"Tube","actinomorphic",-0.22805594639189,-0.133862834708536,0.196406769759188,-0.20330601889184,-0.174315483564826,-0.224675064280933,-0.12716988842567,"herb","Perennial",-0.339847858110652,5
"Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",1.28613554576736,"Campanulate","actinomorphic",-0.134019602251772,-0.141353068745983,-0.477271164630331,-0.552470233129124,-0.407811327521786,-0.450884458795714,-0.101458227284569,"shrub","Perennial",-0.484816030303609,4
"Androsace spinulifera","Hermaphrodite","self_compatible","none",0.132440649938216,"Tube","actinomorphic",-0.209248677563866,-0.0714442177298152,-0.117976266289254,-0.328007523976584,-0.473669129663493,-0.39019413343809,-0.0982928888392216,"herb","Perennial",-0.525407118517637,10
"Andryala integrifolia","Hermaphrodite","self_incompatible","none",-0.154501431439967,"Capitulum","actinomorphic",-0.231817400157494,-0.138856324066834,-0.600778785935076,-0.0536642127901463,-0.41379840044376,0.38222818929531,-0.0847157502624579,"herb","Perennial",-0.452923032421159,9
"Anemone demissa","Hermaphrodite","self_compatible","none",0.0154371710876657,"Open","actinomorphic",-0.232444309118428,-0.158830281500024,2.44199988439092,1.81685836348102,-0.407811327521786,-0.511574784153338,-0.128963725249467,"herb","Perennial",-0.489165075469398,10
"Anemone hepatica","Hermaphrodite","partially_self_compatible","low",0.0853522338911548,"Open","actinomorphic",-0.232444309118428,-0.16881726021662,-0.364991508898744,0.47008210856578,-0.59341058810296,-0.500540179542861,-0.120592486738411,"herb","Perennial",-0.55005170779044,4
"Anemone rivularis","Hermaphrodite","self_compatible","medium",0.38654924765072,"Open","actinomorphic",-0.231817400157494,-0.16881726021662,-0.477271164630331,0.220679098396291,-0.353927671224026,-0.610886225647633,-0.0697671100641439,"herb","Perennial",-0.354344675329948,2
"Anemone rupestris","Hermaphrodite","self_compatible","none",0.109321413965949,"Open","actinomorphic",-0.232444309118428,-0.16881726021662,-0.364991508898744,0.47008210856578,-0.228199139862586,-0.335021110385704,-0.128963725249467,"herb","Perennial",-0.441325578645722,10
"Anemonella thalictroides","Hermaphrodite","self_incompatible","none",-0.0731697010201487,"Open","actinomorphic",-0.232444309118428,-0.16881726021662,-0.510955061349807,0.145858195345445,-0.353927671224026,-0.666059248700018,-0.128963725249467,"herb","Perennial",-0.528306481961496,9
"Anethum graveolens","Hermaphrodite","self_compatible","none",-0.102435122460895,"Open","actinomorphic",-0.0337141685023125,3.82347748174237,0.196406769759188,-0.727052340247766,-0.587423515180986,-0.666059248700018,-0.128365779641535,"herb","Short lived",-0.368841492549244,3
"Angelica archangelica","Hermaphrodite","partially_self_compatible","none",-0.322473195485648,"Open","actinomorphic",0.0164385483724171,4.8221753534019,1.31920332707505,-0.552470233129124,-0.623345952712826,-0.555713202595247,-0.128365779641535,"herb","Perennial",-0.339847858110652,4
"Angelica polymorpha","Hermaphrodite","self_compatible","none",-0.164379096625668,"Open","actinomorphic",-0.108943243814407,2.32543067425307,0.196406769759188,-0.727052340247766,-0.59341058810296,-0.666059248700018,-0.128365779641535,"herb","Perennial",-0.383338309768539,10
"Angelica pubescens","Hermaphrodite","self_compatible","none",-0.219672601353553,"Open","actinomorphic",-0.0337141685023125,3.82347748174237,0.196406769759188,-0.727052340247766,-0.59341058810296,-0.666059248700018,-0.125973997209804,"herb","Perennial",-0.151389234259808,10
"Angelica sylvestris","Hermaphrodite","self_compatible","none",-0.299114859914902,"Open","actinomorphic",-0.0462523477209949,3.57380301382748,3.00339816304885,-0.552470233129124,-0.623345952712826,-0.555713202595247,-0.128365779641535,"herb","Perennial",-0.0789051481633296,10
"Anisotome aromatica","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.209248677563866,0.328034930933998,-0.589550820361918,-0.51176252744202,-0.661940589106095,-0.666059248700018,-0.128365779641535,"herb","Perennial",-0.513809664742201,6
"Anisotome flexuosa","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.171634139907819,-0.156333536820876,-0.589550820361918,-0.56120729419466,-0.713191125098187,-0.666059248700018,-0.128365779641535,"shrub","Perennial",-0.513809664742201,6
"Antennaria alpina","Monoecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.233698127040297,-0.158830281500024,-0.724286407239821,-0.727052340247766,-0.362908280606986,-0.169502041228547,-0.0936849343814462,"herb","Perennial",-0.557300116400088,6
"Antennaria plantaginifolia","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.232444309118428,-0.133862834708536,-0.227561210283283,-0.477649330078277,-0.407811327521786,-0.169502041228547,-0.0936849343814462,"herb","Perennial",-0.539903935736933,6
"Anthemis cotula","Hermaphrodite","partially_self_compatible","low",0.0894035297948115,"Capitulum","actinomorphic",-0.233071218079363,-0.16881726021662,-0.454815233484014,-0.627291136179971,-0.0845093897352263,-0.39019413343809,-0.0607979259451555,"herb","Short lived",-0.484816030303609,3
"Anthriscus sylvestris","Monoecious","self_compatible","medium",-0.0329651362125444,"Open","zygomorphic",-0.134019602251772,1.8260817384233,-0.623234717081393,-0.552470233129124,-0.0521419866747496,-0.610886225647633,-0.128365779641535,"herb","Perennial",-0.325351040891357,14
"Antidesma japonicum","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",-0.108943243814407,-0.0964116645213036,-0.701830476093504,-0.714582189739292,-0.578442905798026,-0.666059248700018,-0.128903930688674,"shrub","Perennial",0.863387971090891,6
"Antidesma madagascariense","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",0.392583924932889,-0.0464767709383269,-0.701830476093504,-0.677171738213868,-0.533539858883226,-0.666059248700018,-0.128365779641535,"tree","Perennial",2.05212698307314,6
"Antirhea borbonica","Hermaphrodite","self_compatible","none",0.0289528941997929,"Tube","actinomorphic",0.0164385483724171,-0.108895387917048,-0.701830476093504,-0.739522490756241,-0.347940598302053,-0.445367156490476,-0.128365779641535,"shrub","Perennial",0.573451626704977,12
"Aphloia theiformis","Hermaphrodite","dioecious","none",-0.763168589329107,"Brush","actinomorphic",0.0164385483724171,-0.156333536820876,0.870084704148707,0.220679098396291,-0.10845768142312,-0.710197667141927,-0.125973997209804,"tree","Perennial",0.863387971090891,6
"Apios americana","Hermaphrodite","partially_self_compatible","none",-1.11276124921035,"Open","zygomorphic",-0.171634139907819,-0.0839279411255594,0.196406769759188,-0.0736164536037054,0.0352320687042404,-0.599851621037156,-0.122685296366175,"herb","Perennial",0.283515282319063,14
"Apocynum cannabinum","Hermaphrodite","self_incompatible","none",-1.11276124921035,"Campanulate","actinomorphic",-0.134019602251772,0.0284255694361382,-0.364991508898744,-0.652231437196919,-0.46768205674152,-0.710197667141927,0.0665644885444795,"herb","Perennial",-0.223873320356287,9
"Aquilegia canadensis","Hermaphrodite","self_compatible","none",1.76591490476291,"Open","actinomorphic",-0.232444309118428,-0.16881726021662,-0.38520184693043,0.425189566735272,0.609991069213681,0.61395488611533,-0.0586453217565983,"herb","Perennial",-0.434077170036074,10
"Arabis alpina","Hermaphrodite","self_compatible","high",0.557514423285425,"Tube","actinomorphic",-0.232444309118428,-0.133862834708536,-0.0281525417039849,-0.323019463773194,-0.204250848174693,-0.688128457920973,-0.128066806837568,"herb","Perennial",-0.528306481961496,2
"Arachis microsperma","Hermaphrodite","self_compatible","high",0.820187473725844,"Papilionaceous","zygomorphic",-0.233698127040297,-0.16881726021662,-0.5670948892156,0.0211566902607003,3.02876852969091,3.69260957243845,-0.12716988842567,"herb","Perennial",-0.303544896536697,11
