"","Original_names","Visits","d","Id","Order","Family","Genus","Species","Breeding_system","Compatibility","Selfing","Selfing_quantitative","Flower_shape","Flower_symmetry","Flower_number","Flower_inflorescence","Floral_unit_width","Flower_width","Flower_length","Style_length","Ovule_number","Life_form","Life_span","Plant_height"
"248","Dillenia ferruginea",79,0.131012464499757,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.87965833333333,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12
"249","Dillenia ferruginea",182,0.223437327063526,"13_3_kaiser-bunbury_2011_seychelles_copolia","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.87965833333333,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12
"250","Dillenia ferruginea",119,0.122829278381373,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.87965833333333,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12
"251","Dillenia ferruginea",53,0.219840992440016,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.87965833333333,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12
"252","Dillenia suffruticosa",54,0.764096790358128,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,15,110,110,42.0065166666667,10,57.5,"shrub","Perennial",8
"253","Diospyros revaughanii",7,0.304941109620449,"14_1_kaiser-bunbury_2010_mauritius_control","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,119.5525,15,7.1,7,2,8,"tree","Perennial",10
"254","Diospyros revaughanii",71,0.312311405162743,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,119.5525,15,7.1,7,2,8,"tree","Perennial",10
"255","Diospyros seychellarum",46,0.120130907275318,"13_1_kaiser-bunbury_2011_seychelles_bernica","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,161.509523809524,15,5.12580000000001,5,2,8,"shrub","Perennial",5
"256","Diospyros seychellarum",16,0.222989669401941,"13_3_kaiser-bunbury_2011_seychelles_copolia","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,161.509523809524,15,5.12580000000001,5,2,8,"shrub","Perennial",5
"257","Diplotaxis virgata",6,0.875635937793766,"12_12_bartomeus_spain_2008_PinaresdeHinojos_unp","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,8,30,10,5,2,2,"herb","Short lived",0.65
"258","Diplotaxis virgata",7,0.886547514586549,"12_9_bartomeus_spain_2008_LaRocina_unp","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,8,30,10,5,2,2,"herb","Short lived",0.65
"259","Dipsacus asperoides",73,0.147062869647682,"5_1_fang_2008_china","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,75,25,4,10,10,1,"herb","Perennial",1
"260","Dipsacus chinensis",270,0.241457453989856,"5_1_fang_2008_china","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,80,30,5,12.5,10,1,"herb","Perennial",1
"261","Dodonaea viscosa",52,0.24952324059199,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,20,50,8,4,5,3,"shrub","Perennial",2.5
"262","Dodonaea viscosa",5,0.276023993759843,"14_2_kaiser-bunbury_2010_mauritius_restored","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,20,50,8,4,5,3,"shrub","Perennial",2.5
"263","Doratoxylon apetalum",8,0.444473590354175,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,250,10,2.5,1,0.1,6,"tree","Perennial",7.5
"264","Doratoxylon apetalum",11,0.282027667275955,"14_2_kaiser-bunbury_2010_mauritius_restored","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,250,10,2.5,1,0.1,6,"tree","Perennial",7.5
"265","Dorichnium pentaphylum",4,0.825593814860843,"1_3_bartomeus_spain_2008_medca_1_2","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",16.0756,"Tube","zygomorphic",2500,35,10,3.5,4.5,4,33,"herb","Perennial",0.3
"266","Dorichnium pentaphylum",5,0.863293538335245,"1_4_bartomeus_spain_2008_medca_2_3","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",16.0756,"Tube","zygomorphic",2500,35,10,3.5,4.5,4,33,"herb","Perennial",0.3
"267","Dracaena concinna",61,0.404332297863816,"8_2_olesen_2002_mauritius","Asparagales","Asparagaceae","Dracaena","Dracaena concinna","Hermaphrodite","self_compatible","low",11.3581125,"Open","actinomorphic",2000,1000,300,22.9373,14.0200833333333,14,4.5,"shrub","Perennial",2.5
"268","Dracaena reflexa",15,0.164332564128343,"11_1_kaiser-bunbury_2017_seychelles_bernica","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"269","Dracaena reflexa",50,0.733666313204991,"11_4_kaiser-bunbury_2017_seychelles_reserve","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"270","Dracaena reflexa",9,0.40141767971743,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"271","Dracaena reflexa",50,0.240867059985872,"14_1_kaiser-bunbury_2010_mauritius_control","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"272","Dracaena reflexa",40,0.184606726422183,"14_2_kaiser-bunbury_2010_mauritius_restored","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.9546625,"Tube","actinomorphic",1000,500,300,23.005,30,14,4.5,"tree","Perennial",1.5
"273","Dryas integrifolia",28,0.271688493774014,"7_1_lundgren_2005_greenland","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",13.83315,"Open","actinomorphic",50,1,25,25,9,4,30,"shrub","Perennial",0.1
"274","Dryas octopetala",55,0.371738066423973,"4_1_elberling_sweeden_1999","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,1,30,30,6,20,59.67,"shrub","Perennial",0.075
"275","Dubyaea bhotanica",114,0.16845659812126,"5_1_fang_2008_china","Asterales","Asteraceae","Dubyaea","Dubyaea bhotanica","Hermaphrodite","self_compatible","low",21.0027666666667,"Capitulum","actinomorphic",5,3,10.5,10.5,10,2.5,45,"herb","Perennial",0.3
"276","Echinopsis rhodotricha",5,0,"10_1_souza_2017_brazil_chaco","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,1,112,112,167,5.5,2203,"shrub","Perennial",0.2
"277","Echium plantagineum",7,0.921339043931295,"12_1_bartomeus_spain_2008_Aznalcazar_unp","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8
"278","Echium plantagineum",2,1,"12_10_bartomeus_spain_2008_Lasmulas_unp","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8
"279","Echium plantagineum",4,0.93339477160451,"12_8_bartomeus_spain_2008_LaCunya_unp","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8
"280","Embelia angustifolia",41,0.535517599748245,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Primulaceae","Embelia","Embelia angustifolia","Hermaphrodite","self_compatible","low",10.7516,"Open","actinomorphic",2000,30,50,4,2,1,1,"shrub","Perennial",2.40105
"281","Empetrum nigrum",2,1,"3_2_dupont_2009_denmark_ib","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,10,12,2,3,0.3,4.5,"shrub","Perennial",0.2
"282","Empetrum nigrum",3,1,"3_3_dupont_2009_denmark_so","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,10,12,2,3,0.3,4.5,"shrub","Perennial",0.2
"283","Epacris petrophila",37,0.48894056851294,"6_1_inouye_1988_australia","Ericales","Ericaceae","Epacris","Epacris petrophila","Hermaphrodite","partially_self_compatible","low",13.5553,"Open","actinomorphic",1500,15,25,3.8,1.55,0.45,77.5,"shrub","Perennial",0.45
"284","Epilobium gunnianum",3,0.346369160645502,"6_1_inouye_1988_australia","Myrtales","Onagraceae","Epilobium","Epilobium gunnianum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,5,11.5,11.5,2,7,593,"herb","Perennial",0.4
"285","Epilobium hirsutum",263,0.161472286709633,"18_1_bundgaard_2003_denmark","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,40,20,20,10,8,593,"herb","Perennial",1.375
"286","Epilobium latifolium",2,0.493733791650473,"7_1_lundgren_2005_greenland","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,15,135,45,7.5,6,593,"herb","Perennial",1.56
"287","Epilobium tibetanum",22,0.40555378505861,"5_1_fang_2008_china","Myrtales","Onagraceae","Epilobium","Epilobium tibetanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,1,18,18,11,3.15,593,"herb","Perennial",0.565
"288","Equium sabulicola",3,0.731208647694285,"1_2_bartomeus_spain_2008_fraop_1_2","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",19.44135,"Tube","zygomorphic",100,10,6,6,17,20,4,"herb","Short lived",0.75
"289","Erica scoparia",24,0.0253247259179835,"12_6_bartomeus_spain_2008_Elpozo_unp","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,100,10,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1
"290","Erica tetralix",2,1,"3_1_dupont_2009_denmark_hl","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1
"291","Erica tetralix",112,0.967418539655716,"3_2_dupont_2009_denmark_ib","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1
"292","Erica tetralix",2,1,"3_3_dupont_2009_denmark_so","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1
"293","Erica umbellata",9,0.341391821482529,"12_6_bartomeus_spain_2008_Elpozo_unp","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,10,13.5,4.4,4.8,5,77.5,"shrub","Perennial",0.6
"294","Erigenia bulbosa",206,0.515989077644108,"16_1_burkle_usa_2013","Apiales","Apiaceae","Erigenia","Erigenia bulbosa","Hermaphrodite","self_compatible","low",18.305175,"Open","actinomorphic",15,15,18,6.1,2.6,1.5,2,"herb","Perennial",0.15
"295","Eryngium campestre",4,0.199237558565868,"1_2_bartomeus_spain_2008_fraop_1_2","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,20,10,1.5,2.5,5,2,"herb","Perennial",0.3
"296","Eryngium campestre",14,0.584367623708796,"1_5_bartomeus_spain_2008_miqop_1_2","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,20,10,1.5,2.5,5,2,"herb","Perennial",0.3
"297","Eryngium campestre",10,0.506802177792809,"1_6_bartomeus_spain_2008_selop_1_2","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,20,10,1.5,2.5,5,2,"herb","Perennial",0.3
"298","Erythronium albidum",43,0.327116129415952,"16_1_burkle_usa_2013","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,1,25,25,24.1,19.1,34.7,"herb","Perennial",0.15
"299","Erythrospermum monticolum",11,0.315831836459576,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Achariaceae","Erythrospermum","Erythrospermum monticolum","Hermaphrodite","partially_self_compatible","low",7.01765,"Open","actinomorphic",5195.55856589147,40,30,5.81925,2.89230416666667,1,4,"tree","Perennial",4.5
"300","Erythroxylum macrocarpum",120,0.200151165883254,"14_1_kaiser-bunbury_2010_mauritius_control","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,6.5,3.2078375,1.4,3,"shrub","Perennial",4
"301","Erythroxylum macrocarpum",79,0.221770097934342,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,6.5,3.2078375,1.4,3,"shrub","Perennial",4
"302","Erythroxylum sechellarum",117,0.198310820262781,"11_1_kaiser-bunbury_2017_seychelles_bernica","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"303","Erythroxylum sechellarum",52,0.271178535779976,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"304","Erythroxylum sechellarum",74,0.202126629096071,"11_3_kaiser-bunbury_2017_seychelles_copolia","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"305","Erythroxylum sechellarum",103,0.203526643007402,"11_4_kaiser-bunbury_2017_seychelles_reserve","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"306","Erythroxylum sechellarum",118,0.26819576604224,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"307","Erythroxylum sechellarum",209,0.216808634877973,"11_6_kaiser-bunbury_2017_seychelles_salazie","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"308","Erythroxylum sechellarum",277,0.189186650508869,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"309","Erythroxylum sechellarum",148,0.194948775787975,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"310","Erythroxylum sechellarum",105,0.122879718346165,"13_1_kaiser-bunbury_2011_seychelles_bernica","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"311","Erythroxylum sechellarum",134,0.245051147143891,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"312","Erythroxylum sechellarum",126,0.209492550304485,"13_3_kaiser-bunbury_2011_seychelles_copolia","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"313","Erythroxylum sechellarum",70,0.216575337975889,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"314","Erythroxylum sechellarum",103,0.185203672061271,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"315","Erythroxylum sechellarum",125,0.187656291642406,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","Hermaphrodite","partially_self_compatible","low",5,"Open","actinomorphic",100,10,30,7.589,3.2,1.4,3,"shrub","Perennial",7.5
"316","Eugenia orbiculata",7,0.307804757186858,"14_2_kaiser-bunbury_2010_mauritius_restored","Myrtales","Myrtaceae","Eugenia","Eugenia orbiculata","Hermaphrodite","partially_self_compatible","low",8.58790833333334,"Open","actinomorphic",200,5,40,10,5.94675416666667,3.5,40,"tree","Perennial",4.5
"317","Euodia chapelieri",9,0.195475373359373,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,20,200,3,0.5,0.5,8,"tree","Perennial",15
"318","Euodia chapelieri",13,0.170392894721636,"14_2_kaiser-bunbury_2010_mauritius_restored","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,20,200,3,0.5,0.5,8,"tree","Perennial",15
"319","Euodia obtusifolia",6,0.160259746879818,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,200,3,0.5,0.5,8,"tree","Perennial",15
"320","Euodia obtusifolia",17,0.243401498619412,"14_2_kaiser-bunbury_2010_mauritius_restored","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,200,3,0.5,0.5,8,"tree","Perennial",15
"321","Euphorbia pyrifolia",18,0.225762341001432,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia pyrifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",75,30,60,9.47525,2.25,2,3,"shrub","Perennial",6.5
"322","Euphrasia collina",28,0.347323537176986,"6_1_inouye_1988_australia","Lamiales","Orobanchaceae","Euphrasia","Euphrasia collina","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",20,20,30,11,10.1,10,24,"herb","Perennial",0.325
"323","Euphrasia regelii",5,0.599374547305525,"5_1_fang_2008_china","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,5,20,6,7.5,5,39,"herb","Short lived",0.19
"324","Excoecaria benthamiana",43,0.326911563266977,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"325","Excoecaria benthamiana",16,0.407778713007288,"11_3_kaiser-bunbury_2017_seychelles_copolia","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"326","Excoecaria benthamiana",40,0.311691572167233,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"327","Excoecaria benthamiana",36,0.288637447400064,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"328","Excoecaria benthamiana",5,0.281307274679721,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"329","Excoecaria benthamiana",26,0.552038388319109,"13_3_kaiser-bunbury_2011_seychelles_copolia","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"330","Excoecaria benthamiana",23,0.297279166759219,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,20,10,2.2,2,1,3,"tree","Perennial",6
"331","Faujasiopsis flexuosa",50,0.212486208516193,"14_1_kaiser-bunbury_2010_mauritius_control","Asterales","Asteraceae","Faujasiopsis","Faujasiopsis flexuosa","Hermaphrodite","self_compatible","low",18.108,"Capitulum","actinomorphic",70,70,50,3.3,6.21892,6,40,"shrub","Perennial",1.5
"332","Faujasiopsis flexuosa",5,0.240591058508449,"14_2_kaiser-bunbury_2010_mauritius_restored","Asterales","Asteraceae","Faujasiopsis","Faujasiopsis flexuosa","Hermaphrodite","self_compatible","low",18.108,"Capitulum","actinomorphic",70,70,50,3.3,6.21892,6,40,"shrub","Perennial",1.5
"333","Filipendula ulmaria",12,0.435232736983262,"2_2_dicks_2002_england_hicklingbroad","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",600,600,150,6.5,0.5,1.25,2,"herb","Perennial",0.85
"334","Flagellaria indica",7,0.208206051591518,"14_1_kaiser-bunbury_2010_mauritius_control","Poales","Flagellariaceae","Flagellaria","Flagellaria indica","Hermaphrodite","self_compatible","low",11.727,"Campanulate","actinomorphic",150,150,50,2.5,2.1,1,3,"vine","Perennial",7.5
"335","Flagellaria indica",14,0.245829002428845,"14_2_kaiser-bunbury_2010_mauritius_restored","Poales","Flagellariaceae","Flagellaria","Flagellaria indica","Hermaphrodite","self_compatible","low",11.727,"Campanulate","actinomorphic",150,150,50,2.5,2.1,1,3,"vine","Perennial",7.5
"336","Freesia refracta",23,0.605080491009307,"8_1_olesen_2002_azores","Asparagales","Iridaceae","Freesia","Freesia refracta","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",30,6,150,31.1,26,10,4,"herb","Perennial",0.35
"337","Gaertnera petrinensis",11,0.325722016347677,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Gaertnera","Gaertnera petrinensis","Hermaphrodite","self_incompatible","low",10.8618,"Tube","actinomorphic",500,100,50,10,15,7.5,2,"shrub","Perennial",1.25
"338","Gaertnera psychotrioides/edentata",78,0.339758551079995,"14_1_kaiser-bunbury_2010_mauritius_control","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,100,50,10,12.5,12.5,2,"tree","Perennial",6.3
"339","Gaertnera psychotrioides/edentata",66,0.468724858772659,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,100,50,10,12.5,12.5,2,"tree","Perennial",6.3
"340","Gaertnera rotundifolia",22,0.464633190598533,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Gaertnera","Gaertnera rotundifolia","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,100,50,2.5,20,15.25,2,"shrub","Perennial",3.5
"341","Galactites tomentosa",4,0.744452067356354,"1_3_bartomeus_spain_2008_medca_1_2","Asterales","Asteraceae","Galactites","Galactites tomentosus","Hermaphrodite","self_compatible","low",17.663375,"Capitulum","actinomorphic",3,3,60,60,16.5,10,30,"herb","Short lived",0.275
"342","Galactites tomentosa",26,0.457217141801609,"1_4_bartomeus_spain_2008_medca_2_3","Asterales","Asteraceae","Galactites","Galactites tomentosus","Hermaphrodite","self_compatible","low",17.663375,"Capitulum","actinomorphic",3,3,60,60,16.5,10,30,"herb","Short lived",0.275
"343","Galeopsis bifida",157,0.434759148058771,"5_1_fang_2008_china","Lamiales","Lamiaceae","Galeopsis","Galeopsis bifida","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,15,20,7,13.5,10,4,"herb","Short lived",0.45
