"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"119","Saxifragales","Schoepfiaceae","Arjona","Species_all_Arjona longifolia","Hermaphrodite","self_incompatible","none",17.890472853616,"Tube","actinomorphic",100,20,7,7,14.5,13,81.3149296840157,"shrub","Perennial",0.4
"120","Caryophyllales","Plumbaginaceae","Armeria","Species_all_Armeria scabra","Hermaphrodite","self_compatible","none",20.1712856925163,"Campanulate","actinomorphic",500,60,20,5,6.1,5,5,"shrub","Perennial",0.175
"121","Caryophyllales","Plumbaginaceae","Armeria","Species_all_Armeria velutina","Hermaphrodite","self_compatible","none",20.2845971056698,"Open","actinomorphic",250,50,35,7,2,0.1,1,"herb","Perennial",0.4
"122","Asterales","Asteraceae","Arnica","Species_all_Arnica alpina","Hermaphrodite","self_incompatible","none",14.6605550148372,"Capitulum","actinomorphic",6,1,35,35,8.75,5.1,40,"herb","Perennial",0.175
"123","Asterales","Asteraceae","Arnica","Species_all_Arnica angustifolia","Hermaphrodite","self_incompatible","none",14.6902598456142,"Capitulum","actinomorphic",6,1,35,35,9.1,6,40,"herb","Perennial",0.175
"124","Asterales","Asteraceae","Arnica","Species_all_Arnica montana","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,1,50,7,14.041574524461,10,40,"herb","Perennial",0.4
"125","Asterales","Asteraceae","Arnoglossum","Species_all_Arnoglossum atriplicifolium","Hermaphrodite","self_incompatible","none",14.700060099916,"Capitulum","actinomorphic",300,300,9,9,24,8,4.5,"herb","Perennial",1.5
"126","Asterales","Asteraceae","Arnoglossum","Species_all_Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",14.7558674706346,"Capitulum","actinomorphic",200,200,15,15,10,9,6,"herb","Perennial",0.8
"127","Rosales","Rosaceae","Aronia","Species_all_Aronia melanocarpa","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,15,45,9.1,3.3,4,1.1,"shrub","Perennial",1.35
"128","Lamiales","Bignoniaceae","Arrabidaea","Species_all_Arrabidaea sp","Hermaphrodite","self_compatible","none",23.3047378424261,"Tube","actinomorphic",490.826644127693,50,200,33.4476719790906,29.4329306404243,30,1108.40730228732,"herb","Perennial",1.65737524694977
"129","Rosales","Rosaceae","Aruncus","Species_all_Aruncus dioicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",14000,7000,50,5,31.12,0.55,3,"herb","Perennial",1.15
"130","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias floridana","Hermaphrodite","self_incompatible","none",14.1967422622937,"Open","actinomorphic",2161.13839921539,64.4400288988974,42.3374076178147,17.1316801408985,9.97571052934721,5.52578164153827,100,"herb","Perennial",2.18615451914115
"131","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias viridiflora","Hermaphrodite","self_incompatible","none",14.1955383872047,"Open","actinomorphic",2161.96417129795,64.3406760285351,42.3151766234736,17.120623782039,9.96538746263202,5.5211007364128,75.1,"herb","Perennial",2.18634638442099
"132","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias incarnata","Hermaphrodite","self_incompatible","none",14.8072741696482,"Open","actinomorphic",3500,100,40,5.1,10,0.1,58,"herb","Perennial",1.05
"133","Gentianales","Apocynaceae","asclepias","Species_all_Asclepias purpurascens","Hermaphrodite","self_incompatible","low",16.7905880699945,"Open","actinomorphic",300,70,55,9,10,0.1,166,"herb","Perennial",0.5
"134","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias sullivantii","Hermaphrodite","self_incompatible","none",15.0128541872879,"Open","actinomorphic",250,60,40,2.4,5.8,0.1,60,"herb","Perennial",0.9
"135","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias syriaca","Hermaphrodite","self_incompatible","none",14.866677951982,"Open","actinomorphic",400,100,40,4.5,4.5,0.1,208,"herb","Perennial",1.35
"136","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias tuberosa","Hermaphrodite","self_incompatible","low",16.5514012036672,"Open","actinomorphic",1000,100,40,6.5,8,0.1,70,"herb","Perennial",0.45
"137","Gentianales","Apocynaceae","Asclepias","Species_all_Asclepias verticillata","Hermaphrodite","self_incompatible","low",16.6604305003945,"Open","actinomorphic",80,80,40,5.5,9,0.1,48,"herb","Perennial",0.3
"138","Asparagales","Asparagaceae","Asparagus","Species_all_Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2,2.6,2.6,4.5,0.5,5,"vine","Perennial",0.55
"139","Gentianales","Rubiaceae","Asperula","Species_all_Asperula gunnii","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,10,20,3,2.5,0.5,2,"herb","Perennial",0.1
"140","Asparagales","Asphodelaceae","Asphodelus","Species_all_Asphodelus fistulosus","Hermaphrodite","self_compatible","high",25.2777321212161,"Open","actinomorphic",500,50,20,8.5,1.5,5.5,6,"herb","Short lived",0.4
"141","Asterales","Asteraceae","Aster","Species_all_Aster ageratoides","Hermaphrodite","self_incompatible","none",14.782163952747,"Capitulum","actinomorphic",8,8,17.5,17.5,8,3,25,"herb","Perennial",0.75
