Class/order,Pollinator species ID,Pollinator species name,Family,Origin
Diptera,S77,Ornidia obesa,Syrphidae,introduced
Diptera,S90,Homoneura pulchrifrons,Lauxaniidae,endemic
Diptera,S92,Homoneura striata,Lauxaniidae,endemic
Diptera,T10,Bradysia ocellaris,Sciaridae,introduced
Diptera,T18,Pachycerina seychellensis,Lauxaniidae,endemic
Diptera,T50,Mycetophilidae sp1,Mycetophilidae,nd
Diptera,T9,Forcipomyia (Microhelea) amieuensis,Ceratopogonidae,nd
Hymenoptera,C14,Hasinamelissa sp,Apidae,nd
Hymenoptera,C20,Lasioglossum mahense,Halictidae,native
Hymenoptera,C32,Megachile seychellensis,Megachilidae,endemic
Hymenoptera,C51,Chalicodoma disjuncta,Apoidae,introduced
Hymenoptera,C68,Megachile laticeps,Megachilidae,native
Hymenoptera,C79,Eupetersia scotti,Halictidae,endemic
Hymenoptera,C82,Hymenoptera sp1,,nd
Hymenoptera,CB,Xylocopa caffra,Apidae,native
Hymenoptera,HB,Apis mellifera,Apidae,introduced
Hymenoptera,R107,Polemistus sp1,Crabronidae,nd
Hymenoptera,R72,Hymenoptera sp2,,nd
Hymenoptera,R75,Delta alluaudi,Vespidae,endemic
Hymenoptera,S09,Chalcidoidea sp1,Chalcidoidea,nd
Hymenoptera,S122,Platygastridae sp1,Platygastridae,nd
Hymenoptera,S125,Ceratina tabescens,Apidae,endemic
Hymenoptera,S19,Figitidae sp1,Figitidae,nd
Hymenoptera,S40,Chalybion madecassum,Sphecidae,native
Hymenoptera,S59,Inostemma close to soederlundi,Platygastridae,nd
Hymenoptera,S68,Figitidae sp2,Figitidae,nd
Hymenoptera,S78,Platygastridae sp2,Platygastridae,nd
Hymenoptera,S98,Hymenoptera sp4,,nd
Hymenoptera,T1,Rhopalum seychellense,Crabronidae,endemic
Hymenoptera,T15,Hymenoptera sp3,,nd
Hymenoptera,T54A,Rhynchium brunneum,Vespidae,introduced
Hymenoptera,YW,Polistes olivaceus,Vespidae,introduced
Lepidoptera,C60,Stictopterinae sp1,Noctuidae,nd
Lepidoptera,C64,Nola sp1,Noctuidae,nd
Lepidoptera,C65,Chrysauginae sp1,Pyralidae,nd
Lepidoptera,C66,Gracilodes sp1,Noctuidae,nd
Lepidoptera,C84,Eilema contorta,Arctiidae,nd
Lepidoptera,C86,Eilema sp1,Arctiidae,nd
Lepidoptera,CEP,Cephonodes tamsi,Sphingidae,nd
Lepidoptera,HM,Agrius convolvuli,Sphingidae,nd
Lepidoptera,HYP,Hypolimnas misippus,Nymphalidae,nd
Lepidoptera,P67,Pyralidae sp1,Pyralidae,nd
Lepidoptera,R73,Celama sp1,Noctuidae,nd
Lepidoptera,R79,Endotricha mesenterialis mahensis,Pyralidae,endemic
Lepidoptera,R96,Herpetogramma sp1,Crambidae,nd
Lepidoptera,R97,Hypenodinae sp1,Noctuidae,nd
Lepidoptera,R98,Noctuidae sp1,Noctuidae,nd
Lepidoptera,S102,Leptotes pirithous,Lycaenidae,nd
Lepidoptera,S131,Noctuidae sp2,Noctuidae,nd
Squamata,HD,Hemidactylus frenatus,Gekkonidae,introduced
Squamata,PA,Phelsuma sp,Gekkonidae,endemic
Squamata,SK,Mabuya seychellensis,Scincidae,endemic
