Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Commelinales,Asteraceae,Lactuca,Lactuca indica,Lactuca indica,,,,,,,,,,,,,,,,,,,,,
Asterales,Amaryllidaceae,Allium,Allium macrostemon,Alium grayi,,,,,,,,,,,,,,,,,,,,,
Asparagales,Asteraceae,Cirsium,Cirsium sieboldii,Cirsium sieboldii,,,,,,,,,,,,,,,,,,,,,
Asterales,Onagraceae,Ludwigia,Ludwigia epilobioides,Ludwigia epilobioides,,,,,,,,,,,,,,,,,,,,,
Myrtales,Fabaceae,Aeschynomene,Aeschynomene indica,Aeschynomene indica,,,,,,,,,,,,,,,,,,,,,
Fabales,Linderniaceae,Lindernia,Lindernia procumbens,Lindernia procumbens,,,,,,,,,,,,,,,,,,,,,
Lamiales,Hypericaceae,Hypericum,Hypericum erectum,Hypericum erectum,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Rosaceae,Rosa,Rosa multiflora,Rosa multtlflora,,,,,,,,,,,,,,,,,,,,,
Rosales,Myrtaceae,Leptospermum,Leptospermum scoparium,Leptospermum scoparium,,,,,,,,,,,,,,,,,,,,,
Myrtales,Plantaginaceae,Veronica,Veronica subalpina,Hebe subalpina,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Raoulia,Raoulia grandiflora,Raoulia grandiflora,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Celmisia,Celmisia verbascifolia,Celmisia petiolata,,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Veronica,Veronica pinguifolia,Hebe pinguifolia,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Hieracium,Hieracium praealtum,Hieracium praealtum,,,,,,,,,,,,,,,,,,,,,
Asterales,Rubiaceae,Galium,Galium propinquum,Galium propinquum,,,,,,,,,,,,,,,,,,,,,
Gentianales,Ericaceae,Dracophyllum,Dracophyllum pronum,Dracophyllum pronum,,,,,,,,,,,,,,,,,,,,,
Ericales,Campanulaceae,Pratia,Pratia angulata,Pratia angulata,,,,,,,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Lobelia,Lobelia macrodon,Pratia macrodon,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,Ozothamnus leptophyllus,Cassinia vauvilliersii,,,,,,,,,,,,,,,,,,,,,
Asterales,Orobanchaceae,Euphrasia,Euphrasia revoluta,Euphrasia revoluta,,,,,,,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Veronica,Veronica epacridea,Hebe epacridea,,,,,,,,,,,,,,,,,,,,,
Lamiales,Stylidiaceae,Donatia,Donatia novae-zelandiae,Donatia novae-zelandiae,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Celmisia,Celmisia discolor,Celmisia discolor,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Epilobium sp1 M PL 029,,,,,,,,,,,,,,,,,,,,
NA,Campanulaceae,Wahlenbergia,Wahlenbergia albomarginata,Wahlenbergia albomarginata,,,,,,,,,,,,,,,,,,,,,
Asterales,Thymelaeaceae,Drapetes,Drapetes dieffenbachii,Drapetes dieffenbachii,,,,,,,,,,,,,,,,,,,,,
Malvales,Violaceae,Viola,Viola cunninghamii,Viola cunninghamii,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Thymelaeaceae,Pimelea,Pimelea traversii,Pimelea traversii,,,,,,,,,,,,,,,,,,,,,
Malvales,Asteraceae,Helichrysum,Helichrysum selago,Helichrysum selago,,,,,,,,,,,,,,,,,,,,,
Asterales,Stylidiaceae,Phyllachne,Phyllachne colensoi,Phyllachne colensoi,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Brachyscome,Brachyscome sinclairii,Brachycome sinlcairii,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raoulia,Raoulia subsericea,Raoulia subsericea,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Leptinella,Leptinella pyrethrifolia,Cotula pyrethrifolia,,,,,,,,,,,,,,,,,,,,,
Asterales,Polygonaceae,Muehlenbeckia,Muehlenbeckia axillaris,Muehlenbeckia axillaris,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Asteraceae,Hypochaeris,Hypochaeris radicata,Hypochaeris radicata,,,,,,,,,,,,,,,,,,,,,
Asterales,Apiaceae,Aciphylla,Aciphylla scott-thomsonii,Aciphylla scott-thompsoni,,,,,,,,,,,,,,,,,,,,,
Apiales,Rubiaceae,Galium,Galium perpusillum,Galium perpusillum,,,,,,,,,,,,,,,,,,,,,
Gentianales,Asteraceae,Craspedia,Craspedia uniflora,Craspedia uniflora,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Celmisia,Celmisia spectabilis,Celmisia spectabilis,,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Ourisia,Ourisia caespitosa,Ourisia caespitosa,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Celmisia,Celmisia laricifolia,Celmisia laricifolia,,,,,,,,,,,,,,,,,,,,,
Asterales,Orobanchaceae,Euphrasia,Euphrasia zelandica,Euphrasia zelandica,,,,,,,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Veronica,Veronica odora,Hebe odora,,,,,,,,,,,,,,,,,,,,,
Lamiales,Apiaceae,Anisotome,Anisotome aromatica,Anisotome aromatica,,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Anaphalioides,Anaphalioides bellidioides,Helichrysum bellidioides,,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Veronica,Veronica decora,Parahebe decora,,,,,,,,,,,,,,,,,,,,,
Lamiales,Ranunculaceae,Ranunculus,Ranunculus enysii,Ranunculus enysii,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Asteraceae,Leucogenes,Leucogenes grandiceps,Leucogenes grandiceps,,,,,,,,,,,,,,,,,,,,,
Asterales,Rosaceae,Geum,Geum uniflorum,Geum uniflorum,,,,,,,,,,,,,,,,,,,,,
Rosales,Asteraceae,Celmisia,Celmisia sessiliflora,Celmisia sessiliflora,,,,,,,,,,,,,,,,,,,,,
Asterales,Gentianaceae,Gentianella,Gentianella montana,Gentiana montana,,,,,,,,,,,,,,,,,,,,,
Gentianales,Asteraceae,Celmisia,Celmisia gracilenta,Celmisia gracilenta,,,,,,,,,,,,,,,,,,,,,
Asterales,Apiaceae,Anisotome,Anisotome flexuosa,Anisotome flexuosus,,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Celmisia,Celmisia lyallii,Celmisia lyalii,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Dolichoglottis,Dolichoglottis scorzoneroides,Senecio scorzoneroides,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Celmisia,Celmisia coriacea,Celmisia coriacea,,,,,,,,,,,,,,,,,,,,,
Asterales,Malvaceae,Hoheria,Hoheria glabrata,Hoheria glabrata,,,,,,,,,,,,,,,,,,,,,
Malvales,Asteraceae,Brachyglottis,Brachyglottis bidwillii,Senecio bidwilli,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,Ozothamnus leptophyllus,Cassinia vauvilliersi,,,,,,,,,,,,,,,,,,,,,
Asterales,Gentianaceae,Gentianella,Gentianella corymbifera,Gentiana corymbifera,,,,,,,,,,,,,,,,,,,,,
Gentianales,Asteraceae,Brachyglottis,Brachyglottis bellidioides,Senecio bellidioides,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Celmisia,Celmisia armstrongii,Celmisia armstrongii,,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Parahebe,Parahebe lyallii,Parahebe lyalii,,,,,,,,,,,,,,,,,,,,,
Lamiales,Ranunculaceae,Ranunculus,Ranunculus lyallii,Ranunculus lyalii,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Plantaginaceae,Ourisia,Ourisia macrocarpa,Ourisia macrocarpa,,,,,,,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Veronica,Veronica salicifolia,Hebe salicifolia,,,,,,,,,,,,,,,,,,,,,
Lamiales,Boraginaceae,Echium,Echium vulgare,Echium vulgare,,,,,,,,,,,,,,,,,,,,,
Boraginales,Ericaceae,Dracophyllum,Dracophyllum acerosum,Dracuphyllum acerosum,,,,,,,,,,,,,,,,,,,,,
Ericales,Argophyllaceae,Corokia,Corokia cotoneaster,Corokia cotoneaster,,,,,,,,,,,,,,,,,,,,,
Asterales,Rhamnaceae,Discaria,Discaria toumatou,Discaria toumatou,,,,,,,,,,,,,,,,,,,,,
Rosales,Apiaceae,Aciphylla,Aciphylla subflabellata,Aciphylla subflavellata,,,,,,,,,,,,,,,,,,,,,
Apiales,Plantaginaceae,Veronica,Veronica brachysiphon,Hebe brachysiphon,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Olearia,Olearia virgata,Olearia virgata,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,Ozothamnus leptophyllus,Cassinia fulvida,,,,,,,,,,,,,,,,,,,,,
Asterales,Polygonaceae,Muehlenbeckia,Muehlenbeckia complexa,Muehlenbeckia complexa,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Fabaceae,Carmichaelia,Carmichaelia angustata,Carmichaelia angusta,,,,,,,,,,,,,,,,,,,,,
Fabales,Thymelaeaceae,Pimelea,Pimelea sericeovillosa,Pimelea sericeo-villosa,,,,,,,,,,,,,,,,,,,,,
Malvales,Rosaceae,Rosa,Rosa eglanteria,Rosa rubiginosa,,,,,,,,,,,,,,,,,,,,,
Rosales,Campanulaceae,Isotoma,Isotoma fluviatilis,Isotoma fluviatilis,,,,,,,,,,,,,,,,,,,,,
Asterales,Rosaceae,Potentilla,Potentilla anserina,Potentilla anserina,,,,,,,,,,,,,,,,,,,,,
Rosales,Asteraceae,Raoulia,Raoulia australis,Raoulia lutescens,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raoulia,Raoulia mammillaris,Raoulia mammilaris,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Epilobium sp1 M PL 028,,,,,,,,,,,,,,,,,,,,
NA,Scrophulariaceae,Verbascum,Verbascum thapsus,Verbascum thapsis,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Brachyscome,Brachyscome sinclairii,Brachyome sinclairii,,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Lupinus,Lupinus polyphyllus,Lupinus polyphyllus,,,,,,,,,,,,,,,,,,,,,
Fabales,Plantaginaceae,Digitalis,Digitalis purpurea,Digitalis purpurea,,,,,,,,,,,,,,,,,,,,,
Lamiales,Linaceae,Linum,Linum catharticum,Linum catharticum,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Asteraceae,Jacobaea,Jacobaea vulgaris,Senecio jacobea,,,,,,,,,,,,,,,,,,,,,
Asterales,Onagraceae,Epilobium,Epilobium montanum,Epilobium montanum,,,,,,,,,,,,,,,,,,,,,
Myrtales,Asteraceae,Tripleurospermum,Tripleurospermum inodorum,Tripleurospermum inodorum,,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Vicia,Vicia hirsuta,Vicia hirsuta,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Melilotus,Melilotus albus,Melilotus albus,,,,,,,,,,,,,,,,,,,,,
Fabales,Lamiaceae,Stachys,Stachys sylvatica,Stachys sylvatica,,,,,,,,,,,,,,,,,,,,,
Lamiales,Apiaceae,Chaerophyllum,Chaerophyllum temulum,Chaerophyllum temulentum,,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Leucanthemum,Leucanthemum maximum,Chrysanthemum maximum,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Tanacetum,Tanacetum vulgare,Tanacetum vulgare,,,,,,,,,,,,,,,,,,,,,
Asterales,Apiaceae,Daucus,Daucus carota,Daucus carota,,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Lapsana,Lapsana communis,Lapsana communis,,,,,,,,,,,,,,,,,,,,,
Asterales,Ranunculaceae,Ranunculus,Ranunculus repens,Ranunculus repens,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Apiaceae,Aegopodium,Aegopodium podagraria,Aegopodium podagraria,,,,,,,,,,,,,,,,,,,,,
Apiales,Caryophyllaceae,Cerastium,Cerastium glomeratum,Cerastium glomeratum,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Hypericaceae,Hypericum,Hypericum perforatum,Hypericum perforatum,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Asteraceae,Sonchus,Sonchus palustris,Sonchus palustris,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Sonchus,Sonchus arvensis,Sonchus arvensis,,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Veronica,Veronica agrestis,Veronica agrestis,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Eupatorium,Eupatorium cannabinum,Eupatorium cannabinum,,,,,,,,,,,,,,,,,,,,,
Asterales,Amaryllidaceae,Allium,Allium scorodoprasum,Allium scorodoprasum,,,,,,,,,,,,,,,,,,,,,
Asparagales,Juncaceae,Juncus,Juncus effusus,Juncus effusus,,,,,,,,,,,,,,,,,,,,,
Poales,Convolvulaceae,Calystegia,Calystegia sepium,Calystegia sepium,,,,,,,,,,,,,,,,,,,,,
Solanales,Amaryllidaceae,Allium,Allium lusitanicum,Allium lusitanicum,,,,,,,,,,,,,,,,,,,,,
Asparagales,Orobanchaceae,Euphrasia,Euphrasia officinalis,Euphrasia officinalis,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Carduus,Carduus defloratus,Carduus defloratus,,,,,,,,,,,,,,,,,,,,,
Asterales,Caprifoliaceae,Scabiosa,Scabiosa lucida,Scabiosa lucida,,,,,,,,,,,,,,,,,,,,,
Dipsacales,Apiaceae,Ligusticum,Ligusticum mutellina,Ligusticum mutellina,,,,,,,,,,,,,,,,,,,,,
Apiales,Ranunculaceae,Ranunculus,Ranunculus montanus,Ranunculus montanus,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Asteraceae,Jacobaea,Jacobaea abrotanifolia,Senecio abrotanifolius,,,,,,,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Campanula,Campanula scheuchzeri,Campanula scheuchzeri,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Leontodon,Leontodon hispidus,Leontodon hispidus,,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Anthyllis,Anthyllis vulneraria,Anthyllis vulneraria,,,,,,,,,,,,,,,,,,,,,
Fabales,Campanulaceae,Phyteuma,Phyteuma orbiculare,Phyteuma orbiculare,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Buphthalmum,Buphthalmum salicifolium,Buphthalmum salicifolium,,,,,,,,,,,,,,,,,,,,,
Asterales,Cistaceae,Helianthemum,Helianthemum nummularium,Helianthemum nummularium,,,,,,,,,,,,,,,,,,,,,
Malvales,Lamiaceae,Stachys,Stachys alopecuros,Betonica alopecuros,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Aster,Aster bellidiastrum,Aster bellidiastrum,,,,,,,,,,,,,,,,,,,,,
Asterales,Primulaceae,Primula,Primula farinosa,Primula farinosa,,,,,,,,,,,,,,,,,,,,,
Ericales,Apiaceae,Heracleum,Heracleum austriacum,Heracleum austriacum,,,,,,,,,,,,,,,,,,,,,
Apiales,Gentianaceae,Gentianella,Gentianella aspera,Gentianella aspera,,,,,,,,,,,,,,,,,,,,,
Gentianales,Asteraceae,Achillea,Achillea clavennae,Achillea clavennae,,,,,,,,,,,,,,,,,,,,,
Asterales,Apiaceae,Chaerophyllum,Chaerophyllum hirsutum,Chaerophyllum hirsutum,,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Hieracium,Hieracium piliferum,glanduliferum,Hieracium glanduliferum,,,,,,,,,,,,,,,,,,,,
Asterales,Brassicaceae,Biscutella,Biscutella laevigata,Biscutella laevigata,,,,,,,,,,,,,,,,,,,,,
Brassicales,Asteraceae,Erigeron,Erigeron glabratus,Erigeron glabratus,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Hieracium sp 2,,,,,,,,,,,,,,,,,,,,
NA,Rosaceae,Potentilla,Potentilla aurea,Potentilla aurea,,,,,,,,,,,,,,,,,,,,,
Rosales,Geraniaceae,Geranium,Geranium sylvaticum,Geranium sylvaticum,,,,,,,,,,,,,,,,,,,,,
Geraniales,NA,NA,NA,,Hieracium sp 3,,,,,,,,,,,,,,,,,,,,
NA,Hypericaceae,Hypericum,Hypericum maculatum,Hypericum maculatum,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Orobanchaceae,Rhinanthus,Rhinanthus glacialis,Rhinanthus glacialis,,,,,,,,,,,,,,,,,,,,,
Lamiales,Caryophyllaceae,Gypsophila,Gypsophila repens,Gypsophila repens,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Primulaceae,Androsace,Androsace chamaejasme,Androsace chamaejasme,,,,,,,,,,,,,,,,,,,,,
Ericales,Rubiaceae,Galium,Galium album,Galium album,,,,,,,,,,,,,,,,,,,,,
Gentianales,Plantaginaceae,Plantago,Plantago media,Plantago media,,,,,,,,,,,,,,,,,,,,,
Lamiales,Primulaceae,Primula,Primula auricula,Primula auricula,,,,,,,,,,,,,,,,,,,,,
Ericales,Asteraceae,Crepis,Crepis aurea,Crepis aurea,,,,,,,,,,,,,,,,,,,,,
Asterales,Lamiaceae,Clinopodium,Clinopodium alpinum,Acinos alpinus,,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Hieracium,Hieracium pilosum,Hieracium pilosum,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Carlina,Carlina acaulis,Carlina acaulis,,,,,,,,,,,,,,,,,,,,,
Asterales,Boraginaceae,Myosotis,Myosotis alpestris,Myosotis alpestris,,,,,,,,,,,,,,,,,,,,,
Boraginales,Asteraceae,Leontopodium,Leontopodium alpinum,Leontopodium alpinum,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Hieracium sp 4,,,,,,,,,,,,,,,,,,,,
NA,Caryophyllaceae,Silene,Silene taimyrensis,Melandrium triflorum,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Caryophyllaceae,Cerastium,Cerastium arcticum,Cerastium arcticum,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Brassicaceae,Draba,Draba arctica,Draba arctica,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Cochlearia,Cochlearia groenlandica,Cochlearia groenlandica,,,,,,,,,,,,,,,,,,,,,
Brassicales,Rosaceae,Potentilla,Potentilla hyparctica,Potentilla hyparctica,,,,,,,,,,,,,,,,,,,,,
Rosales,Plumbaginaceae,Armeria,Armeria scabra,Armeria scabra,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Saxifragaceae,Micranthes,Micranthes nivalis,Saxifraga nivalis,,,,,,,,,,,,,,,,,,,,,
Saxifragales,Brassicaceae,Draba,Draba lactea,Draba lactea,,,,,,,,,,,,,,,,,,,,,
Brassicales,Caryophyllaceae,Arenaria,Arenaria pseudofrigida,Arenaria pseudofrigida,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Asteraceae,Taraxacum,Taraxacum phymatocarpum,Taraxacum phymatocarpum,,,,,,,,,,,,,,,,,,,,,
Asterales,Saxifragaceae,Saxifraga,Saxifraga cernua,Saxifraga cernua,,,,,,,,,,,,,,,,,,,,,
Saxifragales,Orobanchaceae,Pedicularis,Pedicularis hirsuta,Pedicularis hirsuta,,,,,,,,,,,,,,,,,,,,,
Lamiales,Ranunculaceae,Ranunculus,Ranunculus sulphureus,Ranunculus sulphureus,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Asteraceae,Arnica,Arnica angustifolia,Arnica angustifolia,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Dryas sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Papaver sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Epilobium sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Salix sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Potentilla sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,Caryophyllaceae,Silene,Silene taimyrensis,Lychnis triflora,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Brassicaceae,Draba,Draba bellii,,Draba bellii,,,,,,,,,,,,,,,,,,,,
Brassicales,NA,NA,NA,,Braya sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Stellaria sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Erysimum sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Saxifraga sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Pedicularis sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Taraxacum sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,Saxifragaceae,Saxifraga,Saxifraga flagellaris,Saxifraga flagellaris,,,,,,,,,,,,,,,,,,,,,
Saxifragales,NA,NA,NA,,Arnica sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Erigeron sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,Brassicaceae,Draba,Draba oblongata,Draba oblongata,,,,,,,,,,,,,,,,,,,,,
Brassicales,NA,NA,NA,,Silene sp1 M PL 014,,,,,,,,,,,,,,,,,,,,
NA,Brassicaceae,Draba,Draba cinerea,Draba cinerea,,,,,,,,,,,,,,,,,,,,,
Brassicales,Salicaceae,Salix,Salix glauca,,Salix glauca,,,,,,,,,,,,,,,,,,,,
Malpighiales,Orobanchaceae,Pedicularis,Pedicularis lapponica,Pedicularis lapponica,,,,,,,,,,,,,,,,,,,,,
Lamiales,Caryophyllaceae,Stellaria,Stellaria longipes,Stellaria longiceps,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Saxifragaceae,Saxifraga,Saxifraga tricuspidata,Saxifraga triscupidata,,,,,,,,,,,,,,,,,,,,,
Saxifragales,Tofieldiaceae,Tofieldia,Tofieldia pusilla,Tofieldia pusilla,,,,,,,,,,,,,,,,,,,,,
Alismatales,Fabaceae,Astragalus,Astragalus agrestis,Astragalus agrestis,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Dalea,Dalea purpurea,NA,Dalea purpurea,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Symphyotrichum,Symphyotrichum laeve,Symphyotrichum laeve,,,,,,,,,,,,,,,,,,,,,
Asterales,Caprifoliaceae,Symphoricarpos,Symphoricarpos occidentalis,Symphoricarpos occidentalis,,,,,,,,,,,,,,,,,,,,,
Dipsacales,Fabaceae,Dalea,Dalea villosa,Dalea villosa,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Amorpha,Amorpha nana,Amorpha nana,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Vicia,Vicia americana,Vicia americana,,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Symphyotrichum,Symphyotrichum ciliolatum,Symphyotrichum ciliolatus,,,,,,,,,,,,,,,,,,,,,
Asterales,Rosaceae,Rosa,Rosa arkansana,Rosa arkansana,,,,,,,,,,,,,,,,,,,,,
Rosales,Fabaceae,Pediomelum,Pediomelum argophyllum,Pediomelum argophyllum,,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides,Symphyotrichum ericoides,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum sericeum,Symphyotrichum sericeum,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Erigeron,Erigeron glabellus,Erigeron glabellus,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Heterotheca,Heterotheca villosa,Heterothe cavillosa,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Liatris,Liatris ligulistylis,Liatris ligulistylis,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,Solidago ptarmicoides,Solidago ptarmicoides,,,,,,,,,,,,,,,,,,,,,
Asterales,Apiaceae,Zizia,Zizia aptera,,Zizia aptera,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Helianthus,Helianthus pauciflorus,subrhomboideus,Helianthus subrhomboideus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Helianthus,Helianthus maximiliani,Helianthus maximilianii,,,,,,,,,,,,,,,,,,,,,
Asterales,Rubiaceae,Palicourea,Palicourea coriacea,Palicourea coriacea,,,,,,,,,,,,,,,,,,,,,
Gentianales,Euphorbiaceae,Manihot,Manihot tripartita,Manihot tripartita,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Rubiaceae,Galianthe,Galianthe lanceifolia,Galianthe lanceifolia,,,,,,,,,,,,,,,,,,,,,
Gentianales,Asteraceae,Erechtites,Erechtites hieraciifolius,Erechtites hieraciifolius,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Achyrocline,Achyrocline satureioides,Achyrocline satureioides,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Spermacoce sp 2,,,,,,,,,,,,,,,,,,,,
NA,Malvaceae,Eriotheca,Eriotheca gracilipes,Eriotheca gracilipes,,,,,,,,,,,,,,,,,,,,,
Malvales,Araliaceae,Schefflera,Schefflera vinosa,Schefflera vinosa,,,,,,,,,,,,,,,,,,,,,
Apiales,NA,NA,NA,,Croton sp1,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,,Ipomoea sp1,,,,,,,,,,,,,,,,,,,,
NA,Oxalidaceae,Oxalis,Oxalis sellowii,Oxalis sellowii,,,,,,,,,,,,,,,,,,,,,
Oxalidales,Erythroxylaceae,Erythroxylum,Erythroxylum suberosum,Erythroxylum suberosum,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Iridaceae,Sisyrinchium,Sisyrinchium vaginatum,Sisyrinchium vaginatum,,,,,,,,,,,,,,,,,,,,,
Asparagales,Lamiaceae,Hyptis,Hyptis ferruginosa,Hyptis ferruginosa,,,,,,,,,,,,,,,,,,,,,
Lamiales,Lamiaceae,Salvia,Salvia cerradicola,Salvia cerradicola,,,,,,,,,,,,,,,,,,,,,
Lamiales,Euphorbiaceae,Croton,Croton megaponticus,Croton megaponticus,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Asteraceae,Chromolaena,Chromolaena squalida,Chromolaena squalida,,,,,,,,,,,,,,,,,,,,,
Asterales,Arecaceae,Allagoptera,Allagoptera campestris,Allagoptera campestris,,,,,,,,,,,,,,,,,,,,,
Arecales,Asteraceae,Lessingianthus,Lessingianthus venosissimus,Lessingianthus venosissimus,,,,,,,,,,,,,,,,,,,,,
Asterales,NA,NA,NA,,Chromolaena sp 1,,,,,,,,,,,,,,,,,,,,
NA,Asteraceae,Mikania,Mikania cordifolia,Mikania cordifolia,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Conyza,Conyza bonariensis,Conyza bonariensis,,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Galactia,Galactia martii,Galactia martii,,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Lepidaploa,Lepidaploa salzmannii,Lepidaploa salzmannii,,,,,,,,,,,,,,,,,,,,,
