Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Antirhea,Antirhea borbonica,NA,Antirhea borbonica,,,,,,,,,,,,,,,,,,,,
Gentianales,Euphorbiaceae,Claoxylon,Claoxylon linostachys,NA,Claoxylon linostachys,,,,,,,,,,,,,,,,,,,,
Malpighiales,Oleaceae,Menodora,Menodora decemfida,NA,Menodora decemfida,,,,,,,,,,,,,,,,,,,,
Lamiales,Solanaceae,Petunia,Petunia axillaris,NA,Petunia axillaris,,,,,,,,,,,,,,,,,,,,
Solanales,Schoepfiaceae,Arjona,Arjona longifolia,NA,Arjona longifolia,,,,,,,,,,,,,,,,,,,,
Saxifragales,Rutaceae,Ruta,Ruta chalepensis,NA,Ruta chalepensis,,,,,,,,,,,,,,,,,,,,
Sapindales,Malvaceae,Sphaeralcea,Sphaeralcea miniata,NA,Spharealcea miniata,,,,,,,,,,,,,,,,,,,,
Malvales,Cactaceae,Opuntia,Opuntia sulphurea,NA,Opuntia sulphurea,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Verbenaceae,Dipyrena,Dipyrena glaberrima,NA,Dipyrena glaberrima,,,,,,,,,,,,,,,,,,,,
Lamiales,Fabaceae,Senna,Senna aphylla,NA,Senna aphylla,,,,,,,,,,,,,,,,,,,,
Fabales,Rhamnaceae,Condalia,Condalia microphylla,NA,Condalia microphylla,,,,,,,,,,,,,,,,,,,,
Rosales,Asteraceae,Senecio,Senecio pinnatus,NA,Senecio aff pinnatus,,,,,,,,,,,,,,,,,,,,
Asterales,Zygophyllaceae,Larrea,Larrea nitida,NA,Larrea nitida,,,,,,,,,,,,,,,,,,,,
Zygophyllales,Scrophulariaceae,Buddleja,Buddleja mendozensis,NA,Buddleja mendozensis,,,,,,,,,,,,,,,,,,,,
Lamiales,Papaveraceae,Argemone,Argemone subfusiformis,NA,Argemone subfusiformis,,,,,,,,,,,,,,,,,,,,
Ranunculales,Zygophyllaceae,Larrea,Larrea cuneifolia,NA,Larrea cuneifolia,,,,,,,,,,,,,,,,,,,,
Zygophyllales,Verbenaceae,Acantholippia,Acantholippia seriphioides,NA,Acantholippiaseriphioides,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Helenium,Helenium donianum,NA,Helenium donianum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Thymophylla,Thymophylla pentachaeta,NA,Thymophylla pentachaeta,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Zuccagnia,Zuccagnia punctata,NA,Zuccagnia punctata,,,,,,,,,,,,,,,,,,,,
Fabales,Capparaceae,Atamisquea,Atamisquea emarginata,NA,Capparis atamisquea,,,,,,,,,,,,,,,,,,,,
Brassicales,Polygalaceae,Polygala,Polygala stenophylla,NA,Polygala stenophylla,,,,,,,,,,,,,,,,,,,,
Fabales,Zygophyllaceae,Larrea,Larrea divaricata,NA,Larrea divaricata,,,,,,,,,,,,,,,,,,,,
Zygophyllales,Fabaceae,Spartium,Spartium junceum,NA,Spartium junceum,,,,,,,,,,,,,,,,,,,,
Fabales,Ranunculaceae,Clematis,Clematis campestris,NA,Clematis montevidensis,,,,,,,,,,,,,,,,,,,,
Ranunculales,Verbenaceae,Lippia,Lippia turbinata,NA,Lippia turbinata,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Centaurea,Centaurea solstitialis,NA,Centaurea solstialis,,,,,,,,,,,,,,,,,,,,
Asterales,Lamiaceae,Salvia,Salvia cuspidata,NA,Salvia gilliesii,,,,,,,,,,,,,,,,,,,,
Lamiales,Scrophulariaceae,Verbascum,Verbascum thapsus,NA,Verbascum thapsus,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Hysterionica,Hysterionica jasionoides,NA,Hysterionica jassionoide,,,,,,,,,,,,,,,,,,,,
Asterales,Elaeagnaceae,Elaeagnus,Elaeagnus angustifolia,NA,Elaeagnus angustifolia,,,,,,,,,,,,,,,,,,,,
Rosales,Verbenaceae,Aloysia,Aloysia gratissima,NA,Aloyssia gratissima,,,,,,,,,,,,,,,,,,,,
Lamiales,Cactaceae,Cereus,Cereus sp,NA,Cereus sp,,,,,,,,,,,,,,,,,,,,
NA,Fabaceae,Prosopis,Prosopis flexuosa,NA,Prosopis flexuosa,,,,,,,,,,,,,,,,,,,,
