"","db","query","family"
"91","ncbi","1307",NA
"92","ncbi","2903","Asteraceae"
"93","ncbi","3162","Fabaceae"
"94","ncbi","499","Capparaceae"
"95","ncbi","2197",NA
"96","ncbi","1565","Zygophyllaceae"
"97","ncbi","2748","Fabaceae"
"98","ncbi","693",NA
"99","ncbi","1661","Verbenaceae"
"100","ncbi","577",NA
"101","ncbi","2499",NA
"102","ncbi","3039","Scrophulariaceae"
"103","ncbi","1452",NA
"104","ncbi","988","Elaeagnaceae"
"105","ncbi","123",NA
"106","ncbi","598",NA
"107","ncbi","2277","Fabaceae"
"108","ncbi","338",NA
"109","ncbi","1856","Plantaginaceae"
"110","ncbi","882",NA
"111","ncbi","1792","Loasaceae"
"112","ncbi","1584","Malvaceae"
"113","ncbi","2564",NA
"114","ncbi","2282","Asteraceae"
"115","ncbi","2002",NA
"116","ncbi","1713","Solanaceae"
"117","ncbi","2943","Cactaceae"
"118","ncbi","1161","Papaveraceae"
"119","ncbi","2117","Apocynaceae"
"120","ncbi","586","Caryophyllaceae"
"121","ncbi","1393","Fabaceae"
"122","ncbi","2945",NA
"123","ncbi","1056",NA
"124","ncbi","1527","Verbenaceae"
"125","ncbi","3062","Plantaginaceae"
"126","ncbi","1053",NA
"127","ncbi","403","Nyctaginaceae"
"128","ncbi","1717","Solanaceae"
"129","ncbi","1257","Verbenaceae"
"130","ncbi","1344",NA
"131","ncbi","1715","Solanaceae"
"132","ncbi","2333",NA
"133","ncbi","417","Polygalaceae"
"134","ncbi","820",NA
"135","ncbi","3121","Lamiaceae"
"136","ncbi","1745","Euphorbiaceae"
"137","ncbi","2572","Cyperaceae"
"138","ncbi","1263","Phyllanthaceae"
"139","ncbi","2171","Pittosporaceae"
"140","ncbi","1771","Melastomataceae"
"141","ncbi","226","Primulaceae"
"142","ncbi","1870",NA
"143","ncbi","2563","Theaceae"
"144","ncbi","547","Fagaceae"
"145","ncbi","225","Primulaceae"
"146","ncbi","1128","Staphyleaceae"
"147","ncbi","991","Elaeocarpaceae"
"148","ncbi","1665","Lauraceae"
"149","ncbi","880","Araliaceae"
"150","ncbi","1538",NA
"151","ncbi","465","Lamiaceae"
"152","ncbi","1082","Rutaceae"
"153","ncbi","658",NA
"154","ncbi","3154","Asteraceae"
"155","ncbi","3154","Asteraceae"
"156","ncbi","2358","Ranunculaceae"
"157","ncbi","1265","Phyllanthaceae"
"158","ncbi","1554","Lythraceae"
"159","ncbi","147",NA
"160","ncbi","706","Lamiaceae"
"161","ncbi","290",NA
"162","ncbi","290",NA
"163","ncbi","1738","Primulaceae"
"164","ncbi","2939","Cannabaceae"
"165","ncbi","2939","Cannabaceae"
"166","ncbi","1776","Sabiaceae"
"167","ncbi","3140",NA
"168","ncbi","900",NA
"169","ncbi","1734",NA
"170","ncbi","1358","Malvaceae"
"171","ncbi","652","Lauraceae"
"172","ncbi","125","Zingiberaceae"
"173","ncbi","791","Asteraceae"
"174","ncbi","791","Asteraceae"
"175","ncbi","2315",NA
"176","ncbi","2315",NA
"177","ncbi","992","Elaeocarpaceae"
"178","ncbi","2105",NA
"179","ncbi","2820","Styracaceae"
"180","ncbi","2383","Rhamnaceae"
"181","ncbi","2837",NA
"182","ncbi","1264","Phyllanthaceae"
"183","ncbi","1862","Lamiaceae"
"184","ncbi","412",NA
"185","ncbi","2548","Goodeniaceae"
"186","ncbi","69","Orobanchaceae"
"187","ncbi","1638",NA
"188","ncbi","2445","Rosaceae"
"189","ncbi","2312","Rubiaceae"
"190","ncbi","2312","Rubiaceae"
"191","ncbi","196",NA
"192","ncbi","196",NA
"193","ncbi","1459","Aquifoliaceae"
"194","ncbi","1459","Aquifoliaceae"
"195","ncbi","18",NA
"196","ncbi","2087","Polygonaceae"
"197","ncbi","2387","Rosaceae"
"198","ncbi","2561","Araliaceae"
"199","ncbi","2561","Araliaceae"
"200","ncbi","418","Melastomataceae"
"201","ncbi","799","Stemonaceae"
"202","ncbi","2266","Lamiaceae"
"203","ncbi","2457",NA
"204","ncbi","692","Ranunculaceae"
"205","ncbi","2018","Pandanaceae"
"206","ncbi","2018","Pandanaceae"
"207","ncbi","1368",NA
"208","ncbi","2163","Pinaceae"
"209","ncbi","2265",NA
"210","ncbi","1725",NA
"211","ncbi","97",NA
"212","ncbi","126",NA
"213","ncbi","924",NA
"214","ncbi","2592","Crassulaceae"
"215","ncbi","122","Araceae"
"216","ncbi","3092","Fabaceae"
"217","ncbi","2188","Commelinaceae"
"218","ncbi","1138",NA
"219","ncbi","1138",NA
"220","ncbi","2399","Ericaceae"
"221","ncbi","3111",NA
"222","ncbi","1972",NA
"223","ncbi","1893",NA
"224","ncbi","593","Apocynaceae"
"225","ncbi","2785","Lardizabalaceae"
"226","ncbi","2589","Phyllanthaceae"
"227","ncbi","2589","Phyllanthaceae"
"228","ncbi","2164",NA
"229","ncbi","2164",NA
"230","ncbi","88","Asteraceae"
"231","ncbi","124","Zingiberaceae"
"232","ncbi","1804",NA
"233","ncbi","1804",NA
"234","ncbi","2448","Rosaceae"
"235","ncbi","695","Ranunculaceae"
"236","ncbi","355","Fabaceae"
"237","ncbi","1731","Fabaceae"
"238","ncbi","1366","Malvaceae"
"239","ncbi","493","Fabaceae"
"240","ncbi","3126",NA
"241","ncbi","1127","Pentaphylacaceae"
"242","ncbi","1373","Malvaceae"
"243","ncbi","1481","Convolvulaceae"
"244","ncbi","2379","Polygonaceae"
"245","ncbi","224","Primulaceae"
"246","ncbi","1568","Rubiaceae"
"247","ncbi","47","Actinidiaceae"
"248","ncbi","1775","Sabiaceae"
"249","ncbi","1860","Rubiaceae"
"250","ncbi","3023","Ericaceae"
"251","ncbi","2495","Chenopodiaceae"
"252","ncbi","1869","Musaceae"
"253","ncbi","351","Lecythidaceae"
"254","ncbi","357","Iridaceae"
"255","ncbi","387","Melastomataceae"
"256","ncbi","1664",NA
"257","ncbi","379","Asteraceae"
"258","ncbi","2414","Gesneriaceae"
"259","ncbi","906","Diapensiaceae"
"260","ncbi","3096","Violaceae"
"261","ncbi","2536","Saxifragaceae"
"262","ncbi","962","Rosaceae"
"263","ncbi","2529","Saxifragaceae"
"264","ncbi","2973","Ranunculaceae"
"265","ncbi","584","Caryophyllaceae"
"266","ncbi","2162","Lentibulariaceae"
"267","ncbi","2031","Celastraceae"
"268","ncbi","2662","Caryophyllaceae"
"269","ncbi","2236","Rosaceae"
"270","ncbi","2219","Polygonaceae"
"271","ncbi","2489","Salicaceae"
"272","ncbi","2390","Crassulaceae"
"273","ncbi","2394","Ericaceae"
"274","ncbi","186","Asteraceae"
"275","ncbi","2484","Salicaceae"
"276","ncbi","2865","Asteraceae"
"277","ncbi","543","Ericaceae"
"278","ncbi","544","Ericaceae"
"279","ncbi","317","Fabaceae"
"280","ncbi","209","Brassicaceae"
"281","ncbi","2487","Salicaceae"
"282","ncbi","352","Orobanchaceae"
"283","ncbi","1735","Papaveraceae"
"284","ncbi","3117","Violaceae"
"285","ncbi","1535",NA
"286","ncbi","178","Apiaceae"
"287","ncbi","899","Hydrangeaceae"
"288","ncbi","1623","Lamiaceae"
"289","ncbi","218","Araliaceae"
"290","ncbi","177","Apiaceae"
"291","ncbi","897","Hydrangeaceae"
"292","ncbi","665",NA
"293","ncbi","2836","Symplocaceae"
"294","ncbi","1539","Rosaceae"
"295","ncbi","2405","Simaroubaceae"
"296","ncbi","2779","Stachyuraceae"
"297","ncbi","2453","Rosaceae"
"298","ncbi","1648","Lauraceae"
"299","ncbi","295",NA
"300","ncbi","524","Cyperaceae"
"301","ncbi","3074","Adoxaceae"
"302","ncbi","780","Papaveraceae"
"303","ncbi","1410","Hydrangeaceae"
"304","ncbi","2804",NA
"305","ncbi","2094","Polygonaceae"
"306","ncbi","286",NA
"307","ncbi","516","Hydrangeaceae"
"308","ncbi","2444","Rosaceae"
"309","ncbi","220",NA
"310","ncbi","513","Brassicaceae"
"311","ncbi","1646","Lauraceae"
"312","ncbi","1248","Rosaceae"
"313","ncbi","1971","Rutaceae"
"314","ncbi","1632",NA
"315","ncbi","1632",NA
"316","ncbi","2783","Staphyleaceae"
"317","ncbi","1407","Hydrangeaceae"
"318","ncbi","315","Saxifragaceae"
"319","ncbi","966","Rosaceae"
"320","ncbi","1258","Lamiaceae"
"321","ncbi","2807","Rosaceae"
"322","ncbi","727","Campanulaceae"
"323","ncbi","1409","Hydrangeaceae"
"324","ncbi","92","Rosaceae"
"325","ncbi","622","Papaveraceae"
"326","ncbi","895","Fabaceae"
"327","ncbi","2956","Fabaceae"
"328","ncbi","149","Fabaceae"
"329","ncbi","2359","Ranunculaceae"
"330","ncbi","3153","Asteraceae"
"331","ncbi","3138","Caprifoliaceae"
"332","ncbi","17","Sapindaceae"
"333","ncbi","823","Apiaceae"
"334","ncbi","1945","Boraginaceae"
"335","ncbi","2423","Brassicaceae"
"336","ncbi","383","Polygonaceae"
"337","ncbi","512","Brassicaceae"
"338","ncbi","1534",NA
"339","ncbi","2442","Rosaceae"
"340","ncbi","2959","Boraginaceae"
"341","ncbi","3073",NA
"342","ncbi","2506","Adoxaceae"
"343","ncbi","102","Fabaceae"
"344","ncbi","102","Fabaceae"
"345","ncbi","778","Papaveraceae"
"346","ncbi","2288",NA
"347","ncbi","2801",NA
"348","ncbi","1084","Celastraceae"
"349","ncbi","146",NA
"350","ncbi","1430","Hypericaceae"
"351","ncbi","2339",NA
"352","ncbi","2927","Apiaceae"
"353","ncbi","3089","Fabaceae"
"354","ncbi","2091","Polygonaceae"
"355","ncbi","285","Asteraceae"
"356","ncbi","1126","Eupteleaceae"
"357","ncbi","1777","Sabiaceae"
"358","ncbi","1090","Asteraceae"
"359","ncbi","1090","Asteraceae"
"360","ncbi","1679","Caprifoliaceae"
"361","ncbi","2392","Ericaceae"
"362","ncbi","1512","Asteraceae"
"363","ncbi","3143","Fabaceae"
"364","ncbi","1976",NA
"365","ncbi","1046","Rosaceae"
"366","ncbi","2823","Gentianaceae"
"367","ncbi","2011","Rubiaceae"
"368","ncbi","1467","Balsaminaceae"
"369","ncbi","30","Amaranthaceae"
"370","ncbi","2172","Plantaginaceae"
"371","ncbi","3026","Caprifoliaceae"
"372","ncbi","2338",NA
"373","ncbi","2089",NA
"374","ncbi","910","Poaceae"
"375","ncbi","1235","Geraniaceae"
"376","ncbi","2255",NA
"377","ncbi","1465","Balsaminaceae"
"378","ncbi","2827",NA
"379","ncbi","2791","Caryophyllaceae"
"380","ncbi","1402","Saururaceae"
"381","ncbi","928","Caprifoliaceae"
"382","ncbi","707","Clethraceae"
"383","ncbi","1765","Lamiaceae"
"384","ncbi","2012",NA
"385","ncbi","2095",NA
"386","ncbi","46","Actinidiaceae"
"387","ncbi","101","Cornaceae"
"388","ncbi","287",NA
"389","ncbi","305","Asteraceae"
"390","ncbi","305","Asteraceae"
"391","ncbi","445","Poaceae"
"392","ncbi","2086",NA
"393","ncbi","100","Lardizabalaceae"
"394","ncbi","100","Lardizabalaceae"
"395","ncbi","2044","Caprifoliaceae"
"396","ncbi","2614",NA
"397","ncbi","2614",NA
"398","ncbi","691","Ranunculaceae"
"399","ncbi","1639","Oleaceae"
"400","ncbi","1586","Ericaceae"
"401","ncbi","3021","Ericaceae"
"402","ncbi","2329","Ericaceae"
"403","ncbi","2539","Saxifragaceae"
"404","ncbi","961","Rosaceae"
"405","ncbi","483","Campanulaceae"
"406","ncbi","2492",NA
"407","ncbi","2251","Rosaceae"
"408","ncbi","3118","Caryophyllaceae"
"409","ncbi","1011","Onagraceae"
"410","ncbi","2531",NA
"411","ncbi","2056","Orobanchaceae"
"412","ncbi","952",NA
"413","ncbi","2476","Salicaceae"
"414","ncbi","2476","Salicaceae"
"415","ncbi","1608","Brassicaceae"
"416","ncbi","2249","Rosaceae"
"417","ncbi","2022","Papaveraceae"
"418","ncbi","2051",NA
"419","ncbi","2795","Caryophyllaceae"
"420","ncbi","1034","Asteraceae"
"421","ncbi","1034","Asteraceae"
"422","ncbi","2534","Saxifragaceae"
"423","ncbi","250",NA
"424","ncbi","2860","Asteraceae"
"425","ncbi","2860","Asteraceae"
"426","ncbi","1062","Brassicaceae"
"427","ncbi","1035",NA
"428","ncbi","1035",NA
"429","ncbi","2342",NA
"430","ncbi","2052","Orobanchaceae"
"431","ncbi","1523",NA
"432","ncbi","2915","Bromeliaceae"
"433","ncbi","1362","Malpighiaceae"
"434","ncbi","400","Rubiaceae"
"435","ncbi","1100",NA
"436","ncbi","1847","Molluginaceae"
"437","ncbi","1597","Asteraceae"
"438","ncbi","2279","Fabaceae"
"439","ncbi","1831","Fabaceae"
"440","ncbi","2819","Fabaceae"
"441","ncbi","721","Euphorbiaceae"
"442","ncbi","721","Euphorbiaceae"
"443","ncbi","2966","Commelinaceae"
"444","ncbi","2030","Fabaceae"
"445","ncbi","1269","Amaranthaceae"
"446","ncbi","1816","Microteaceae"
"447","ncbi","1996",NA
"448","ncbi","548","Simaroubaceae"
"449","ncbi","2649",NA
"450","ncbi","1356","Malvaceae"
"451","ncbi","2048",NA
"452","ncbi","3051",NA
"453","ncbi","3161",NA
"454","ncbi","2227","Portulacaceae"
"455","ncbi","3131","Malvaceae"
"456","ncbi","689",NA
"457","ncbi","73","Fabaceae"
"458","ncbi","2047",NA
"459","ncbi","1268","Amaranthaceae"
"460","ncbi","2046","Malvaceae"
"461","ncbi","2777",NA
"462","ncbi","832","Lythraceae"
"463","ncbi","2854","Talinaceae"
"464","ncbi","1656","Verbenaceae"
"465","ncbi","738","Commelinaceae"
"466","ncbi","815",NA
"467","ncbi","2628",NA
"468","ncbi","216","Fabaceae"
"469","ncbi","1954",NA
"470","ncbi","596","Cactaceae"
"471","ncbi","1895",NA
"472","ncbi","977","Cactaceae"
"473","ncbi","1294",NA
"474","ncbi","2574","Plantaginaceae"
"475","ncbi","1507",NA
"476","ncbi","1507",NA
"477","ncbi","814",NA
"478","ncbi","2467","Acanthaceae"
"479","ncbi","1829","Fabaceae"
"480","ncbi","1747",NA
"481","ncbi","332",NA
"482","ncbi","1780",NA
"483","ncbi","2932",NA
"484","ncbi","255",NA
"485","ncbi","722",NA
"486","ncbi","699",NA
"487","ncbi","2648","Malvaceae"
"488","ncbi","1284",NA
"489","ncbi","1919",NA
"490","ncbi","134",NA
"491","ncbi","2166",NA
"492","ncbi","492","Fabaceae"
"493","ncbi","2781","Rubiaceae"
"494","ncbi","2081","Cactaceae"
"495","ncbi","729","Rubiaceae"
"496","ncbi","1941","Oleaceae"
"497","ncbi","343",NA
"498","ncbi","2137",NA
"499","ncbi","2658","Sapotaceae"
"500","ncbi","1081",NA
"501","ncbi","1277","Chrysobalanaceae"
"502","ncbi","1330",NA
"503","ncbi","3133",NA
"504","ncbi","730","Rubiaceae"
"505","ncbi","1164","Rubiaceae"
"506","ncbi","1836",NA
"507","ncbi","1140","Asteraceae"
"508","ncbi","86","Ericaceae"
"509","ncbi","2220","Araliaceae"
"510","ncbi","753","Euphorbiaceae"
"511","ncbi","1934",NA
"512","ncbi","1933","Ochnaceae"
"513","ncbi","1143","Flagellariaceae"
"514","ncbi","1851","Myrtaceae"
"515","ncbi","1069","Achariaceae"
"516","ncbi","1675","Campanulaceae"
"517","ncbi","267","Apocynaceae"
"518","ncbi","824",NA
"519","ncbi","2585",NA
"520","ncbi","1626","Asteraceae"
"521","ncbi","2340",NA
"522","ncbi","2355","Ranunculaceae"
"523","ncbi","2813","Fabaceae"
"524","ncbi","3014","Colchicaceae"
"525","ncbi","970","Cucurbitaceae"
"526","ncbi","1267",NA
"527","ncbi","1673",NA
"528","ncbi","2443","Rosaceae"
"529","ncbi","215",NA
"530","ncbi","2215","Polygonaceae"
"531","ncbi","2708","Solanaceae"
"532","ncbi","1365",NA
"533","ncbi","583","Rubiaceae"
"534","ncbi","887","Fabaceae"
"535","ncbi","3065",NA
"536","ncbi","2283","Lamiaceae"
"537","ncbi","1596",NA
"538","ncbi","2912","Malvaceae"
"539","ncbi","892","Fabaceae"
"540","ncbi","106","Alismataceae"
"541","ncbi","1367","Malvaceae"
"542","ncbi","3076",NA
"543","ncbi","1759",NA
"544","ncbi","1323","Asteraceae"
"545","ncbi","1195","Rubiaceae"
"546","ncbi","769","Asteraceae"
"547","ncbi","2794","Caryophyllaceae"
"548","ncbi","1670","Campanulaceae"
"549","ncbi","2124","Polemoniaceae"
"550","ncbi","2222","Pontederiaceae"
"551","ncbi","2766",NA
"552","ncbi","894","Fabaceae"
"553","ncbi","415",NA
"554","ncbi","296",NA
"555","ncbi","2871",NA
"556","ncbi","300",NA
"557","ncbi","2324",NA
"558","ncbi","2269","Asteraceae"
"559","ncbi","1322",NA
"560","ncbi","1150",NA
"561","ncbi","1987","Oxalidaceae"
"562","ncbi","2175","Plantaginaceae"
"563","ncbi","594","Fabaceae"
"564","ncbi","2472","Alismataceae"
"565","ncbi","1682","Caprifoliaceae"
"566","ncbi","2466","Acanthaceae"
"567","ncbi","389","Lamiaceae"
"568","ncbi","1099","Asteraceae"
"569","ncbi","374","Asteraceae"
"570","ncbi","274",NA
"571","ncbi","293",NA
"572","ncbi","1042",NA
"573","ncbi","259","Rosaceae"
"574","ncbi","2221","Apiaceae"
"575","ncbi","2773","Lamiaceae"
"576","ncbi","349","Fabaceae"
"577","ncbi","1663","Boraginaceae"
"578","ncbi","2199",NA
"579","ncbi","1466","Balsaminaceae"
"580","ncbi","1285","Fabaceae"
"581","ncbi","2517","Caryophyllaceae"
"582","ncbi","696","Ranunculaceae"
"583","ncbi","138","Rosaceae"
"584","ncbi","2695",NA
"585","ncbi","2731",NA
"586","ncbi","85","Lamiaceae"
"587","ncbi","771","Cornaceae"
"588","ncbi","3047","Asteraceae"
"589","ncbi","2643","Cucurbitaceae"
"590","ncbi","825","Cucurbitaceae"
"591","ncbi","1401",NA
"592","ncbi","2434","Rosaceae"
"593","ncbi","2814",NA
"594","ncbi","2211","Polygonaceae"
"595","ncbi","306",NA
"596","ncbi","2784","Staphyleaceae"
"597","ncbi","298",NA
"598","ncbi","3123","Vitaceae"
"599","ncbi","2465","Acanthaceae"
"600","ncbi","203","Apocynaceae"
"601","ncbi","1672","Campanulaceae"
"602","ncbi","733","Plantaginaceae"
"603","ncbi","1420","Hydrophyllaceae"
"604","ncbi","289",NA
"605","ncbi","2421","Fabaceae"
"606","ncbi","1693",NA
"607","ncbi","2074","Plantaginaceae"
"608","ncbi","1234","Geraniaceae"
"609","ncbi","2640","Orobanchaceae"
"610","ncbi","2732","Asteraceae"
"611","ncbi","786","Rosaceae"
"612","ncbi","268","Apocynaceae"
"613","ncbi","2884","Ranunculaceae"
"614","ncbi","2853","Apiaceae"
"615","ncbi","2479","Salicaceae"
"616","ncbi","2182","Berberidaceae"
"617","ncbi","1369",NA
"618","ncbi","735","Comandraceae"
"619","ncbi","2460",NA
"620","ncbi","2021","Poaceae"
"621","ncbi","2126","Polemoniaceae"
"622","ncbi","1885","Ranunculaceae"
"623","ncbi","441",NA
"624","ncbi","441",NA
"625","ncbi","3097","Violaceae"
"626","ncbi","1096","Asteraceae"
"627","ncbi","1096","Asteraceae"
"628","ncbi","670","Asteraceae"
"629","ncbi","670","Asteraceae"
"630","ncbi","1092","Asteraceae"
"631","ncbi","1092","Asteraceae"
"632","ncbi","270","Apocynaceae"
"633","ncbi","207","Ranunculaceae"
"634","ncbi","1320","Asteraceae"
"635","ncbi","1320","Asteraceae"
"636","ncbi","2893",NA
"637","ncbi","378","Asteraceae"
"638","ncbi","378","Asteraceae"
"639","ncbi","45",NA
"640","ncbi","2588",NA
"641","ncbi","2831",NA
"642","ncbi","1643","Liliaceae"
"643","ncbi","171","Ranunculaceae"
"644","ncbi","2115",NA
"645","ncbi","1306","Asteraceae"
"646","ncbi","1306","Asteraceae"
"647","ncbi","377","Asteraceae"
"648","ncbi","377","Asteraceae"
"649","ncbi","2598","Asteraceae"
"650","ncbi","2598","Asteraceae"
"651","ncbi","1088","Asteraceae"
"652","ncbi","1088","Asteraceae"
"653","ncbi","1431","Hypericaceae"
"654","ncbi","770","Asteraceae"
"655","ncbi","770","Asteraceae"
"656","ncbi","437",NA
"657","ncbi","437",NA
"658","ncbi","3043","Verbenaceae"
"659","ncbi","1211","Gentianaceae"
"660","ncbi","144","Fabaceae"
"661","ncbi","1908","Nelumbonaceae"
"662","ncbi","2676","Asteraceae"
"663","ncbi","2676","Asteraceae"
"664","ncbi","863",NA
"665","ncbi","2789","Primulaceae"
"666","ncbi","1975",NA
"667","ncbi","2483","Salicaceae"
"668","ncbi","2483","Salicaceae"
"669","ncbi","1116",NA
"670","ncbi","1116",NA
"671","ncbi","2788",NA
"672","ncbi","2325","Lamiaceae"
"673","ncbi","2430",NA
"674","ncbi","1974","Orobanchaceae"
"675","ncbi","3159","Apiaceae"
"676","ncbi","1316","Asteraceae"
"677","ncbi","1316","Asteraceae"
"678","ncbi","888","Fabaceae"
"679","ncbi","891","Fabaceae"
"680","ncbi","1246",NA
"681","ncbi","1484","Convolvulaceae"
"682","ncbi","1231","Geraniaceae"
"683","ncbi","213","Brassicaceae"
"684","ncbi","136","Amaranthaceae"
"685","ncbi","508","Brassicaceae"
"686","ncbi","908","Papaveraceae"
"687","ncbi","2678","Asteraceae"
"688","ncbi","2323",NA
"689","ncbi","1423","Hypericaceae"
"690","ncbi","7","Malvaceae"
"691","ncbi","1041","Asteraceae"
"692","ncbi","1605","Fabaceae"
"693","ncbi","2132","Phrymaceae"
"694","ncbi","1325","Asteraceae"
"695","ncbi","2142","Solanaceae"
"696","ncbi","396","Asteraceae"
"697","ncbi","396","Asteraceae"
"698","ncbi","396","Asteraceae"
"699","ncbi","2872","Fabaceae"
"700","ncbi","647","Apiaceae"
"701","ncbi","1850","Lamiaceae"
"702","ncbi","241","Araceae"
"703","ncbi","1022",NA
"704","ncbi","48",NA
"705","ncbi","48",NA
"706","ncbi","48",NA
"707","ncbi","2996",NA
"708","ncbi","2139","Solanaceae"
"709","ncbi","2144","Lamiaceae"
"710","ncbi","773","Cornaceae"
"711","ncbi","1506","Ranunculaceae"
"712","ncbi","84","Lamiaceae"
"713","ncbi","862","Solanaceae"
"714","ncbi","822","Apiaceae"
"715","ncbi","1607","Fabaceae"
"716","ncbi","1317",NA
"717","ncbi","1317",NA
"718","ncbi","1317",NA
"719","ncbi","2294","Rosaceae"
"720","ncbi","2299",NA
"721","ncbi","1750",NA
"722","ncbi","1645","Plantaginaceae"
"723","ncbi","1833","Phrymaceae"
"724","ncbi","2357","Ranunculaceae"
"725","ncbi","3055","Plantaginaceae"
"726","ncbi","1462",NA
"727","ncbi","2141",NA
"728","ncbi","1148",NA
"729","ncbi","2224","Salicaceae"
"730","ncbi","2224","Salicaceae"
"731","ncbi","2098",NA
"732","ncbi","2486","Salicaceae"
"733","ncbi","2486","Salicaceae"
"734","ncbi","2035","Asteraceae"
"735","ncbi","2035","Asteraceae"
"736","ncbi","2035","Asteraceae"
"737","ncbi","1244","Orobanchaceae"
"738","ncbi","1674","Campanulaceae"
"739","ncbi","2935",NA
"740","ncbi","1315","Asteraceae"
"741","ncbi","1315","Asteraceae"
"742","ncbi","1315","Asteraceae"
"743","ncbi","1694",NA
"744","ncbi","480","Campanulaceae"
"745","ncbi","1683",NA
"746","ncbi","148",NA
"747","ncbi","2582","Lamiaceae"
"748","ncbi","1502","Iridaceae"
"749","ncbi","1106","Euphorbiaceae"
"750","ncbi","1106","Euphorbiaceae"
"751","ncbi","2505","Adoxaceae"
"752","ncbi","2209","Polygonaceae"
"753","ncbi","2790",NA
"754","ncbi","376","Asteraceae"
"755","ncbi","187","Asteraceae"
"756","ncbi","187","Asteraceae"
"757","ncbi","302",NA
"758","ncbi","302",NA
"759","ncbi","876","Ranunculaceae"
"760","ncbi","545",NA
"761","ncbi","551","Orobanchaceae"
"762","ncbi","1101",NA
"763","ncbi","1253","Rosaceae"
"764","ncbi","2210","Polygonaceae"
"765","ncbi","2933",NA
"766","ncbi","297",NA
"767","ncbi","297",NA
"768","ncbi","297",NA
"769","ncbi","2268","Asteraceae"
"770","ncbi","1033","Asteraceae"
"771","ncbi","1033","Asteraceae"
"772","ncbi","1033","Asteraceae"
"773","ncbi","265","Apocynaceae"
"774","ncbi","140","Lythraceae"
"775","ncbi","2964","Caprifoliaceae"
"776","ncbi","1939","Onagraceae"
"777","ncbi","1884",NA
"778","ncbi","835","Convolvulaceae"
"779","ncbi","561","Celastraceae"
"780","ncbi","1595","Lamiaceae"
"781","ncbi","2733","Asteraceae"
"782","ncbi","2733","Asteraceae"
"783","ncbi","2733","Asteraceae"
"784","ncbi","3156","Poaceae"
"785","ncbi","318","Fabaceae"
