network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof340728,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Rhingia trivittata (Curran, 1929)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340728,cof3,coffee plantation,Eriosema montanum,Fabaceae,shrubby,Species,Lasioglossum sp.11,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340728,cof3,coffee plantation,Eriosema montanum,Fabaceae,shrubby,Species,"Megachile felina (Gerstaecker, 1857)",Species,1,Megachilidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,"6,7,8",
cof340728,cof3,coffee plantation,Eriosema montanum,Fabaceae,shrubby,Species,Megachile malamgemsis (Friese),Species,1,Megachilidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,"6,7,8",
cof340728,cof3,coffee plantation,Eriosema montanum,Fabaceae,shrubby,Species,"Xylocopa caffra (Linnaeus, 1767)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,9,
cof340728,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,3,C. Eardley,1,
cof340728,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Melanostoma annulipes (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340728,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus borbonicus (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340728,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus longiventris (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
cof340728,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Halictus sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340728,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Ceratina Indigofera,observation,0,Apidae,Hymenoptera,Apoidea:Bee,1,,,
cof340728,cof3,coffee plantation,Teramnus labialis,Fabaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Halictus sp.5,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,4,C. Eardley,1,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Syrphidae Agerathum,observation,0,Syrphidae,Diptera,Syrphid,1,,,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,41,A. Claßen,14,
