Order,Family,Reference code,Species name (if available),Kingdom,Origin,,,,,
Lepidoptera,Noctuidae,126,Remigia frugalis Fabricius ,Animal,,,,,,
Lepidoptera,Noctuidae,129,Sarrothripinae sp,Animal,,,,,,
Lepidoptera,Noctuidae,141,Spodoptera littoralis Boisduval,Animal,,,,,,
Lepidoptera,Noctuidae,145,Strictopterinae sp 1,Animal,,,,,,
Lepidoptera,Noctuidae,153,Thysanoplusia orichalcea Fabricius,Animal,,,,,,
Lepidoptera,Noctuidae,154,Trichoplusia indicator Walker ,Animal,,,,,,
Lepidoptera,Nymphalidae,63,Henotesia narcissus Fabricius,Animal,,,,,,
Lepidoptera,Nymphalidae,115,Phalanta phalantha Drury,Animal,,,,,,
Lepidoptera,Papillionidae,111,Papillio manlius Fabricius,Animal,,,,,,
Lepidoptera,Pieridae,19,Calopsilia florella Fabricius,Animal,,,,,,
Lepidoptera,Pterophoridae,124,Pterophoridae sp 1,Animal,,,,,,
Lepidoptera,Sphingidae,21,Cephonodes trochilus Guého ,Animal,,,,,,
Lepidoptera,Sphingidae,64,Hippotion eson Cramer,Animal,,,,,,
Passeriformes,Ploceidae,57,Foudia madagascariense Linnaeus,Animal,,,,,,
Passeriformes,Pycnonotidae,125,Pycnonotus jocosus Linnaeus,Animal,,,,,,
Passeriformes,Zosteropidae,160,Zosterops mauritianus Gmelin,Animal,,,,,,
Magnoliales,Annonaceae,Xy la,Xylopia lamarckii,Plants,Endemic,,,,,
Gentianales,Apocynaceae,Ta per,Tabernaemontana persicarifolia,Plants,Endemic,,,,,
Apiales,Araliaceae,Po ma,Polyscias mauritiana,Plants,Endemic,,,,,
Asterales,Asteraceae,Fa fl,Faujasiopsis flexuosa ssp erecta,Plants,Endemic,,,,,
Asterales,Asteraceae,He pr,Helichrysum proteoides,Plants,Endemic,,,,,
Asterales,Asteraceae,Psi te,Psiadia terebinthina,Plants,Endemic,,,,,
Scrophulariales,Bignoniaceae,Co co,Colea colei,Plants,Endemic,,,,,
Brexiales,Brexiaceae ,Ro si,Roussea simplex ,Plants,Endemic,,,,,
Celastrales,Celastraceae,Pl le,Pleurostylia leucocarpa ,Plants,Endemic,,,,,
Rosales,Chrysobalanaceae,Gr bo,Grangeria borbonica,Plants,Native,,,,,
Malpighiales,Clusiaceae,Ca ep,Calophyllum eputamen var eputamen,Plants,Endemic,,,,,
Malpighiales,Clusiaceae,Ha ma,Harungana madagascariensis,Plants,Exotic,,,,,
Liliales,Dracaenaceae,Dr re,Dracaena reflexa var angustifolia,Plants,Native,,,,,
Ericales,Ebenaceae,Di re,Diospyros revaughanii,Plants,Endemic,,,,,
Ericales,Ericaceae,Ag sa,Agauria salicifolia,Plants,Native,,,,,
Malpighiales,Erythroxylaceae,Er ma,Erythroxylum macrocarpum,Plants,Endemic,,,,,
Malpighiales,Euphorbiaceae,An ma,Antidesma madagascariense,Plants,Native,,,,,
Malpighiales,Euphorbiaceae,Cl li,Claoxylon linostachys ssp brachyphyllum,Plants,Endemic,,,,,
Malpighiales,Euphorbiaceae,Co in,Cordemoya integrifolia,Plants,Native,,,,,
Malpighiales,Euphorbiaceae,Cr fo,Croton fothergillifolius,Plants,Endemic,,,,,
Malpighiales,Euphorbiaceae,Cr gr,Croton grangeroides,Plants,Endemic,,,,,
Malpighiales,Euphorbiaceae,Ho po,Homalanthus populifolius,Plants,Exotic,,,,,
Malpighiales,Euphorbiaceae,Ph ph,Phyllanthus phillyreifolius var telfairianus,Plants,Endemic,,,,,
Malpighiales,Euphorbiaceae,St li,Stillingia lineata ssp lineata,Plants,Native,,,,,
Hypericales,Flacourtiaceae,Ap th,Aphloia theiformis,Plants,Native,,,,,
Hypericales,Flacourtiaceae,Ca co,Casearia coriacea,Plants,Native,,,,,
Hypericales,Flacourtiaceae,Er mo,Erythrospermum monticolum var monticolum,Plants,Endemic,,,,,
Poales,Flagellariaceae,Fl in,Flagellaria indica,Plants,Native,,,,,
Laurales,Lauraceae,Oc la,Ocotea laevigata,Plants,Endemic,,,,,
Gentianales,Loganiaceae,Ge bo,Geniostoma borbonicum,Plants,Endemic,,,,,
Santalales,Loranthaceae ,Ba ho,Bakerella hoyifolia ssp bojeri,Plants,Native,,,,,
Malvales,Malvaceae,Tr bl,Trochetia blackburniana,Plants,Endemic,,,,,
Myrtales,Melastomataceae,Cl hi,Clidemia hirta,Plants,Exotic,,,,,
Myrtales,Melastomataceae,Me ov,Memecylon ovatifolium,Plants,Endemic,,,,,
Myrtales,Melastomataceae,Os ma,Ossaea marginata,Plants,Exotic,,,,,
Myrtales,Melastomataceae,Tr ma,Tristhema mauritiana,Plants,Native,,,,,
Myrtales,Melastomataceae,Wa tr,Warneckea trinervis,Plants,Endemic,,,,,
Sapindales,Meliaceae,Tu ri,Turraea rigida,Plants,Endemic,,,,,
Laurales,Monimiaceae,Ta pe,Tambourissa peltata,Plants,Endemic,,,,,
Ericales,Myrsinaceae,Ar cr,Ardisia crenate,Plants,Exotic,,,,,
Ericales,Myrsinaceae,Ba in,Badula insularis,Plants,Endemic,,,,,
Ericales,Myrsinaceae,Ba pl,Badula platiphylla,Plants,Endemic,,,,,
Ericales,Myrsinaceae,Em an,Embelia angustifolia,Plants,Native,,,,,
Myrtales,Myrtaceae,Eu or,Eugenia orbiculata,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Mo gl,Monimiastrum globosum,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Psi ca,Psidium cattleianum,Plants,Exotic,,,,,
Myrtales,Myrtaceae,Sy com,Syzygium commersonii,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Sy cor,Syzygium coriaceum,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Sy gl,Syzygium glomeratum,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Sy ma,Syzygium mauritianum,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Sy pe,Syzygium petrinese,Plants,Endemic,,,,,
Myrtales,Myrtaceae,Sy ve,Syzygium venosum,Plants,Endemic,,,,,
Malpighiales,Ochnaceae,Oc ma,Ochna mauritiana,Plants,Endemic,,,,,
Scrophulariales,Oleaceae,Ol la,Olea lancea,Plants,Native,,,,,
Pandanales,Pandanaceae,Pa ba,Pandanus barklyi var barklyi,Plants,Endemic,,,,,
Pandanales,Pandanaceae,Pa ri,Pandanus rigidifolius,Plants,Endemic,,,,,
Pandanales,Pandanaceae,Pa wi,Pandanus wiehii,Plants,Endemic,,,,,
Rosales,Pittosporaceae,Pi se,Pittosporum senacia,Plants,Native,,,,,
Rosales,Rosaceae,Ru al,Rubus alcefolius,Plants,Exotic,,,,,
Gentianales,Rubiaceae,An bo,Antirhea borbonica,Plants,Native,,,,,
Gentianales,Rubiaceae,Be za,Bertiera zaluzania ,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Ch co,Chassalia coriacea var coriacea,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Ch pe,Chassalia petrinensis,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Co mac,Coffea macrocarpa,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Co mau,Coffea mauritiana,Plants,Native,,,,,
Gentianales,Rubiaceae,Ga pe,Gaertnera petrinensis,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Ga ps,Gaertnera psychotrioides/edentata,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Ga ro,Gaertnera rotundifolia,Plants,Endemic,,,,,
Gentianales,Rubiaceae,My vi,Myonima violacea var ovata,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Psa te,Psathura terniflora,Plants,Endemic,,,,,
Gentianales,Rubiaceae,Py fa,Pyrostria fasciculata,Plants,Endemic,,,,,
Sapindales,Rutaceae,Eu ch,Euodia chapelieri var chapelieri,Plants,Native,,,,,
Sapindales,Rutaceae,Eu ob br,Euodia obtusifolia ssp gigas var brachypoda,Plants,Endemic,,,,,
Sapindales,Rutaceae,Eu ob gi,Euodia obtusifolia ssp gigas var gigas,Plants,Native,,,,,
Sapindales,Rutaceae,To as,Toddalia asiatica,Plants,Native,,,,,
Sapindales,Sapindaceae,Do vi,Dodonaea viscosa ,Plants,Native,,,,,
Sapindales,Sapindaceae,Do ap ap,Doratoxylon apetalum var apetalum,Plants,Native,,,,,
Sapindales,Sapindaceae,Do ap di,Doratoxylon apetalum var diphyllum,Plants,Native,,,,,
Sapindales,Sapindaceae,Mo al,Molinaea alternifolia,Plants,Native,,,,,
Sapindales,Sapindaceae,Mo ma,Molinaea macrantha,Plants,Endemic,,,,,
Ericales,Sapotaceae,La ca,Labourdonnaisia callophylloides,Plants,Native,,,,,
Ericales,Sapotaceae,Mi er,Mimusops erythroxylon,Plants,Endemic,,,,,
Ericales,Sapotaceae,Si ci,Sideroxylon cinereum,Plants,Endemic,,,,,
Ericales,Sapotaceae,Si pu,Sideroxylon puberulum,Plants,Endemic,,,,,
Liliales,Smilacaceae,Sm an,Smilax anceps,Plants,Native,,,,,
Myrtales,Thymelaeaceae,Wi in,Wikstroemia indica,Plants,Exotic,,,,,
Commelinales,Xyridaceae,Xy sp,Xyris sp,Plants,Native,,,,,
